0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
District/ Division,,,"Area Under Garden
(acre)",,,"Production of Inside
Garden (M.Tons)",,,"Production of Outside
Garden (M.Tons)",,,"Total Production of Inside
& Outside Garden
(M. Tons)",,
,,,2021-22,2022-23,2023-24,2 021-22,2 022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
Barishal Division,,,33.33,29.11,438.64,0.00,0.00,0.00,650.32,513.80,563.71,650.32,513.80,563.71
Chattogram Division,,,23.04,22.86,222.32,11.73,11.94,12.10,490.02,484.94,502.68,501.75,496.88,514.78
Dhaka Division,,,12.13,11.75,82.77,6.74,6.63,4.97,297.74,275.99,280.67,304.48,282.62,285.64
Khulna Division,,,2.25,2.26,20.51,0.00,0.00,0.00,90.00,89.00,83.24,90.00,89.00,83.24
