District/ Division,None,2022-23,None_1,None_2,None_3,None_4,2023-24,None_5,None_6,None_7,None_8
38,Meherpur,63448,25687,33.19,3.060,78605,61109,24730,34.56,3.188,78833
39,Narail,84555,34233,32.46,2.993,102451,67546,27335,34.50,3.182,86985
None,None,Area,None,Yield Rate,None,"Product
ion",Area,None,Yield Rate,None,"Productio
n"
None,None,Acres,Hectors,"Acres
(Maund
)","Hectors
(M.
Ton)","(M.
Ton)",Acres,Hectors,"Acres
(Maund)","Hector
s
(M.
Ton)",(M. Ton)
40,Satkhira,211700,85709,33.69,3.106,266225,201652,81607,34.44,3.177,259235
Khulna Division,None,1665599,674332,32.74,3.019,2035771,1526657,617830,33.89,3.126,1931445
41,Jamalpur,256638,103860,28.25,2.606,270624,182241,73752,32.80,3.025,223124
42,Mymensingh,556238,225106,30.48,2.811,632853,517850,209571,31.42,2.898,607348
43,Netrokona,289642,117217,31.62,2.916,341862,241882,97888,32.50,2.998,293437
44,Sherpur,166701,67463,30.81,2.842,191715,171901,69567,33.26,3.068,213416
"Mymensingh
Division",None,1269219,513646,30.33,2.798,1437055,1113874,450779,32.16,2.967,1337325
45,Bogura,438492,177455,33.65,3.104,550775,418590,169401,34.33,3.166,536401
46,Joypurhat,157045,63555,32.17,2.967,188583,155168,62796,33.15,3.058,192005
47,Naogaon,429024,173694,31.21,2.878,499807,430670,174290,33.67,3.106,541271
48,Natore,179029,72481,33.04,3.046,220796,171501,69406,34.62,3.193,221626
49,"Chapai
Nawabganj",127098,51436,35.44,3.269,168136,129251,52307,36.40,3.357,175615
50,Pabna,134487,54426,30.71,2.833,154166,129291,52323,31.60,2.915,152505
51,Rajshahi,191708,77583,35.64,3.287,255038,196134,79374,36.10,3.330,264294
52,Sirajganj,169725,68715,33.61,3.099,212932,170288,68915,35.45,3.270,225334
Rajshahi Division,None,1826608,739346,33.00,3.044,2250233,1800893,728811,34.35,3.168,2309052
53,Dinajpur,629303,254675,30.75,2.836,722324,613351,248220,32.55,3.002,745225
54,Gaibandha,296434,119965,28.15,2.596,311483,297589,120433,31.25,2.882,347132
55,Kurigram,271892,110033,32.75,3.021,332380,243877,98696,34.50,3.182,314063
56,Lalmonirhat,211022,85434,33.80,3.116,266239,191694,77577,34.20,3.154,244716
57,Nilphamari,278440,112683,30.31,2.796,315025,221921,89810,33.47,3.087,277256
58,Panchagarh,245607,99396,34.44,3.177,315741,210753,85291,35.30,3.256,277700
59,Rangpur,406463,164493,30.30,2.795,459717,346737,140323,33.45,3.085,432936
60,Thakurgaon,338160,136907,31.65,2.918,399506,324326,131253,33.00,3.044,399506
Rangpur Division,None,2677321,"108358
7",31.24,2.882,3122415,2450248,991602,33.22,3.064,3038533
61,Habiganj,204338,82694,29.62,2.732,225924,211251,85492,33.56,3.095,264635
62,Moulvibazar,246262,99661,33.27,3.069,305828,247366,100108,34.80,3.210,321327
63,Sunamganj,168588,68227,32.81,3.026,206472,167203,67666,34.38,3.171,214574
64,Sylhet,266482,107844,33.99,3.135,338101,291045,117784,34.30,3.164,372633
Sylhet Division,None,885670,358426,32.56,3.003,1076324,916865,371050,34.28,3.162,1173170
Bangladesh,None,11906085,4819394,31.63,2.916,14055299,11415381,4619742,33.39,3.080,14228516
None,None,Area,None,Yield Rate,None,"Producti
on",Area,None,Yield Rate,None,Production
None,None,Acres,Hectors,"Acres
(Maund)","Hectors
(M. Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M.Ton)",(M. Ton)
1,Barguna,-,-,-,-,-,40,16,39.00,3.597,58
2,Barishal,,,,,,0,0,0.00,0.000,0
3,Bhola,,,,,,161,65,38.40,3.542,231
4,Jhalokathi,,,,,,0,0,0.00,0.000,0
5,Patuakhali,,,,,,190,77,39.00,3.597,277
6,Pirojpur,,,,,,1260,510,39.00,3.597,1834
Barishal Division,None,0,0,0,0,0,1651,668,38.40,3.592,2399
7,Bandarban,,,,,,2314,936,39.93,3.683,3449
8,Brahmanbaria,,,,,,1477,598,40.58,3.743,2237
9,Chandpur,,,,,,2209,894,38.72,3.571,3192
10,Chattogram,,,,,,17684,7157,40.55,3.740,26767
11,Cumilla,,,,,,7740,3132,40.42,3.728,11678
12,Cox’s Bazar,,,,,,11589,4690,40.80,3.763,17649
13,Feni,,,,,,109,44,40.35,3.722,164
14,Khagrachari,,,,,,148,60,39.00,3.597,216
15,Laxmipur,,,,,,3265,1321,39.47,3.641,4810
16,Noakhali,,,,,,12,5,39.20,3.616,18
17,Rangamati,,,,,,0,0,0.00,0.000,0
Chattogram Division,None,0,0,0,0,0,46547,18837,40.39,3.726,70181
18,Dhaka,,,,,,47,19,39.00,3.597,68
19,Faridpur,,,,,,11206,4535,39.52,3.645,16531
20,Gazipur,,,,,,1843,746,39.38,3.632,2709
21,Gopalgonj,,,,,,6276,2540,38.61,3.561,9045
22,Kishoregonj,,,,,,17443,7059,39.34,3.629,25614
23,Madaripur,,,,,,794,321,40.50,3.736,1200
24,Manikgonj,,,,,,265,107,41.10,3.791,407
25,Munsigonj,,,,,,265,107,40.50,3.736,401
26,Narayangonj,,,,,,0,0,0.00,0.000,0
27,Narsingdi,,,,,,2247,909,40.83,3.766,3425
28,Rajbari,,,,,,19999,8093,40.80,3.763,30458
29,Shariatpur,,,,,,89,36,38.53,3.554,128
30,Tangail,,,,,,16000,6475,41.10,3.791,24546
Dhaka Division,None,0,0,0,0,0,76474,30949,40.12,3.701,114532
31,Bagerhat,,,,,,11724,4745,39.66,3.658,17356
32,Chuadanga,,,,,,12422,5027,40.58,3.743,18816
33,Jashore,,,,,,21868,8850,38.85,3.583,31712
34,Jhenaidah,,,,,,19507,7894,40.30,3.717,29344.2
35,Khulna,,,,,,7142,2890,39.88,3.678,10632
36,Kushtia,,,,,,36010,14573,41.20,3.800,55379
37,Magura,,,,,,28108,11375,37.45,3.454,39292
38,Meherpur,,,,,,2737,1108,39.50,3.643,4036
39,Narail,,,,,,19662,7957,39.50,3.643,28990
40,Satkhira,,,,,,11007,4454,38.50,3.551,15818
Khulna Division,None,0,0,0,0,0,170187,68874,39.57,3.650,251376
41,Jamalpur,,,,,,80776,32690,38.94,3.592,117410
None,None,Area,None,Yield Rate,None,"Producti
on",Area,None,Yield Rate,None,Production
None,None,Acres,Hectors,"Acres
(Maund)","Hectors
(M. Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M.Ton)",(M. Ton)
42,Mymensingh,,,,,,45381,18365,39.20,3.616,66403
43,Netrokona,,,,,,41728,16887,39.63,3.655,61728
44,Sherpur,,,,,,14100,5706,38.40,3.542,20211
"Mymensingh
Division",None,,,,,,181985,73648,39.12,3.608,265751
45,Bogura,,,,,,19102,7730,38.77,3.576,27644
46,Joypurhat,,,,,,9833,3979,39.20,3.616,14388
47,Naogaon,,,,,,1628,659,40.20,3.708,2443
48,Natore,,,,,,12222,4946,39.35,3.629,17952
49,"Chapai
Nawabganj",,,,,,603,244,40.50,3.736,912
50,Pabna,,,,,,13165,5328,40.00,3.689,19657
51,Rajshahi,,,,,,1072,434,40.20,3.708,1609
52,Sirajganj,,,,,,4211,1704,38.25,3.528,6012
Rajshahi Division,None,0,0,0,0,0,61836,25025,39.26,3.621,90617
53,Dinajpur,,,,,,19076,7720,40.20,3.708,28625
54,Gaibandha,,,,,,4960,2007,39.50,3.643,7313
55,Kurigram,,,,,,33879,13711,39.00,3.597,49320
56,Lalmonirhat,,,,,,21632,8754,38.94,3.592,31443
57,Nilphamari,,,,,,57209,23152,39.62,3.654,84607
58,Panchagarh,,,,,,34955,14146,40.00,3.689,52191
59,Rangpur,,,,,,61228,24779,40.00,3.689,91419
60,Thakurgaon,,,,,,14560,5892,39.85,3.676,21658
Rangpur Division,None,0,0,0,0,0,247499,100161,39.68,3.660,366576
61,Habiganj,,,,,,48,19,39.15,3.611,70
62,Moulvibazar,,,,,,257,104,39.10,3.606,375
63,Sunamganj,,,,,,317,128,39.50,3.643,467
64,Sylhet,,,,,,336,136,38.27,3.530,480
Sylhet Division,None,0,0,0,0,0,958,388,38.94,3.592,1393
Bangladesh,None,,,,,,787137,318550,39.58,3.650,1162824
None,None,Area,None,Yield Rate,None,"Productio
n",Area,None,Yield Rate,None,"Productio
n"
None,None,Acres,Hectors,"Acres
(Maun
d)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maun
d)","Hectors
(M.
Ton)",(M. Ton)
1,Barguna,237570,96164,24.44,2.254,216769,233055,94316,25.95,2.394,225756
2,Barishal,289636,117234,22.23,2.050,240372,285074,115368,24.63,2.272,262079
3,Bhola,400988,162335,30.69,2.829,459308,417441,168936,32.34,2.983,503897
4,Jhallokati,114470,46330,23.13,2.133,98815,111489,45119,23.93,2.208,99603
5,Patuakhali,463738,187714,22.51,2.076,389671,465365,188331,25.01,2.307,434422
6,Pirojpur,151716,61402,17.23,1.590,97603,148931,60272,19.81,1.827,110111
Barishal Division,None,1658118,671180,24.28,2.239,1502538,1661355,672341,26.38,2.433,1635869
7,Bandarban,25564,10350,30.84,2.843,29428,25953,10503,32.56,3.003,31546
8,Brahmanbaria,156514,63360,29.33,2.704,171344,178007,72039,28.60,2.638,190038
9,Chandpur,104179,42161,19.00,1.752,73872,104001,42089,24.12,2.225,93646
10,Chattogram,438057,177341,27.79,2.563,454439,439574,177893,31.58,2.913,518250
11,Cumilla,322108,130401,26.95,2.485,324040,317209,128373,30.86,2.847,365438
12,Cox’s Bazar,183778,74403,31.52,2.906,216224,185551,75092,33.70,3.108,233416
13,Feni,163014,65995,32.94,3.037,200407,163406,66130,33.68,3.107,205436
14,Khagrachari,67706,27411,35.56,3.279,89872,67710,27402,35.94,3.315,90838
15,Lakshmipur,187771,76018,29.35,2.706,205715,187858,76025,31.00,2.859,217373
16,Noakhali,394742,159801,29.43,2.714,433644,395487,160051,29.93,2.761,441874
17,Rangamati,24096,9755,31.53,2.907,28356,23819,9639,32.17,2.967,28602
Chattogram Division,None,2067528,836995,28.86,2.661,2227341,2088575,845235,31.00,2.859,2416455
18,Dhaka,19716,7980,19.12,1.763,14072,19706,7975,20.48,1.889,15065
19,Faridpur,199851,80906,30.65,2.826,228663,200658,81205,32.61,3.008,244276
20,Gazipur,108581,43958,27.24,2.512,110417,103013,41689,31.91,2.943,122702
21,Gopalganj,54636,22115,19.36,1.786,39488,61544,24907,23.86,2.201,54812
22,Kishoreganj,191379,77480,32.04,2.954,228851,179444,72620,33.91,3.128,227134
23,Madaripur,61800,25014,22.64,2.088,52219,65714,26594,24.50,2.260,60105
24,Manikganj,89077,36053,15.79,1.456,52506,89942,36399,16.78,1.548,56340
25,Munshiganj,47943,19402,11.37,1.048,20341,48509,19631,12.70,1.171,22990
26,Narayanganj,15278,6184,17.01,1.569,9700,14009,5670,17.99,1.659,9406
27,Narsingdi,94209,38139,29.19,2.691,102648,95854,38792,31.85,2.938,113961
28,Rajbari,114711,46440,28.29,2.608,121113,124202,50264,33.13,3.056,153592
29,Shariatpur,33178,13428,17.43,1.608,21590,36074,14599,19.94,1.839,26850
30,Tangail,280262,113452,24.98,2.303,261291,294897,119343,27.06,2.496,297873
Dhaka Division,None,1310621,530552,25.81,2.380,1262899,1333566,539687,28.23,2.604,1405107
31,Bagerhat,151514,61330,25.26,2.330,142871,167981,67981,27.27,2.515,170959
32,Chuadanga,82299,33319,32.18,2.967,98857,89260,36123,34.14,3.149,113752
33,Jashore,346394,140240,31.41,2.896,406070,343202,138892,32.82,3.027,420397
34,Jhenaidah,255067,103266,36.35,3.351,346087,255165,103264,37.44,3.453,356574
35,Khulna,241281,97674,28.27,2.606,254569,238629,96572,30.55,2.818,272108
36,Kushtia,216289,87566,33.57,3.095,271055,216391,87572,35.20,3.247,284346
37,Magura,151884,61491,29.79,2.747,168913,152771,61826,32.46,2.994,185077
38,Meherpur,63448,25687,33.19,3.060,78605,63846,25838,34.77,3.207,82868
None,None,Area,None,Area,None,Area,Area,None,Area,None,Area
None,None,Acres,Hectors,"Acres
(Maun
d)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maun
d)","Hectors
(M.
Ton)",(M. Ton)
39,Narail,101308,41013,29.28,2.700,110718,104343,42227,32.14,2.964,125164
40,Satkhira,213415,86403,33.55,3.093,267282,214115,86651,34.53,3.185,275977
Khulna Division,None,1822899,737990,31.52,2.907,2145027,1845703,746946,33.20,3.062,2287223
41,Jamalpur,273420,110652,27.64,2.550,282125,275315,111418,33.98,3.134,349220
42,Mymensingh,644049,260643,28.80,2.656,692344,624410,252695,30.73,2.834,716181
43,Netrokona,323714,131005,30.23,2.788,365289,306223,123927,32.45,2.993,370957
44,Sherpur,225853,91401,27.49,2.536,231791,241422,97702,30.22,2.788,272353
"Mymensingh
Division",None,1467036,593701,28.70,2.647,1571549,1447370,585743,31.63,2.917,1708711
45,Bogura,446251,180595,33.37,3.078,555785,444256,179788,34.27,3.161,568321
46,Joypurhat,165021,66783,31.61,2.915,194686,165358,66919,33.48,3.088,206671
47,Naogaon,486779,197076,30.04,2.770,545877,481000,194666,32.49,2.996,583283
48,Natore,215033,87058,30.09,2.774,241485,217885,88177,31.90,2.942,259457
49,"Chapai
Nawabganj",131146,53074,34.52,3.230,171431,132965,53810,36.08,3.328,179072
50,Pabna,217338,87955,24.07,2.220,195233,221456,89622,25.61,2.362,211690
51,Rajshahi,192334,77837,35.59,3.282,255478,197835,80063,36.07,3.327,266347
52,Sirajganj,207590,84045,30.33,2.797,235034,208971,84569,32.26,2.975,251635
Rajshahi Division,None,2061492,834423,31.12,2.870,2395009,2069725,837614,32.70,3.016,2526476
53,Dinajpur,641304,259532,30.58,2.820,731951,640543,259224,32.64,3.010,780378
54,Gaibandha,314879,127430,27.63,2.548,324723,314202,127156,30.96,2.856,363144
55,Kurigram,296358,119934,31.58,2.913,349358,296768,120100,33.99,3.135,376512
56,Lalmonirhat,211057,85448,33.80,3.116,266260,213445,86380,34.67,3.198,276232
57,Nilphamari,279346,113050,30.27,2.792,315608,279503,113113,34.71,3.201,362111
58,Panchagar,246800,99879,34.37,3.170,316596,246567,99784,35.91,3.312,330507
59,Rangpur,407781,165027,30.26,2.791,460590,409266,165628,34.38,3.171,525225
60,Thakurgaon,338380,136996,31.64,2.917,399653,339058,137215,33.29,3.070,421282
Rangpur Divison,None,2735905,1107296,30.99,2.858,3164739,2739352,1108601,33.60,3.099,3435392
61,Habiganj,218068,88251,28.79,2.655,234315,223781,90563,32.63,3.010,272564
62,Moulvibazar,250602,101417,33.04,3.048,309089,252060,102007,34.55,3.187,325077
63,Sunamganj,200865,81289,30.28,2.793,227024,196288,79437,31.89,2.941,233650
64,Sylhet,350212,141729,29.59,2.730,386865,352321,142582,31.16,2.874,409740
Sylhet Division,None,1019747,412686,30.40,2.804,1157293,1024450,414589,32.45,2.993,1241030
,Bangladesh,14143347,5724822,29.22,2.695,15426395,14210095,5750755,31.40,2.896,16656263
