District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden (M. Tons),None_3,None_4,Production of Outside Garden (M. Tons),None_5,None_6,Total Production of Inside & Outside Garden (M. Tons),None_7,None_8
24,Manikganj,221.38,221.17,253.00,99.97,94.32,65.81,2672.97,2522.68,2253.19,2772.94,2617.00,2319.00
25,Munshiganj,26.59,9.89,26.35,0.00,0.00,0.00,275.66,266.22,297.21,275.66,266.22,297.21
26,Narayanganj,13.52,11.54,11.45,0.00,0.00,0.00,258.86,174.74,168.52,258.86,174.74,168.52
27,Narsingdi,19.73,19.12,19.25,0.00,0.00,0.00,242.49,277.46,279.49,242.49,277.46,279.49
28,Rajbari,97.08,98.67,89.03,0.00,0.00,0.00,28.30,3089.17,3087.50,28.30,3089.17,3087.50
29,Shariatpur,159.40,145.25,138.60,25.34,28.51,10.74,603.76,688.69,655.33,629.10,717.20,666.07
30,Tangail,80.24,87.18,93.38,0.00,0.00,0.00,1219.49,1116.51,1242.30,1219.49,1116.51,1242.30
Dhaka Division,None,2069.27,2055.87,2025.47,567.12,559.78,256.01,18655.40,20754.55,19372.28,19222.52,21314.33,19628.29
31,Bagerhat,239.63,350.91,344.73,173.25,178.42,137.80,1917.91,1933.19,1627.23,2091.16,2111.61,1765.03
32,Chuadanga,255.98,254.89,254.39,2121.38,2006.70,1865.39,3520.23,3377.28,3416.14,5641.61,5383.98,5281.53
33,Jashore,792.50,782.00,778.57,5500.94,5954.30,5966.87,7280.20,6752.70,6785.73,12781.14,12707.00,12752.60
34,Jhenaidah,392.15,399.34,398.41,1648.20,1673.90,1666.98,7914.56,7894.74,7839.57,9562.76,9568.64,9506.55
35,Khulna,584.59,583.82,536.54,154.45,153.05,152.22,1919.14,1873.38,1745.90,2073.59,2026.43,1898.12
36,Kushtia,169.00,157.00,175.00,227.18,162.18,0.00,3306.82,3361.82,2971.00,3534.00,3524.00,2971.00
37,Magura,109.01,113.78,107.71,0.00,0.00,0.00,1500.71,2039.03,1993.62,1500.71,2039.03,1993.62
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
38,Meherpur,20.23,21.40,27.38,0.00,0.00,0.00,239.74,229.81,234.21,239.74,229.81,234.21
39,Narail,305.69,301.74,300.74,132.38,174.28,0.00,935.97,905.55,1085.48,1068.35,"1079.8
3","1085.4
8"
40,Satkhira,1468.12,1576.90,1575.62,781.88,685.77,698.58,3258.20,2484.59,2534.14,4040.08,"3170.3
6","3232.7
2"
Khulna Division,None,4336.90,4541.78,4499.09,10739.66,"10988.6
0","10487.8
4",31793.48,"30852.0
9","30233.0
2","42533.1
4","41840.
69","40720.
86"
41,Jamalpur,45.00,61.00,60.00,0.00,0.00,0.00,132.00,144.00,125.00,132.00,144.00,125.00
42,Mymensingh,608.00,678.00,674.00,0.00,0.00,0.00,400.00,2528.00,2548.00,400.00,"2528.0
0","2548.0
0"
43,Netrokona,3.00,5.00,6.00,0.00,0.00,0.00,111.00,17.00,20.00,111.00,17.00,20.00
44,Sherpur,12.00,10.00,10.00,0.00,0.00,0.00,339.00,60.00,57.00,339.00,60.00,57.00
Mymensingh Division,None,668.00,754.00,750.00,0.00,0.00,0.00,982.00,2749.00,2750.00,982.00,"2749.0
0","2750.0
0"
45,Bogura,298.97,292.12,253.32,0.00,0.00,0.00,5119.24,4910.17,4822.17,5119.24,"4310.1
7","4822.1
7"
46,Joypurhat,72.85,72.07,72.44,0.00,0.00,0.00,760.68,700.28,701.07,760.68,700.28,701.07
47,Naogaon,189.44,250.61,247.03,0.00,0.00,0.00,3794.08,4756.12,4740.20,3794.08,"4756.1
2","4740.2
0"
48,Natore,803.55,800.52,838.88,2882.96,3012.15,2917.01,28252.13,"32017.2
7","32283.5
5","31135.0
9","35029.
42","35200.
56"
49,Chapai Nawabganj,55.36,55.63,55.90,0.00,0.00,0.00,537.91,498.09,583.67,537.91,498.09,583.67
50,Pabna,842.90,168.92,158.90,0.00,0.00,0.00,3084.79,4399.33,4817.27,3084.79,"4399.3
3","4817.2
7"
51,Rajshahi,504.05,768.24,616.49,489.64,1014.57,501.14,22281.19,"29563.9
1","22393.4
2","22770.8
3","30578.
48","22894.
56"
52,Sirajganj,16.60,20.22,22.47,0.00,0.00,0.00,658.26,546.98,546.98,658.26,546.98,546.98
Rajshahi Division,None,2783.72,2428.33,2265.43,3372.60,4026.72,3418.15,64488.28,"77392.1
5","70888.3
3","67860.8
8","81418.
87","74306.
48"
53,Dinajpur,69.00,70.00,71.00,0.00,0.00,0.00,507.00,492.00,807.00,507.00,492.00,807.00
54,Gaibandha,27.25,27.18,27.17,25.90,25.92,25.87,156.73,156.89,156.13,182.63,182.81,182.00
55,Kurigram,49.39,51.24,56.00,0.00,0.00,0.00,223.68,209.41,200.00,223.68,209.41,200.00
56,Lalmonirhat,11.66,12.67,13.01,0.00,0.00,0.00,137.42,138.20,95.37,137.42,138.20,95.37
57,Nilphamari,8.55,9.08,10.74,0.00,0.00,0.00,132.84,139.11,143.00,132.84,139.11,143.00
58,Panchagar,3.22,5.49,6.00,0.00,0.00,0.00,14.30,20.19,24.00,14.30,20.19,24.00
59,Rangpur,37.66,37.66,37.71,0.00,0.00,0.00,331.40,327.78,330.00,331.40,327.78,330.00
60,Tahkurgaon,66.44,6.43,6.67,1.41,1.81,3.90,91.17,97.49,84.10,92.58,99.30,88.00
Rangpur Division,None,273.17,219.75,228.30,27.31,27.73,29.77,1594.54,1581.07,1839.60,1621.85,"1608.8
0","1869.3
7"
61,Habigonj,50.32,52.44,54.58,0.00,0.00,0.00,22.00,0.20,13.49,22.00,0.20,13.49
62,Moulvibazar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
63,Sunamganj,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
64,Sylhet,0.73,0.73,10.65,0.00,0.00,0.00,0.63,0.53,10.65,0.63,0.53,10.65
Sylhet Division,None,51.05,53.17,65.23,0.00,0.00,0.00,22.63,0.73,24.14,22.63,0.73,24.14
BANGLADESH,None,"39057.7
4","17673.5
0","17555.6
9",16171.69,"15647.6
4","14149.5
9","136391.9
4","152145.
11","143833.
93","152563.
63","167792
.75","158083
.52"
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,5642,1062.66,7202.33,0,0.00,0.00,2350,2072.00,2163.00,2350,2072.00,2163.00
2,Barishal,812,377.00,272.00,0,0.00,0.00,587,664.00,723.00,587,664.00,723.00
3,Bhola,143.88,139.08,138.80,0,3.58,2.74,662.70,522.40,361.26,662.70,525.98,364.00
4,Jhallokati,487.03,437.00,437.00,0,0.00,0.00,437,439.00,432.00,437,439.00,432.00
5,Patuakhali,1488,1488.00,1438.22,0,0.00,0.00,1200,1705.00,1308.00,1200,1705.00,1308.00
6,Pirojpur,505.43,505.43,538.80,0,0.00,0.00,367.60,365.00,430.00,367.60,365.00,430.00
Barishal Division,None,9078.34,4009.17,"10027.1
5",0,3.58,2.74,5604.30,5767.40,5417.26,5604.30,5770.98,5420.00
7,Bandarban,39,39.30,38.95,0,0.00,0.00,6.18,6.24,6.23,6.18,6.24,6.23
8,Brahmanbaria,33,28.87,28.95,0,0.00,0.00,79,72.64,71.10,79,72.64,71.10
9,Chandpur,144,134.01,103.82,0,0.00,0.00,718,712.36,432.42,718,712.36,432.42
10,Chattogram,383,261.24,342.50,0,0.00,0.00,1200,612.80,752.72,1200,612.99,752.72
11,Cumilla,540,539.74,542.61,24,24.87,24.22,949,975.13,949.71,973,1000.00,973.93
12,Cox’s Bazar,97,93.53,87.37,0,0.00,0.00,398,399.75,397.51,398,399.75,397.51
13,Feni,256,256.89,257.65,0,0.00,0.00,429,430.08,423.00,429,430.08,423.00
14,Khagrachari,63,63.75,64.41,0,0.00,0.00,108,116.99,124.29,108,116.99,124.29
15,Lakshmipur,231,165.17,171.21,0,0.00,0.00,556,559.45,408.09,556,559.45,408.09
16,Noakhali,154,149.76,153.56,0,0.00,0.00,258,266.04,267.85,258,266.04,267.85
17,Rangamati,192,191.72,192.62,33.21,31.47,31.98,183.79,171.74,175.14,217,203.21,207.12
Chattogram Division,None,2132,1923.98,1983.65,57.21,56.34,56.20,4884.97,4323.22,4008.06,4942.18,4379.75,4379.75
18,Dhaka,23.92,22.68,21.94,0,0.00,0.00,134.38,125.47,120.88,134.38,125.47,120.88
19,Faridpur,379,468.00,460.00,147.41,144.20,0.00,1092.59,1059.06,1157.25,1240,1203.26,1157.25
20,Gazipur,108,105.00,108.00,23,21.87,0.00,223,201.13,227.40,246,223.00,227.40
21,Gopalganj,702.27,747.34,757.71,0,0.00,0.00,1199.40,1195.41,1137.80,1199.40,1195.41,1137.80
22,Kishoreganj,19.95,17.56,17.18,0,0.00,0.00,75.73,77.48,77.77,75.73,77.48,77.77
23,Madaripur,629.13,609.63,608.16,0,0.00,0.00,2103.40,2046.80,2086.47,2103.40,2046.80,2086.47
24,Manikganj,532.37,402.68,293.01,0,0.00,0.00,537.65,486.86,520.29,537.65,486.86,520.29
25,Munshiganj,32.03,31.07,30.06,0,0.00,0.00,62.83,67.68,62.09,62.83,67.68,62.09
26,Narayanganj,50.43,57.43,57.19,0,0.00,0.00,415.9,295.20,240.20,415.90,295.20,240.20
27,Narsingdi,19.51,19.74,19.81,1,0.56,0.55,135.17,131.28,126.54,136.17,131.84,127.09
28,Rajbari,123.30,120.30,119.65,30.40,28.99,0.00,1032.10,1002.21,1018.17,1062.50,1031.20,1018.17
29,Shariatpur,273.75,203.22,180.97,30.40,25.65,0.34,762.60,629.64,508.26,793,655.29,508.60
30,Tangail,97.93,100.33,99.39,12.45,11.90,0.00,481.13,460.14,468.68,493.58,472.04,468.68
Dhaka Division,None,2991.59,2904.98,2773.07,244.66,233.17,0.89,8255.88,7778.36,7751.80,8500.54,8011.53,7752.69
31,Bagerhat,210.84,187.48,191.14,0,0.00,0.00,375.92,373.57,376.43,375.92,373.57,376.43
32,Chuadanga,147.35,147.18,139.91,252.93,244.93,241.67,445.84,424.08,420.00,698.77,669.01,661.67
33,Jashore,483.93,446.98,451.37,653,616.77,697.23,433.50,499.03,602.75,1086.50,1115.80,1299.98
34,Jhenaidah,348.37,347.31,349.45,324.60,319.45,299.40,1566.80,1545.39,1590.86,1891.40,1864.84,1890.26
35,Khulna,294.12,286.94,286.55,6.59,6.33,6.38,482.27,471.07,478.93,488.86,477.40,485.31
36,Kushtia,129,130.00,129.00,42.98,27.98,0.00,778.02,503.02,388.00,821,531.00,388.00
37,Magura,117.34,115.66,114.92,0,0.00,0.00,521.54,498.13,555.90,521.54,498.13,555.90
38,Meherpur,36.38,37.46,40.92,0,0.00,0.00,61.54,63.93,71.48,61.54,63.93,71.48
39,Narail,610.10,762.58,408.98,0,0.00,0.00,546.37,1257.55,1252.42,546.37,1257.55,1252.42
40,Satkhira,429.96,489.55,529.90,121.27,118.22,105.15,768.35,712.08,625.00,889.62,830.30,730.15
Khulna Division,None,2807.39,2951.14,2642.14,1401.37,1333.68,1349.83,5980.15,6347.85,6361.77,7381.52,7681.53,7711.60
41,Jamalpur,67,68.00,70.00,0,0.00,0.00,180,238.00,246.00,180,238.00,246.00
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
42,Mymensingh,1074,1086.00,1105.00,0,0.00,0.00,2538,2748.00,2898.00,2538,2748.00,2898.00
43,Netrokona,27,27.00,34.00,0,0.00,0.00,125,123.00,125.00,125,123.00,125.00
44,Sherpur,14,13.00,12.00,0,0.00,0.00,482,17.00,17.00,482,17.00,17.00
Mymensingh Division,None,1182,1194.00,1221.00,0,0.00,0.00,3325,3126.00,3286.00,3325,3126.00,3286.00
45,Bogura,441,254.86,266.90,2.66,0.57,0.00,1487.34,1484.43,1196.00,1490,1485.00,1196.00
46,Joypurhat,74,71.56,73.08,0,0.00,0.00,162,159.18,203.48,162,159.18,203.48
47,Naogaon,464,196.52,256.22,0,0.00,0.00,407,620.11,769.88,407,620.11,769.88
48,Natore,687,868.18,871.27,168.70,213.82,203.01,1960.30,2378.00,2388.79,2129,2591.82,2591.82
49,Chapai Nawabganj,140,55.33,62.59,1,0.00,1.00,332,217.17,177.84,333,217.17,178.84
50,Pabna,284,172.72,180.51,0,0.00,0.00,1105,1198.00,1248.00,1105,1198.00,1248.00
51,Rajshahi,679,706.86,717.97,87,79.52,76.05,3311,3178.28,3103.35,3398,3257.80,3179.40
52,Sirajganj,30,30.11,29.59,0,0.00,0.00,168,155.96,140.11,168,155.96,140.11
Rajshahi Division,None,2799,2356.14,2458.13,259.36,293.91,280.06,8932.64,9391.13,9227.45,9192,9685.04,9507.51
53,Dinajpur,80,75.41,73.58,1,0.82,0.00,478,285.36,274.70,479,286.18,274.70
54,Gaibandha,34.92,38.19,37.11,0,0.00,0.00,115.98,139.20,151.19,115.98,139.20,151.19
55,Kurigram,33.29,27.55,27.53,0,0.00,0.00,194.71,157.13,168.03,194.71,157.13,168.03
56,Lalmonirhat,34.49,34.78,35.83,0,0.00,0.00,51.44,75.64,52.99,51.44,75.64,52.99
57,Nilphamari,42.65,9.50,9.42,0,0.00,0.00,61.98,59.04,50.86,61.98,59.04,50.86
58,Panchagar,5.50,5.55,5.70,0,0.00,0.00,18.21,26.27,24.82,18.21,26.27,24.82
59,Rangpur,38.14,37.81,38.20,0,0.00,0.00,154.21,156.36,153.77,154.21,156.36,153.77
60,Tahkurgaon,57.08,6.32,7.62,0,0.00,0.00,61.60,33.40,49.48,61.60,33.40,49.48
Rangpur Division,None,326.07,235.11,234.99,1,0.82,0.00,1136.13,932.40,925.84,1137.13,933.22,925.84
61,Habigonj,38,91.00,91.00,0,0.00,0.00,72.82,95.00,56.00,72.82,95.00,56.00
62,Moulvibazar,7.97,8.53,8.46,0,0.00,0.00,38.75,39.86,38.07,38.75,39.86,38.07
63,Sunamganj,0,0.00,67.00,0,0.00,0.00,0,0.00,49.50,0,0.00,49.50
64,Sylhet,266,6.00,7.20,0,0.00,0.00,15.10,27.12,28.00,15.10,27.12,28.00
Sylhet Division,None,312.17,105.53,173.66,0,0.00,0.00,126.67,161.98,171.57,126.67,161.98,171.57
BANGLADESH,None,21628.56,15680.05,21513.79,1963.60,1921.50,1689.72,38245.74,37828.34,37149.75,40209.34,39749.84,38839.47
None,None,2021-22,2022-23,2023-24,,2022-23,2023-24,,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,4785,4069.67,4061.89,,0.00,0.00,,5603.00,5043.00,5823,5603.00,5043.00
2,Barishal,1589,298.00,331.00,,0.00,0.00,,44271.00,6819.00,11270,44271.00,6819.00
3,Bhola,154,136.22,119.59,,0.00,0.00,,2579.00,1877.20,2574,2579.00,1877.20
4,Jhallokati,424,519.00,518.00,,0.00,0.00,,1814.00,1816.00,1343,1814.00,1816.00
5,Patuakhali,532,214.00,214.00,,0.00,0.00,,3432.00,3472.00,2766,3432.00,3472.00
6,Pirojpur,467,467.48,460.66,,0.00,0.00,,4661.00,4753.00,4616,4661.00,4753.00
Barishal Division,None,7951,5704.37,5705.14,,0.00,0.00,,62360.00,23780.20,28392,62360.00,23780.20
7,Bandarban,9,9.00,9.00,,0.00,0.00,,52.25,52.75,52,52.25,52.75
8,Brahmanbaria,68,58.20,67.06,,0.00,0.00,,572.25,542.37,485,572.25,542.37
9,Chandpur,206,206.66,160.66,,0.00,0.00,,6342.65,5237.43,6314,6342.65,5237.43
10,Chattogram,178,145.92,179.01,,0.00,0.00,,2736.69,1829.31,2497,2736.69,1829.31
11,Cumilla,679,960.56,694.90,,1.20,61.58,,6925.75,6743.10,6565,6926.95,6804.68
12,Cox’s Bazar,49,92.26,91.40,,0.00,0.00,,680.94,594.30,692,680.94,594.30
13,Feni,162,162.36,163.75,,0.00,0.00,,1466.40,1710.00,1463,1466.40,1710.00
14,Khagrachari,24,24.65,24.89,,0.00,0.00,,152.73,152.85,145,152.73,152.85
15,Lakshmipur,58,62.34,76.00,,0.00,0.00,,2743.52,2566.00,2985,2743.52,2566.00
16,Noakhali,260,260.77,266.05,,0.00,0.00,,7773.44,15394.90,9162,7773.44,15394.90
17,Rangamati,85,84.45,86.17,,0.00,0.00,,284.41,287.39,285,284.41,287.39
Chattogram Division,None,1778,2067.17,1818.89,,1.20,61.58,,29731.03,35110.40,30645,29732.23,35171.98
18,Dhaka,22,22.10,28.85,,0.00,0.00,,726.48,701.13,747,726.48,701.13
19,Faridpur,249,306.00,307.00,,544.61,0.00,,7182.17,7577.50,7744,7726.78,7577.50
20,Gazipur,179,182.00,183.00,,98.11,86.02,,1224.89,1249.98,1357,1323.00,1336.00
21,Gopalganj,386,387.84,379.91,,0.00,0.00,,4823.79,3086.27,4648,4823.79,3086.27
22,Kishoreganj,30,29.27,28.18,,0.00,0.00,,596.75,609.87,589,596.75,609.87
23,Madaripur,360,255.54,347.29,,0.00,0.00,,7657.91,7517.67,7796,7657.91,7517.67
24,Manikganj,64,49.83,49.81,,0.00,0.00,,469.64,409.90,599,469.64,409.90
25,Munshiganj,14,14.09,13.60,,0.00,0.00,,303.04,289.45,297,303.04,289.45
26,Narayanganj,9,11.18,11.20,,0.00,0.00,,263.67,260.70,384,263.67,260.70
27,Narsingdi,53,52.69,53.19,,0.00,0.00,,1201.36,1200.77,1194,1201.36,1200.77
28,Rajbari,62,62.50,51.06,,83.05,83.05,,2746.95,2813.63,2740,2830.00,2896.68
29,Shariatpur,172,127.63,124.18,,105.60,105.60,,862.75,883.81,1362,968.35,989.41
30,Tangail,76,77.06,105.88,,53.98,21.10,,1770.91,1743.60,1771,1824.89,1764.70
Dhaka Division,None,1676,1577.73,1683.15,,885.35,295.77,,29830.31,28344.28,31228,30715.66,28640.05
31,Bagerhat,128,154.18,160.96,,67.43,0.00,,3250.72,3260.06,3066,3318.15,3260.06
32,Chuadanga,22,28.05,28.51,,6.81,6.86,,433.36,433.58,443,440.17,440.44
33,Jashore,254,256.26,245.72,,97.53,182.63,,2283.08,2299.05,2187,2380.61,2481.68
34,Jhenaidah,150,147.62,145.75,,0.00,0.00,,2454.73,2493.76,2445,2454.73,2493.76
35,Khulna,141,143.16,142.69,,0.00,0.00,,1629.80,1619.00,1574,1629.80,1619.00
36,Kushtia,104,104.00,87.00,,0.00,0.00,,2016.00,1681.00,2027,2016.00,1681.00
37,Magura,112,112.06,113.45,,0.00,0.00,,2097.57,2473.04,2056,2097.57,2473.04
38,Meherpur,35,37.19,39.07,,0.00,0.00,,216.40,216.19,222,216.40,216.19
39,Narail,202,192.28,192.20,,0.00,0.00,,1212.86,1226.73,1213,1212.86,1226.73
40,Satkhira,361,483.83,484.61,,66.62,65.81,,2170.86,2166.36,2039,2237.48,2232.17
Khulna Division,None,1509,1658.63,1639.96,,238.39,255.30,,17765.38,17868.77,17272,18003.77,18124.07
41,Jamalpur,46,47.00,48.00,,0.00,0.00,,424.00,432.00,408,424.00,432.00
None,None,2021-22,2022-23,2023-24,,2022-23,2023-24,,2022-23,2023-24,2021-22,2022-23,2023-24
42,Mymensingh,683,690.00,702.00,,0.00,0.00,,2861.00,2916.00,2762,2861.00,2916.00
43,Netrokona,50,50.00,53.00,,0.00,0.00,,382.00,397.00,373,382.00,397.00
44,Sherpur,100,69.00,77.00,,0.00,0.00,,2849.00,2127.00,1802,2849.00,2127.00
Mymensingh Division,None,879,856.00,880.00,,0.00,0.00,,6516.00,5872.00,5345,6516.00,5872.00
45,Bogura,255,243.55,230.74,,0.00,0.00,,9406.00,9397.02,7683,9406.00,9397.02
46,Joypurhat,48,40.57,78.92,,0.00,0.00,,632.35,1081.87,752,632.35,1081.87
47,Naogaon,302,445.59,197.88,,0.00,0.00,,8000.30,5674.39,7026,8000.30,5674.39
48,Natore,140,212.54,212.62,,0.00,0.00,,3118.50,3915.53,3668,3118.50,3915.53
49,Chapai Nawabganj,180,138.29,108.04,,0.00,0.00,,1014.20,1028.35,925,1014.20,1028.35
50,Pabna,70,58.27,47.52,,0.00,0.00,,2084.00,2289.86,2617,2084.00,2289.86
51,Rajshahi,512,353.79,375.64,,0.00,0.00,,3671.80,2974.10,4276,3671.80,2974.10
52,Sirajganj,95,93.25,68.62,,0.00,0.00,,2119.60,1590.01,2058,2119.60,1590.01
Rajshahi Division,None,1602,1585.85,1319.98,,0.00,0.00,,30046.75,27951.13,29005,30046.75,27951.13
53,Dinajpur,88,76.86,77.38,,0.00,0.00,,718.50,738.54,736,718.50,738.54
54,Gaibandha,23,22.06,20.14,,0.00,0.00,,265.96,271.85,263,265.96,271.85
55,Kurigram,11,8.88,8.76,,0.00,0.00,,83.79,83.63,91,83.79,83.63
56,Lalmonirhat,5,5.80,6.57,,0.00,0.00,,40.65,56.66,39,40.65,56.66
57,Nilphamari,4,4.87,4.85,,0.00,0.00,,76.26,80.50,76,76.26,80.50
58,Panchagar,5,5.17,5.65,,0.00,0.00,,89.15,93.71,89,89.15,93.71
59,Rangpur,22,23.87,25.23,,0.00,0.00,,450.02,452.56,437,450.02,452.56
60,Tahkurgaon,7,6.84,6.92,,0.00,0.00,,136.43,139.16,136,136.43,139.16
Rangpur Division,None,165,154.35,155.50,,0.00,0.00,,1860.76,1916.61,1867,1860.76,1916.61
61,Habigonj,152,163.03,148.17,,0.00,0.00,,450.12,427.74,288,450.12,427.74
62,Moulvibazar,40,31.65,30.61,,0.00,0.00,,262.31,267.60,281,262.31,267.60
63,Sunamganj,5,6.30,7.00,,0.00,0.00,,21.00,24.00,17,21.00,24.00
64,Sylhet,9,9.00,8.86,,0.00,0.00,,119.00,127.00,105,119.00,127.00
Sylhet Division,None,206,209.98,194.64,,0.00,0.00,,852.43,846.34,691,852.43,846.34
BANGLADESH,None,15766,13814.08,13397.26,,1124.94,612.65,,178962.66,141689.73,144445,188087.60,142302.38
None,None,2021-22,2022-23,2023-24,,2022-23,2023-24,,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,2187.43,"2063.0
9","2066.0
0",,0.00,0.00,,3900.90,"74156.3
0",3873,3900.90,3918.00
2,Barishal,1083,164.00,150.00,,0.00,0.00,,724.00,532.00,1485,724.00,532.00
3,Bhola,56.92,55.65,121.00,,0.00,0.00,,526.00,563.00,510,526.00,563.00
4,Jhallokati,512.48,517.00,529.00,,0.00,0.00,,607.00,645.00,518,607.00,645.00
5,Patuakhali,467.56,129.00,129.00,,0.00,0.00,,2113.00,2175.00,2911,2113.00,2175.00
6,Pirojpur,669.88,669.23,670.00,,0.00,0.00,,1555.00,1558.00,"1557.0
5",1555.00,1558.00
Barishal Division,None,4977.27,"3597.9
7","3665.0
0",,0.00,0.00,,9425.90,9391.00,"10854.
05",9425.90,9391.00
7,Bandarban,132,131.50,131.50,,0.00,0.00,,38.20,38.20,38,38.20,38.20
8,Brahmanbaria,66,65.20,65.27,,0.00,0.00,,347.30,354.65,316,347.30,354.65
9,Chandpur,239,246.00,250.65,,0.00,0.00,,3597.20,3656.04,3357,3597.20,3656.04
10,Chattogram,163,163.40,167.43,,0.00,0.00,,1691.40,1707.02,1700,1691.40,1707.02
11,Cumilla,1012,"1012.5
0","10313.
00",,140.50,140.66,,1750.50,1750.34,1882,1891.00,1891.00
12,Cox’s Bazar,7,2.50,7.62,,0.00,0.00,,116.10,116.10,118,116.10,116.10
13,Feni,171,173.20,175.19,,0.00,0.00,,329.80,439.50,329,329.80,439.50
14,Khagrachari,17,17.00,17.72,,0.00,0.00,,41.50,44.96,36,41.50,44.96
15,Lakshmipur,61,61.20,61.70,,0.00,0.00,,1145.90,1159.00,1135,1145.90,1159.00
16,Noakhali,155,165.70,167.54,,0.00,0.00,,2200.50,2238.01,2209,2200.50,2238.01
17,Rangamati,17,16.84,17.15,,0.00,0.00,,47.97,52.62,48,47.97,52.62
Chattogram Division,None,2040,"2055.0
4","11374.
77",,140.50,140.66,,"11306.3
7","11556.4
4",11168,"11446.8
7","11697.1
0"
18,Dhaka,21.10,19.29,22.32,,0.00,0.00,,209.19,219.15,200.91,209.19,219.15
19,Faridpur,117.00,119.00,120.00,,98.29,95.39,,3043.41,3013.81,"3143.5
8",3141.70,3109.20
