118,Fish (Telapia),15659,15828,16365,16152,15638,15564,15526,15672,15808,43354,15824,42875,15839
119,Fish (Sorpoti),17429,18458,18097,19831,18715,19379,19573,16269,17871,15891,-,16143,18367
120,Fish (Panggas),14523,14666,15045,14949,14925,14385,15153,14829,15013,15200,15153,18132,14933
121,Fish (Shol),43750,43542,42800,41444,99333,42083,48900,41013,41117,41117,-,15357,47838
122,Fish (Grascarp),18465,21488,20138,20230,19960,19102,20073,19984,20114,20339,20562,41117,20075
123,Fish (Silver Carp),16391,16757,17390,18087,17146,16140,16490,16576,16603,16354,16655,20449,16773
124,Fish (Mola),27375,27258,26260,31633,29233,29550,38219,38945,39224,38495,-,16686,33216
125,Lobster,64167,57667,62031,70142,76250,80000,77500,77917,79792,83750,-,39182,73656
126,Shirmp,24406,30667,44350,41604,43946,51361,48875,49472,51125,50292,-,81000,44150
127,Betelnut,35549,35390,33854,31128,34138,33878,27618,28622,29535,29022,28960,49556,31557
128,Sugarcane Juice,10810,10510,10459,10300,10520,10643,11095,10628,10858,10996,10863,30985,10710
129,Date-Palm Juice,16750,16750,16750,13111,13900,16078,19077,18871,19067,18666,18813,10842,16698
130,Puffed Rice (Muri),6767,7275,7119,7052,7002,6781,7232,8758,8970,8918,7490,12542,7586
131,Mashed Rice (Chira),5373,4502,5371,6101,5528,5098,7179,5439,5562,5563,5592,7663,5566
132,"Betel Leaves ((6400
pieces )",8083,7678,8221,7615,7263,7541,8189,9016,8945,8882,8528,4582,8198
