0,1,2,3,4,5,6,7,8,9,10,11
District/ Division,,2022-23,,,,,2023-24,,,,
,,Area,,Yield Rate,,Production,Area,,Yield Rate,,"Producti
on"
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton)
Rajshahi Division,,149584,60546,14.04,1.295,78414,138449,56030,14.13,1.304,73039
Rangpur Divison,,0,0,0.00,0.000,0,0,0,0.00,0.000,0
Sylhet Division,,12458,5042,13.67,1.261,6359,8944,3620,13.50,1.290,4671
Bangladesh,,541716,219264,11.90,1.097,240642,561046,227052,12.57,1.160,263321
