District name,Jan-2024,,,,,,,,,,,,,,,,,,,,,,,
,With Food,,,,,,,,,,,,,,,,,,Without Food (in TK),,,,,
,One meal,,,,,,Two meal,,,,,,Three meal,,,,,,,,,,,
,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,
Banderban,0,,,0,,,0,,,0,,,0,,,0,,,643,,,471,,
Khagrachari,450,,,300,,,0,,,0,,,0,,,0,,,494,,,404,,
Rangamati,446,,,317,,,325,,,300,,,0,,,0,,,540,,,338,,
Chattogram,686,,,464,,,602,,,412,,,558,,,400,,,722,,,489,,
Cox’sbazar,756,,,425,,,702,,,390,,,683,,,0,,,824,,,475,,
Cumilla,579,,,357,,,494,,,350,,,414,,,317,,,642,,,417,,
Chandpur,0,,,0,,,0,,,0,,,0,,,0,,,600,,,0,,
Brahmmanbaria,525,,,425,,,467,,,400,,,433,,,350,,,604,,,528,,
Noakhali,631,,,0,,,600,,,0,,,525,,,0,,,711,,,0,,
Lakshmipur,0,,,0,,,0,,,0,,,0,,,0,,,420,,,0,,
Feni,650,,,0,,,0,,,0,,,0,,,0,,,700,,,0,,
Chattogram Division,590,,,381,,,532,,,370,,,522,,,356,,,627,,,446,,
Sylhet,464,,,350,,,415,,,0,,,375,,,0,,,508,,,400,,
Maulavi Bazar,480,,,396,,,450,,,350,,,0,,,0,,,515,,,426,,
Sunamganj,471,,,364,,,0,,,0,,,0,,,0,,,516,,,403,,
Habiganj,500,,,350,,,0,,,0,,,0,,,0,,,503,,,400,,
Sylhet Division,479,,,365,,,433,,,350,,,375,,,0,,,510,,,407,,
Dhaka,562,,,450,,,541,,,400,,,550,,,350,,,622,,,550,,
Gazipur,638,,,500,,,550,,,450,,,550,,,438,,,730,,,555,,
Manikganj,538,,,450,,,507,,,425,,,482,,,400,,,600,,,484,,
Munshiganj,600,,,0,,,0,,,0,,,539,,,0,,,600,,,350,,
Narayanganj,0,,,0,,,0,,,0,,,0,,,0,,,491,,,423,,
Narsingdi,0,,,0,,,556,,,420,,,540,,,0,,,589,,,0,,
Faridpur,566,,,0,,,0,,,0,,,500,,,0,,,589,,,0,,
Rajbari,567,,,0,,,533,,,0,,,0,,,0,,,589,,,0,,
Madaripur,429,,,419,,,0,,,0,,,500,,,0,,,589,,,443,,
Gopalganj,450,,,0,,,0,,,0,,,425,,,400,,,589,,,433,,
Shariatpur,625,,,363,,,0,,,0,,,600,,,0,,,589,,,420,,
Tangail,660,,,490,,,553,,,440,,,528,,,390,,,589,,,520,,
Kishoreganj,563,,,0,,,552,,,0,,,569,,,0,,,589,,,0,,
Dhaka Division,563,,,445,,,542,,,427,,,526,,,396,,,597,,,464,,
Mymensing,,576,,,470,,,532,,,432,,,502,,,362,,,589,,,492,
Jamalpur,,550,,,0,,,530,,,0,,,515,,,0,,,589,,,0,
Sherpur,,570,,,350,,,526,,,300,,,600,,,0,,,589,,,400,
Netrokona,,598,,,445,,,583,,,410,,,563,,,350,,,589,,,487,
Mymensing Division,574,,,422,,,543,,,381,,,545,,,356,,,589,,,460,,
