District name,Jul-2024,,,,,,,,,,,,,,,,,,,,,,,
,With Food,,,,,,,,,,,,,,,,,,Without Food (in TK),,,,,
,One meal,,,,,,Two meal,,,,,,Three meal,,,,,,,,,,,
,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,
Banderban,667,,,467,,,617,,,425,,,600,,,375,,,657,,,471,,
Khagrachari,450,,,300,,,0,,,0,,,0,,,0,,,494,,,404,,
Rangamati,438,,,313,,,413,,,300,,,0,,,0,,,513,,,357,,
Chattogram,667,,,450,,,618,,,390,,,600,,,375,,,732,,,492,,
Cox’sbazar,714,,,425,,,655,,,375,,,520,,,317,,,752,,,475,,
Cumilla,628,,,425,,,556,,,375,,,500,,,363,,,734,,,482,,
Chandpur,0,,,0,,,0,,,0,,,0,,,0,,,600,,,0,,
Brahmmanbaria,517,,,425,,,450,,,0,,,0,,,0,,,611,,,488,,
Noakhali,619,,,0,,,650,,,0,,,600,,,0,,,717,,,0,,
Lakshmipur,0,,,0,,,0,,,0,,,0,,,0,,,490,,,0,,
Feni,650,,,0,,,0,,,0,,,0,,,0,,,700,,,0,,
Chattogram Division,594,,,401,,,566,,,373,,,564,,,357,,,636,,,453,,
Sylhet,471,,,350,,,416,,,0,,,375,,,0,,,516,,,400,,
Maulavi Bazar,525,,,416,,,400,,,376,,,0,,,0,,,540,,,439,,
Sunamganj,480,,,351,,,0,,,0,,,0,,,0,,,524,,,388,,
Habiganj,525,,,450,,,0,,,0,,,0,,,0,,,525,,,414,,
Sylhet Division,500,,,392,,,408,,,376,,,375,,,0,,,526,,,410,,
Dhaka,655,,,500,,,635,,,450,,,590,,,400,,,690,,,550,,
Gazipur,638,,,500,,,0,,,0,,,550,,,463,,,715,,,560,,
Manikganj,550,,,425,,,500,,,400,,,470,,,380,,,627,,,500,,
Munshiganj,500,,,0,,,0,,,0,,,523,,,0,,,592,,,550,,
Narayanganj,650,,,560,,,613,,,533,,,550,,,505,,,675,,,577,,
Narsingdi,0,,,0,,,572,,,0,,,581,,,0,,,591,,,0,,
Faridpur,605,,,470,,,0,,,0,,,0,,,0,,,650,,,500,,
Rajbari,550,,,0,,,533,,,0,,,0,,,0,,,630,,,0,,
Madaripur,517,,,419,,,0,,,450,,,400,,,0,,,605,,,444,,
Gopalganj,650,,,0,,,0,,,0,,,475,,,350,,,575,,,400,,
Shariatpur,625,,,375,,,0,,,0,,,600,,,0,,,679,,,430,,
Tangail,570,,,420,,,543,,,370,,,500,,,340,,,622,,,485,,
Kishoreganj,0,,,0,,,550,,,0,,,626,,,0,,,619,,,0,,
Dhaka Division,592,,,459,,,564,,,441,,,533,,,406,,,636,,,500,,
Mymensing,,593,,,500,,,574,,,472,,,512,,,440,,,657,,,545,
Jamalpur,,590,,,-,,,530,,,-,,,505,,,-,,,645,,,-,
Sherpur,,624,,,400,,,584,,,400,,,580,,,-,,,670,,,450,
Netrokona,,554,,,475,,,531,,,425,,,475,,,400,,,607,,,497,
Mymensing Division,590,,,458,,,555,,,432,,,518,,,420,,,645,,,497,,
