District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden (M.Tons),None_3,None_4,Production of Outside Garden(M.Tons),None_5,None_6,Total Production of Inside & Outside Garden (M. Tons),None_7,None_8
21,Gopalganj,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
22,Kishoreganj,8.40,8.00,8.35,0.00,0.00,0.00,,32.83,34.04,32.08,32.83,"34.0
4"
23,Madaripur,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
24,Manikganj,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
25,Munshiganj,1.25,1.14,1.44,0.00,0.00,0.00,,3.91,2.97,4.33,3.91,2.97
26,Narayanganj,2.71,2.61,2.58,7.11,7.048,6.50,,21.43,19.13,29.35,28.478,"25.6
3"
27,Narsingdi,161.50,163.11,164.80,1342.45,1385.64,1350.56,,347.12,399.78,1672.51,1732.76,"1750.3
4"
28,Rajbari,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
29,Shariatpur,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
30,Tangail,3.94,3.67,3.90,0.00,0.00,0.00,,13.88,14.80,14.03,13.88,"14.8
0"
Dhaka Division,None,241.02,243.71,247.22,1349.56,1392.688,1357.06,,594.1,650.82,1924.58,1986.788,"2007.8
8"
31,Bagerhat,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
32,Chuadanga,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
33,Jashore,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
34,Jhenaidah,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
35,Khulna,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
36,Kushtia,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
37,Magura,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,,2022-23,2023-24,2021-22,2022-23,2 023-24
38,Meherpur,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
39,Narail,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
40,Satkhira,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
Khulna Division,None,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
41,Jamalpur,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
42,Mymensingh,69.00,70.31,70.31,47.23,46.95,48.82,,120.05,127.17,165.00,167.00,175.99
43,Netrokona,16.00,18.59,18.59,0,5.776,6.16,,43.22,48.83,55.00,49.00,54.99
44,Sherpur,5.00,5.18,5.18,41.89,36.93,33.16,,4.064,3.84,47.00,41.00,37.00
Mymensingh Division,None,90.00,94.08,94.08,89.12,89.656,88.14,,167.338,179.84,267.00,256.99,267.98
45,Bogura,1.98,2.00,1.90,0.00,0.00,0.00,,7,7.40,6.89,7,7.40
46,Joypurhat,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
47,Naogaon,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
48,Natore,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
49,Chapai Nawabganj,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
50,Pabna,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
51,Rajshahi,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
52,Sirajganj,0.00,0.00,0.40,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
Rajshahi Division,None,1.98,2.00,2.30,0.00,0.00,0.00,,7,7.40,6.89,7,7.40
53,Dinajpur,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
54,Gaibandha,1.38,1.57,1.67,0.00,0.00,0.00,,4.96,5.08,4.25,4.96,5.08
55,Kurigram,16.24,16.52,16.00,2.62,3.25,3.46,,77.93,76.54,80.54,81.18,80.00
56,Lalmonirhat,9.11,10.07,11.77,6.46,6.44,6.14,,69.38,68.47,75.39,75.82,74.61
57,Nilphamari,5.79,6.02,6.90,0,0,0.00,,37.08,41.57,34.71,37.08,41.57
58,Panchagar,19.88,22.07,23.68,14.82,22.818,28.67,,65.74,70.71,72.27,88.558,99.37
59,Rangpur,3.23,3.75,4.26,0.00,0.00,0.00,,67.00,74.09,55.00,67.00,74.09
60,Thakurgaon,0.00,0.00,0.00,0.00,0.00,0.00,,0,0.00,0,0,0.00
Rangpur Divison,None,55.63,60.00,64.28,23.9,32.508,38.26,,322.09,336.46,322.16,354.598,374.72
61,Habiganj,0.00,0.00,0.00,0.00,0.00,0.00,,0,0.00,0,0,0.00
62,Moulvibazar,13.78,13.80,13.82,0.00,0.00,0.00,,25.55,25.51,24.96,25.55,25.51
63,Sunamganj,0.40,0.40,0.40,0.00,0.00,0.00,,0.99,1.06,0.90,0.99,1.06
64,Sylhet,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00
Sylhet Division,None,14.18,14.20,14.22,0.00,0.00,0.00,,26.54,26.57,25.86,26.54,26.57
BANGLADESH,None,456.71,470.25,479.60,1462.58,1514.85,1483.46,,1231.24,1307.52,2657.06,2746.09,"2790.9
8"
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,183.44,147.12,147.12,0.00,0.00,0.00,,53.98,52.10,5 3 . 6 8,53.98,53.98
2,Barishal,150.53,64.00,67.00,0.00,0.00,0.00,,151.00,166.00,345.00,151.00,151.00
3,Bhola,36.48,36.42,36.42,0.00,0.00,0.00,,122.10,114.00,132.30,122.10,122.10
4,Jhallokati,197.00,196.00,197.00,0.00,0.00,0.00,,184.00,177.00,190.00,184.00,184.00
5,Patuakhali,104.00,72.00,66.63,0.00,0.00,0.00,,93.00,113.00,105.00,93.00,93.00
6,Pirojpur,15.10,15.88,15.67,0.00,0.00,0.00,,62.23,71.03,62.01,62.23,62.23
Barishal Division,None,686.55,531.42,529.84,0.00,0.00,0.00,,666.31,693.63,887.99,666.31,666.31
7,Bandarban,140.00,139.80,31.80,27.88,28.31,28.50,,186.69,187.53,214.00,215.00,216.03
8,Brahmanbaria,58.23,40.19,18.84,0.00,0.00,0.00,,172.42,244.92,239.16,172.42,244.92
9,Chandpur,67.87,68.08,14.71,0.00,0.00,0.00,,310.18,326.65,310.18,310.18,326.65
10,Chattogram,61.59,61.21,20.24,0.00,0.00,0.00,,525.21,518.86,552.18,525.21,518.86
11,Cumilla,289.94,291.14,144.72,0.00,0.00,0.00,,832.57,853.26,827.95,832.57,853.26
12,Cox’s Bazar,20.13,22.69,6.05,0.00,0.00,0.00,,260.23,262.59,269.00,260.23,262.59
13,Feni,53.73,61.12,17.50,0.00,0.00,0.00,,204.58,186.13,196.35,204.58,186.13
14,Khagrachari,76.21,76.40,29.59,0.00,0.00,0.00,,264.62,267.19,240.24,264.62,267.19
15,Lakshmipur,152.00,167.27,29.59,0.00,0.00,0.00,,408.00,410.00,433.00,408.00,410.00
16,Noakhali,37.22,37.48,15.69,0.00,0.00,0.00,,265.08,266.34,256.94,265.08,266.34
17,Rangamati,196.24,195.31,69.91,9.29,9.19,12.65,,458.77,569.66,474.30,467.96,582.31
Chattogram Division,None,1153.16,1160.69,398.64,37.17,37.50,41.15,,3888.35,3888.35,4013.30,3925.85,3929.50
18,Dhaka,14.21,12.74,14.06,0.00,0.00,0.00,,129.78,127.51,182.98,129.78,127.51
19,Faridpur,1.40,19.00,20.00,0.00,0.00,0.00,,74.37,75.37,7.11,74.37,75.37
20,Gazipur,63.00,63.00,64.00,0.00,0.00,0.00,,278.50,285.30,275.00,278.50,285.30
21,Gopalganj,33.03,32.62,32.99,0.00,0.00,0.00,,62.40,61.50,60.16,62.40,61.50
22,Kishoreganj,55.19,59.50,59.38,0.00,0.00,0.00,,411.21,375.65,417.89,411.21,375.65
23,Madaripur,9.38,9.84,10.37,0.00,0.00,0.00,,69.26,69.44,64.96,69.26,69.44
24,Manikganj,25.37,25.70,27.11,0.00,0.00,0.00,,152.40,157.50,158.88,152.40,157.50
25,Munshiganj,15.56,16.01,16.64,0.00,0.00,0.00,,113.27,125.00,101.93,113.27,125.00
26,Narayanganj,16.76,16.65,17.81,0.00,0.00,0.00,,157.61,153.17,163.26,157.61,153.17
27,Narsingdi,17.71,19.14,37.78,0.00,0.00,0.00,,134.48,151.86,124.75,134.48,151.86
28,Rajbari,43.20,50.27,34.02,0.00,0.00,0.00,,48.06,47.73,37.18,48.06,47.73
29,Shariatpur,32.80,36.72,53.89,0.00,0.00,0.00,,231.70,125.00,232.90,231.70,125.50
30,Tangail,52.84,53.58,407.03,0.00,0.00,0.00,,535.39,533.32,552.95,535.39,533.32
Dhaka Division,None,380.45,414.77,57.34,0.00,0.00,0.00,,2398.43,2288.85,2379.95,2398.43,2288.85
31,Bagerhat,50.05,57.03,4.42,0.00,0.00,0.00,,204.12,213.37,214.49,204.12,213.37
32,Chuadanga,4.22,4.23,26.41,0.00,0.00,0.00,,17.76,18.73,19.10,17.76,18.73
33,Jashore,29.34,29.06,26.06,0.00,0.00,0.00,,148.20,156.51,145.48,148.20,156.51
34,Jhenaidah,22.61,24.45,37.26,0.00,0.00,0.00,,32.28,34.56,28.56,32.28,34.56
35,Khulna,35.01,34.90,12.00,0.00,2.65,2.65,,76.67,80.72,79.95,79.32,83.37
36,Kushtia,2.00,2.26,14.70,0.00,0.00,0.00,,5.00,6.00,5.00,5.00,6.00
37,Magura,15.59,14.46,7.99,0.00,0.00,0.00,,197.56,199.53,175.66,197.56,199.53
38,Meherpur,4.06,8.10,31.80,0.00,0.00,0.00,,6.51,6.32,1.66,6.51,6.32
39,Narail,28.04,27.07,41.04,0.00,0.00,0.00,,20.29,25.44,21.54,20.29,25.44
40,Satkhira,40.39,40.71,42.01,0.00,0.00,0.00,,19.59,21.06,18.31,19.59,21.06
Khulna Division,None,231.31,252.27,95.53,0.00,2.65,2.65,,733.98,762.24,709.75,736.63,764.89
41,Jamalpur,102.00,104.00,106.00,0.00,0.00,0.00,,480.00,497.00,460.00,480.00,497.00
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,,2022-23,2023-24,2021-22,2022-23,2023-24
42,Mymensingh,249.00,149.00,254.00,0.00,0.00,0.00,,970.00,990.00,941.00,970.00,990.00
43,Netrokona,49.00,48.00,49.00,0.00,0.00,0.00,,311.00,325.00,351.00,311.00,325.00
44,Sherpur,47.59,48.00,48.00,0.00,0.00,0.00,,342.00,445.00,446.00,342.00,445.00
Mymensingh Division,None,447.59,349.00,457.00,0.00,0.00,0.00,,2103.00,2257.00,2198.00,2103.00,2257.00
45,Bogura,32.00,35.00,84.00,0.00,0.00,0.00,,255.00,266.00,204.00,255.00,266.00
46,Joypurhat,20.00,20.00,47.00,0.00,0.00,0.00,,139.00,140.00,132.00,139.00,140.00
47,Naogaon,45.00,36.00,36.00,0.00,0.00,0.00,,482.00,501.00,389.00,482.00,501.00
48,Natore,36.00,41.00,43.00,2.42,0.00,0.00,,266.00,301.00,252.00,266.00,301.00
49,Chapai Nawabganj,5.00,5.00,7.00,0.00,0.00,0.00,,12.00,13.00,10.00,12.00,13.00
50,Pabna,11.00,12.00,7.00,0.00,0.00,0.00,,78.00,86.00,78.00,78.00,86.00
51,Rajshahi,82.00,126.00,84.00,0.00,0.00,0.25,,62.75,300.00,296.00,63.00,300.00
52,Sirajganj,11.00,12.00,14.00,0.00,0.00,0.00,,174.00,177.00,166.00,174.00,177.00
Rajshahi Division,None,242.00,287.00,322.00,2.42,0.00,0.25,,1468.75,1784.00,1527.00,1469.00,1784.25
53,Dinajpur,48.00,48.00,47.32,0.00,0.00,0.00,,325.00,346.48,333.00,325.00,346.48
54,Gaibandha,27.92,23.47,19.95,0.00,0.00,13.53,,161.10,152.46,157.11,161.10,165.99
55,Kurigram,23.91,24.15,24.00,0.00,0.00,0.00,,119.13,119.00,150.10,119.13,119.00
56,Lalmonirhat,162.53,163.41,162.73,0.00,0.00,0.00,,348.61,340.24,345.91,348.61,340.00
57,Nilphamari,44.05,44.05,46.51,0.00,0.00,0.00,,352.74,342.63,352.74,352.74,342.63
58,Panchagar,43.72,40.30,39.00,0.00,0.00,0.00,,168.85,170.00,168.70,168.85,170.00
59,Rangpur,17.52,18.97,19.31,0.00,0.00,0.00,,243.68,245.67,222.00,243.68,245.67
60,Thakurgaon,18.04,18.00,18.00,0.00,0.00,0.00,,268.65,260.64,241.53,268.65,260.64
Rangpur Divison,None,385.69,380.35,376.82,0.00,0.00,13.53,,1987.76,1977.12,1971.09,1987.76,1990.65
61,Habiganj,17.85,19.14,22.20,0.00,0.00,0.00,,40.36,33.21,41.06,40.36,33.21
62,Moulvibazar,113.98,132.48,128.48,0.00,0.00,0.00,,720.83,615.29,671.26,720.83,615.29
63,Sunamganj,83.00,84.00,84.20,0.00,0.00,0.00,,186.00,196.00,179.00,186.00,196.00
64,Sylhet,219.58,221.71,188.42,53.79,58.99,58.86,,298.72,298.72,353.17,357.71,357.58
Sylhet Division,None,434.41,457.33,423.30,53.79,58.99,58.86,,1245.91,1143.22,1244.49,1304.90,1202.08
BANGLADESH,None,3961.16,3832.83,3010.16,93.38,99.39,102.91,,14492.49,14794.41,14931.57,14591.88,14897.32
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,,2022-23,2023-24,,2022-23,2023-24
1,Barguna,72.38,88.82,89.82,0.00,0.00,0.00,,87.23,86.00,,87.23,86.00
2,Barishal,563.28,511.48,230.38,0.00,0.00,0.00,,424.00,424.00,,424.00,424.00
3,Bhola,139.78,140.94,52.82,0.00,0.00,0.00,,178.41,121.00,,178.41,121.00
4,Jhallokati,160.80,154.28,42.06,0.00,0.00,0.00,,122.00,123.00,,122.00,123.00
5,Patuakhali,497.48,497.62,106.34,0.00,0.00,0.00,,685.09,819.00,,685.09,819.00
6,Pirojpur,117.16,119.44,449.98,0.00,0.00,0.00,,79.80,1582.00,,79.80,1582.00
Barishal Division,None,1550.88,1512.58,970.40,0.00,0.00,0.00,,1576.53,3155.00,,1576.53,3155.00
7,Bandarban,84.84,91.44,46.44,32.15,32.82,0.00,,160.06,75.00,,192.88,75.00
8,Brahmanbaria,168.36,170.26,170.58,0.00,0.00,129.51,,412.17,749.32,,412.17,878.83
9,Chandpur,248.76,249.98,121.86,0.00,0.00,0.00,,316.37,323.37,,316.37,323.37
10,Chattogram,584.14,522.78,24.98,111.36,174.39,33.58,,1163.33,160.42,,1337.72,194.00
11,Cumilla,383.24,384.18,179.34,123.09,123.93,125.04,,617.47,624.76,,741.40,749.80
12,Cox’s Bazar,135.70,136.00,57.36,0.00,0.00,0.00,,269.31,276.80,,269.31,276.80
13,Feni,123.60,124.40,51.32,0.00,0.00,0.00,,142.00,139.10,,142.00,139.10
14,Khagrachari,717.60,717.62,84.88,0.00,0.00,0.00,,1408.75,250.71,,1408.75,250.71
15,Lakshmipur,114.64,115.32,240.90,0.00,0.00,271.12,,79.29,2298.95,,79.29,2570.07
16,Noakhali,189.30,182.68,52.60,0.00,0.00,0.00,,244.33,417.23,,244.33,417.23
17,Rangamati,427.80,432.32,274.44,131.44,130.48,0.00,,754.11,1287.32,,884.59,128.32
Chattogram Division,None,3177.98,3126.98,1304.70,398.04,461.62,559.25,,5567.19,6602.97,,6028.81,7162.22
18,Dhaka,172.16,186.80,77.58,0.00,0.00,0.00,,244.62,244.69,,244.62,244.69
19,Faridpur,561.60,567.88,263.88,0.00,0.00,0.00,,698.60,683.00,,698.60,244.69
20,Gazipur,361.70,363.60,109.14,0.00,0.00,0.00,,757.30,757.30,,757.30,683.00
21,Gopalganj,361.46,364.66,168.46,20.69,33.33,33.25,,411.92,415.76,,445.25,757.30
22,Kishoreganj,454.26,454.06,162.22,0.00,0.00,0.00,,1128.00,1128.00,,1128.00,449.01
23,Madaripur,223.74,217.98,94.94,0.00,0.00,0.00,,262.51,279.68,,262.51,1128.00
24,Manikganj,167.70,168.16,39.34,0.00,0.00,0.00,,325.23,244.36,,325.23,279.68
25,Munshiganj,106.34,107.94,32.44,0.00,0.00,0.00,,177.52,190.39,,177.52,244.36
26,Narayanganj,98.96,100.16,34.82,0.00,0.00,0.00,,177.11,175.94,,177.11,190.39
27,Narsingdi,282.74,274.62,96.46,0.00,0.00,0.00,,413.09,424.63,,413.09,175.94
28,Rajbari,164.28,157.58,45.50,0.00,0.00,0.00,,281.75,260.02,,281.75,424.63
29,Shariatpur,1204.86,1199.12,505.92,0.00,0.00,0.00,,810.90,750.02,,810.90,260.02
30,Tangail,508.10,518.26,169.42,0.00,0.00,0.00,,727.80,762.30,,727.80,762.02
Dhaka Division,None,4667.90,4680.82,1800.12,20.69,33.33,33.25,,6416.35,6316.09,,6449.68,6349.34
31,Bagerhat,497.46,494.30,198.52,0.00,0.00,0.00,,484.00,479.31,,484.00,479.31
32,Chuadanga,99.60,99.08,18.76,0.00,0.00,0.00,,240.00,238.25,,240.00,238.25
33,Jashore,553.80,688.38,183.36,0.00,0.00,0.00,,898.00,834.61,,898.00,834.61
34,Jhenaidah,212.90,219.34,65.61,0.00,0.00,0.00,,412.00,423.50,,412.00,423.50
35,Khulna,509.60,509.36,95.06,0.00,0.00,0.00,,588.00,587.38,,588.00,587.38
36,Kushtia,255.34,417.08,74.00,0.00,0.00,0.00,,1612.00,1397.00,,1612.00,1397.00
37,Magura,510.60,504.20,80.89,0.00,0.00,0.00,,1149.00,1204.03,,1149.00,1204.03
38,Meherpur,66.04,81.30,46.88,0.00,0.00,0.00,,211.00,217.16,,211.00,217.16
39,Narail,107.04,106.76,98.52,0.00,0.00,0.00,,161.00,159.76,,161.00,159.76
40,Satkhira,420.64,426.80,320.03,0.00,0.00,0.00,,731.00,728.12,,731.00,728.12
Khulna Division,None,3233.02,3546.60,997.81,0.00,0.00,0.00,,6486.00,6269.12,,6486.00,6269.12
41,Jamalpur,328.22,342.72,174.00,0.00,0.00,0.00,,583.00,612.00,,583.00,617.00
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,,2022-23,2023-24,,2022-23,2023-24
42,Mymensingh,"1180.4
4","1160.0
0",580.00,0.00,0.00,0.00,,"1609.0
0","1610.0
0",,"1609.0
0","1610.0
0"
43,Netrokona,289.46,380.80,85.00,0.00,0.00,0.00,,875.00,320.00,,875.00,320.00
44,Sherpur,180.32,181.16,168.00,0.00,0.00,0.00,,318.00,752.00,,318.00,752.00
Mymensingh Division,None,1978.44,2064.68,1007.00,0.00,0.00,0.00,,3385.00,3299.00,,3385.00,3299.00
45,Bogura,303.42,344.96,206.32,0.00,300.66,300.66,,328.86,680.99,,629.52,981.65
46,Joypurhat,133.68,132.94,38.13,0.00,0.00,0.00,,213.00,231.04,,213.00,231.04
47,Naogaon,234.96,240.56,79.65,0.00,0.00,0.00,,749.43,410.75,,749.43,410.75
48,Natore,548.88,551.74,159.30,0.00,0.00,0.00,,1008.45,1032.44,,1008.45,1032.44
49,Chapai Nawabganj,124.23,128.06,60.23,0.00,0.00,0.00,,288.77,303.79,,288.77,303.79
50,Pabna,364.10,306.52,57.13,0.00,0.00,0.00,,628.32,599.66,,628.32,599.66
51,Rajshahi,236.38,236.56,173.49,0.00,0.00,0.00,,692.73,698.80,,692.73,698.80
52,Sirajganj,261.44,261.50,25.30,0.00,0.00,0.00,,566.36,581.69,,566.36,581.69
Rajshahi Division,None,2207.18,2202.84,799.55,0.00,300.66,300.66,,4475.92,4539.17,,4776.58,4839.83
53,Dinajpur,150.44,142.04,36.30,0.00,0.00,0.00,,153.00,229.54,,153.00,229.54
54,Gaibandha,65.82,65.82,11.68,0.00,0.00,0.00,,71.42,72.71,,71.42,72.71
55,Kurigram,83.68,85.26,17.00,0.00,0.00,0.00,,124.62,152.00,,124.62,152.00
56,Lalmonirhat,169.18,195.26,39.16,0.00,0.00,0.00,,188.56,221.88,,188.56,221.88
57,Nilphamari,168.90,166.88,33.16,0.00,0.00,0.00,,310.14,324.23,,310.14,324.23
58,Panchagar,97.08,97.98,48.14,0.00,0.00,0.00,,145.37,157.82,,145.37,157.82
59,Rangpur,127.24,137.40,21.30,0.00,0.00,0.00,,245.48,237.79,,245.48,237.79
60,Thakurgaon,37.94,50.54,16.54,0.00,0.00,0.00,,76.78,73.12,,76.78,73.12
Rangpur Divison,None,900.28,941.18,223.28,0.00,0.00,0.00,,1315.37,1469.09,,1315.37,1469.09
61,Habiganj,68.02,69.54,69.60,1.25,1.25,1.25,,119.61,119.45,,120.86,120.70
62,Moulvibazar,48.24,50.04,9.31,0.00,0.00,0.00,,101.28,102.52,,101.28,102.52
63,Sunamganj,52.36,53.20,41.00,0.00,0.00,0.00,,86.00,85.00,,86.00,85.00
64,Sylhet,91.04,87.46,95.00,6.83,7.02,7.02,,108.10,179.00,,115.12,186.02
Sylhet Division,None,259.66,260.24,214.91,8.08,8.27,8.27,,414.99,485.97,,423.26,494.24
BANGLADESH,None,17975.34,18335.92,7354.33,426.81,803.88,901.43,,29637.35,32136.41,,30441.23,33037.84
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,8321.01,7054.00,6296.00,274.42,266.88,364.32,,6648.12,8790.68,7775.00,6915.00,9155.00
2,Barishal,6103.00,6680.00,6578.00,1148.10,1075.04,852.59,,11388.96,12425.41,12765.96,12464.00,13278.00
3,Bhola,1348.47,1331.00,1985.00,316.04,358.31,1143.90,,15891.59,19044.09,14200.00,16249.90,20187.99
4,Jhallokati,2480.00,2457.00,3308.00,0.00,0.00,0.00,,4182.00,6368.00,8189.00,4182.00,6368.00
5,Patuakhali,1765.90,1766.00,1766.00,0.00,0.00,0.00,,16704.64,16561.00,16766.38,16704.64,16561.00
6,Pirojpur,3093.10,3094.00,3094.00,2049.89,2051.59,2057.70,,24889.41,24917.30,26943.19,26941.00,26975.00
Barishal Division,None,23111.48,22382.00,23027.00,3788.45,3751.82,4418.51,,79704.72,88106.48,86639.53,83456.54,92524.99
7,Bandarban,133.90,133.89,133.90,290.84,290.83,290.56,,535.46,536.88,824.07,826.29,827.44
8,Brahmanbaria,427.51,426.36,428.41,0.00,0.00,0.00,,3896.74,3835.69,3843.43,3896.74,3835.69
9,Chandpur,293.08,293.46,293.48,0.00,0.00,0.00,,6582.40,6578.85,6571.44,6582.40,6578.85
10,Chattogram,5345.80,701.53,980.72,1064.43,944.44,1056.82,,5706.41,6754.56,8074.08,6650.85,7811.38
11,Cumilla,1240.00,1250.89,1250.89,462.78,469.44,469.44,,5550.56,5550.56,6020.00,6020.00,6020.00
12,Cox’s Bazar,450.86,416.33,423.12,4220.24,4164.04,4265.32,,5981.53,6101.08,11243.24,10145.57,10366.40
13,Feni,915.63,910.00,912.00,0.00,0.00,0.00,,3080.00,4081.00,1987.41,3080.00,4081.00
14,Khagrachari,664.76,675.70,674.03,50.99,50.95,49.89,,1907.06,1934.58,1684.92,1958.01,1984.47
15,Lakshmipur,627.40,694.40,808.07,1285.15,1968.39,1404.25,,14762.54,14935.17,14113.40,16730.93,16339.42
16,Noakhali,1616.88,1774.36,2434.31,0.00,0.00,0.00,,25539.93,26440.45,25476.17,25539.93,26440.45
17,Rangamati,1855.50,1859.80,1928.00,2185.09,2119.66,1844.71,,1392.33,2785.99,3543.53,3511.99,4630.70
Chattogram Division,None,13571.32,9136.72,10266.93,9559.52,10007.75,9380.99,,74934.96,79534.81,83381.69,84942.71,88915.80
18,Dhaka,1.84,122.42,122.23,0.00,0.00,0.00,,2838.73,2672.71,1172.78,2838.73,2672.71
19,Faridpur,549.00,530.00,517.00,265.08,284.02,0.00,,4532.73,4830.75,4716.84,4816.75,4830.75
20,Gazipur,398.00,409.00,413.00,387.99,389.37,255.30,,1194.63,1346.70,1559.00,1584.00,1602.00
21,Gopalganj,348.65,349.21,349.69,20.83,20.63,21.02,,2303.17,2289.26,2296.39,2323.80,2310.28
22,Kishoreganj,297.38,328.78,331.19,347.47,357.92,362.94,,7416.58,7377.85,7616.80,7774.50,7740.79
23,Madaripur,925.57,927.11,925.07,0.00,0.00,0.00,,10913.02,11074.39,10803.11,10913.02,11074.39
24,Manikganj,1334.84,1315.09,1272.14,388.17,381.21,355.15,,13060.29,12133.75,13774.40,13441.50,12488.90
25,Munshiganj,70.82,71.39,73.24,0.00,0.00,0.00,,1018.55,1043.22,992.62,1018.55,1043.22
26,Narayanganj,42.90,42.80,42.81,0.00,0.00,0.00,,1520.19,1523.03,1670.68,1520.19,1523.00
27,Narsingdi,83.41,84.20,84.86,0.00,0.00,0.00,,1475.00,1463.90,1484.70,1475.00,1463.90
28,Rajbari,340.15,409.75,409.48,117.84,101.86,98.08,,9824.96,9553.29,9426.00,9926.82,6951.37
29,Shariatpur,1105.20,802.59,810.30,0.00,0.00,0.00,,10775.00,11050.00,11116.00,10775.00,11050.00
30,Tangail,321.07,305.86,314.01,82.59,90.02,88.86,,5472.98,5504.14,5083.30,5563.00,5593.00
Dhaka Division,None,5818.83,5698.20,5665.02,1609.97,1625.03,1181.35,,72345.83,71862.99,71712.62,73970.86,73044.34
31,Bagerhat,1014.70,1061.21,1101.32,2654.60,2725.58,2080.18,,25795.52,26491.63,27771.99,28521.10,28571.81
32,Chuadanga,173.84,173.78,168.76,1585.94,1568.87,0.00,,2299.37,3037.68,3891.00,3868.24,3037.68
33,Jashore,1123.70,991.51,1051.89,4506.99,3547.74,3530.08,,6747.46,6603.15,12896.99,10295.20,10133.23
34,Jhenaidah,424.89,432.08,433.72,1793.17,1837.69,1751.68,,9546.11,9199.28,11279.00,11383.80,10950.96
35,Khulna,1518.40,1474.14,1021.20,2518.99,2391.13,2264.26,,7722.57,8319.64,10640.99,10113.70,10583.90
36,Kushtia,889.00,895.00,875.00,468.42,322.78,360.44,,16401.62,16647.56,16768.00,16724.40,"17008.0
0"
37,Magura,591.12,571.04,546.50,1050.30,1141.59,1141.71,,4791.98,4828.05,5346.99,5933.57,5969.76
38,Meherpur,130.60,130.25,129.59,0.00,0.00,0.00,,1238.81,1126.82,1349.00,1238.81,1126.82
39,Narail,942.55,942.27,942.17,0.00,0.00,0.00,,8618.10,8468.57,8644.00,8618.10,8468.57
40,Satkhira,1742.20,1768.42,1766.92,1859.05,1855.61,1887.62,,15012.79,15114.46,16962.00,16868.40,17002.08
Khulna Division,None,8551.00,8439.70,8037.07,16437.46,15390.99,13015.97,,98174.33,99836.84,115549.96,113565.32,112852.81
41,Jamalpur,513.00,513.00,515.00,0.00,0.00,0.00,,4979.00,4984.00,5028.00,4979.00,4984.00
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,,2022-23,2023-24,2021-22,2022-23,2023-24
42,Mymensingh,1558.00,1575.00,1575.00,0.00,0.00,0.00,,12253.00,12261.00,12205.00,12253.00,12261.00
43,Netrokona,588.00,549.00,548.00,0.00,0.00,0.00,,5317.00,5313.00,5497.00,5317.00,5313
44,Sherpur,201.00,201.00,203.00,0.00,0.00,0.00,,2073.00,2085.00,2073.00,2073.00,2085.00
