District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden (M.Tons),None_3,None_4,Production of Outside Garden(M.Tons),None_5,None_6,Total Production of Inside & Outside Garden (M. Tons),None_7,None_8
25,Munshiganj,17,17.72,19.78,0,0.00,0.00,100.23,104.95,3173.70,100.23,104.95,3173.70
26,Narayanganj,10.02,12.90,13.12,0,0.00,0.00,118.82,107.70,338.64,118.82,107.70,338.64
27,Narsingdi,36.67,37.70,37.98,0,0.00,0.00,515.21,362.27,48.74,515.21,362.27,48.74
28,Rajbari,261.77,257.77,250.87,0,0.00,0.00,"3030.7
5",2950.75,2024.80,3030.75,2950.75,2024.80
29,Shariatpur,207.52,167.20,153.34,0,0.00,0.00,602.01,299.80,290.21,602.01,299.80,290.21
30,Tangail,89.04,86.72,99.12,0,0.00,0.00,521.85,518.25,519.70,521.85,518.25,519.70
Dhaka Division,None,1715.65,1605.71,1346.03,0,0.00,0.00,8791.27,8640.31,8693.47,8791.27,8640.31,8693.47
31,Bagerhat,47,45.57,45.86,9.33,0.00,0.00,185.67,185.11,192.21,195,185.11,192.21
32,Chuadanga,51,51.69,52.20,0,0.00,0.00,120,119.54,118.25,120,119.54,118.25
33,Jashore,279,285.62,271.62,0,0.00,0.00,954,1010.00,1053.43,954,1010.00,1053.43
34,Jhenaidah,163,167.69,171.69,0,0.00,0.00,1111,1115.42,1119.52,1111,1115.42,1119.52
35,Khulna,123,123.17,129.58,9.23,8.98,0.00,305.77,301.62,285.33,315,310.60,285.33
36,Kushtia,760,765.00,675.00,327.21,329.15,329.15,"6966.7
9",7002.85,6196.85,7294,7332.00,6526.00
37,Magura,159,127.73,133.67,93.79,89.77,0.00,565.21,553.37,675.47,659,643.14,675.47
38,Meherpur,109,110.57,109.52,77.13,68.45,0.00,159.87,143.96,219.13,237,212.41,219.13
39,Narail,83,83.28,83.00,0,0.00,0.00,239,237.57,239.00,239,237.57,239.00
40,Satkhira,588,587.44,580.52,0,0.00,0.00,1117,1134.78,1131.01,1117,1134.78,1131.01
Khulna Division,None,2362,2347.76,2252.66,516.69,496.35,329.15,11724.31,11804.22,11230.20,12241,12300.57,11559.35
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
41,Jamalpur,787,791.00,821.00,0,0.00,0.00,2129,2006.00,2160.00,2129,2006.00,2160.00
42,Mymensingh,1237,1242.00,1210.00,0,0.00,0.00,3719,3740.00,3601.00,3719,3740.00,3601.00
43,Netrokona,399,404.00,455.00,0,0.00,0.00,1696,1872.00,1960.00,1696,1872.00,1960.00
44,Sherpur,200,203.00,204.00,0,0.00,0.00,915,927.00,916.00,915,927.00,916.00
Mymensingh Division,None,2623,2640.00,2690.00,0,0.00,0.00,8459,8545.00,8637.00,8459,8545.00,8637.00
45,Bogura,109.69,112.04,120.14,0,0.00,0.00,704,713.36,795.28,704,713.36,795.28
46,Joypurhat,57.03,57.39,52.80,0,0.00,0.00,259.39,240.88,240.16,259.39,240.88,240.16
47,Naogaon,132.32,78.42,79.60,0,0.00,0.00,483.06,490.15,536.97,483.06,490.15,536.97
48,Natore,189.68,245.84,251.11,0,0.00,0.00,797.10,847.80,992.15,797.10,847.80,992.15
49,Chapai Nawabganj,73.70,74.70,75.95,0,0.00,0.00,113.93,124.37,127.51,113.93,124.37,127.51
50,Pabna,191.94,192.54,183.38,0,0.00,0.00,834.16,847.51,1070.79,834.16,847.51,1070.79
51,Rajshahi,142.24,141.98,143.77,0,0.00,0.00,576.27,462.71,473.84,576.27,462.71,473.84
52,Sirajganj,51.64,52.21,52.10,0,0.00,0.00,585.30,593.07,569.63,585.30,593.07,569.63
Rajshahi Division,None,948.24,955.12,958.85,0,0.00,0.00,4353.34,4319.85,4806.33,4353.34,4319.85,4806.33
53,Dinajpur,108,122.00,129.42,0,0.00,0.00,510,452.00,422.00,510,452.00,422.00
54,Gaibandha,91.17,73.34,73.34,0,0.00,0.00,322.92,460.40,467.04,322.92,460.40,467.04
55,Kurigram,186.72,162.44,163.00,0,0.00,0.00,1523.94,1530.00,1541.00,1523.94,1530.00,1541.00
56,Lalmonirhat,38.81,40.44,41.56,0,0.00,0.00,186.71,255.71,264.72,186.71,255.71,264.72
57,Nilphamari,134.55,131.51,134.66,0,0.00,0.00,627.87,638.71,618.17,627.87,638.67,618.17
58,Panchagar,136.43,94.17,95.76,0,0.00,0.00,480.70,576.48,591.12,480.70,576.48,591.12
59,Rangpur,86.71,86.23,87.15,0,0.00,0.00,815.54,791.26,823.44,815.54,791.26,823.44
60,Thakurgaon,46.21,46.33,46.54,0,0.00,0.00,511.43,519.58,523.60,511.43,519.58,523.60
Rangpur Divison,None,828.60,756.46,771.43,0,0.00,0.00,4979.11,5224.10,5251.09,4979.11,5224.10,5251.09
61,Habiganj,240.35,251.00,271.00,17.47,17.50,8.25,2075.62,2082.50,2021.07,2093.09,2100.00,2029.32
62,Moulvibazar,144.51,145.00,145.00,0,0.00,0.00,416.92,415.95,418.63,416.92,415.95,418.63
63,Sunamganj,453,449.00,423.00,0,0.00,0.00,3418,3149.00,3001.00,3418,3149.00,3001.00
