0,1,2,3,4,5,6,7,8,9,10,11
District/ Division,,2022-23,,,,,2023-24,,,,
,,Area,,Yield Rate,,"Produc
tion",Area,,Yield Rate,,"Produ
ction"
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)","(M.
Ton)",Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)","(M.
Ton)"
Barishal Division,,462071,186998,26.05,2.403,449380,425040,172011,27.10,2.500,"43002
0"
Chattogram Division,,548898,222136,28.78,2.655,589661,549890,222538,30.09,2.775,617600
Dhaka Division,,135185,54709,27.31,2.519,137829,131635,53272,27.83,2.566,136721
