95,Mango (Guti),3414,6208,-,-,-,-,-,-,-,-,-,5374,6203
96,Mango (Amropali),5309,5219,-,-,-,-,-,-,-,-,-,7196,4669
97,Mango (Langra),5219,7210,-,-,-,-,-,-,-,-,-,8417,6572
98,Mango (Khirshapati),5000,-,-,-,-,-,-,-,-,-,-,8792,6818
99,Mango (Fajli),4505,7000,-,-,-,-,4000,-,-,-,-,-,6198
100,Mango (Himsagor),5833,8214,-,-,-,-,-,-,-,-,-,8565,6359
101,Mango (Gopalvog),,-,-,-,-,-,-,-,-,-,-,6667,7199
102,Mango (Ashini),4300,4300,-,-,-,-,-,-,-,-,-,-,5089
103,Onion,4521,5486,720,-,-,-,-,-,-,-,-,8556,5752
104,Garlic,5526,6431,6611,8084,11079,9143,6963,8772,5881,4521,5820,7497,7194
105,Gingir,13977,18628,19376,18949,18990,20182,21284,15149,11009,13094,16595,18044,17106
106,Turmeric,23784,17771,19691,17703,18083,17019,16828,16438,17128,19114,22068,24888,19210
107,Chili Dry,14499,13816,16018,17412,17947,18650,19319,18603,19234,20298,-,21341,17922
108,Green Chili,36123,37525,37270,36586,37965,37158,-,35125,35202,34263,33478,33055,35796
109,Coriander,15008,16375,18438,14929,15548,14130,16241,19156,15336,,-,155,15964
110,Fish (Rui),28135,28994,29482,2994,29185,28274,277971,27723,27813,14852,28598,15592,28604
111,Fish (Mrigeli),20125,20772,22045,21750,21225,20460,21016,20594,20743,28459,21021,28627,20939
112,Fish (Katol),26764,27904,28030,28414,28280,27202,26348,26528,26817,20788,-,20728,27361
113,Fish (Bowal),4500,52500,35625,30000,35833,51250,67238,59229,57583,27202,-,27488,49652
114,Fish (Hilsha),36854,44063,7603,61444,81917,71617,63125,55408,71554,55833,-,56083,64613
115,Fish (Koi),19725,19674,22210,22593,23798,23626,22224,21847,21563,69990,21018,77869,21797
116,Fish (Shing),32521,34185,34963,36647,38087,35913,34864,34803,35070,22213,34032,21071,34935
117,Fish (Magur),42600,46633,44896,43771,47732,51240,43536,43071,42661,34387,-,33753,44761
