0,1,2,3,4,5,6,7,8,9,10,11,12,13
District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden (M.Tons)",,,"Production of Outside
Garden (M.Tons)",,,"Total Production of Inside &
Outside Garden
(M. Tons)",,
,,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
Barishal Division,,23111.48,22382.00,23027.00,3788.45,3751.82,4418.51,82851.08,79704.72,88106.48,86639.53,83456.54,92524.99
Chattogram Division,,13571.32,9136.72,10266.93,9559.52,10007.75,9380.99,73822.17,74934.96,79534.81,83381.69,84942.71,88915.80
Dhaka Division,,5818.83,5698.20,5665.02,1609.97,1625.03,1181.35,70102.65,72345.83,71862.99,71712.62,73970.86,73044.34
Khulna Division,,8551.00,8439.70,8037.07,16437.46,15390.99,13015.97,99112.50,98174.33,99836.84,115549.96,113565.32,112852.81
