Name of crop,Power Pump,"Deep
tube-well","Shallow tube-
well","Hand
tube-well","Total
tube-well",Traditional,"Total
Irrigated Area
under different
crops"
1,2,3,4,5,6,7,8
Aman,622,571,2130,3,2704,118,3444
Boro,2138,1944,7249,11,9194,400,11723
Wheat,143,131,488,1,620,27,789
Sugarcane,22,20,74,0,94,4,120
Cotton,2,2,8,0,10,0,13
Potato,182,175,652,1,828,36,1054
Vegetables,241,232,865,1,1098,48,1398
Others,387,354,1323,2,1680,73,2140
"Total Area under
different means",3737,3429,12789,20,16238,706,20681
