District name,Mar-2023,,,,,,,,,,,,,,,,,,,,,,,
,With Food,,,,,,,,,,,,,,,,,,"Without Food (in
TK)",,,,,
,One meal,,,,,,Two meal,,,,,,Three meal,,,,,,,,,,,
,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,
Banderban,0,,,0,,,0,,,0,,,0,,,0,,,543,,,371,,
Khagrachari,450,,,300,,,0,,,0,,,0,,,0,,,473,,,379,,
Rangamati,438,,,313,,,400,,,329,,,0,,,0,,,496,,,348,,
Chattogram,618,,,425,,,549,,,395,,,561,,,400,,,676,,,449,,
Cox’sbazar,710,,,417,,,642,,,377,,,625,,,310,,,771,,,463,,
Cumilla,602,,,434,,,535,,,379,,,571,,,410,,,548,,,390,,
Chandpur,0,,,0,,,0,,,0,,,0,,,0,,,575,,,0,,
Brahmmanbaria,463,,,400,,,450,,,0,,,465,,,418,,,532,,,453,,
Noakhali,576,,,0,,,600,,,0,,,525,,,0,,,656,,,0,,
Lakshmipur,0,,,0,,,0,,,0,,,0,,,0,,,440,,,0,,
Feni,583,,,0,,,0,,,0,,,0,,,0,,,632,,,0,,
Chattogram Division,555,,,381,,,529,,,370,,,549,,,385,,,576,,,407,,
Sylhet,468,,,350,,,433,,,0,,,375,,,0,,,511,,,375,,
Maulavi Bazar,426,,,339,,,400,,,325,,,0,,,0,,,484,,,386,,
Sunamganj,421,,,304,,,0,,,0,,,0,,,0,,,460,,,335,,
Habiganj,463,,,375,,,0,,,0,,,0,,,0,,,497,,,383,,
Sylhet Division,444,,,342,,,417,,,325,,,375,,,-,,,488,,,370,,
Dhaka,537,,,450,,,540,,,400,,,545,,,350,,,612,,,550,,
Gazipur,600,,,450,,,550,,,420,,,525,,,400,,,695,,,540,,
Manikganj,550,,,450,,,510,,,385,,,468,,,350,,,597,,,481,,
Munshiganj,500,,,0,,,0,,,0,,,479,,,0,,,566,,,350-,,
Narayanganj,0,,,0,,,0,,,0,,,0,,,0,,,489,,,421,,
Narsingdi,0,,,0,,,509,,,312,,,519,,,0,,,556,,,0,,
Faridpur,513,,,0,,,0,,,0,,,500,,,0,,,572,,,250,,
Rajbari,538,,,300,,,500,,,0,,,0,,,0,,,600,,,380,,
Madaripur,417,,,388,,,0,,,0,,,550,,,0,,,521,,,375,,
Gopalganj,419,,,0,,,0,,,0,,,433,,,350,,,518,,,375,,
Shariatpur,555,,,363,,,0,,,0,,,400,,,0,,,588,,,400,,
Tangail,600,,,410,,,535,,,360,,,490,,,310,,,640,,,455,,
Kishoreganj,450,,,300,,,500,,,0,,,530,,,0,,,559,,,330,,
Dhaka Division,516,,,389,,,521,,,375,,,495,,,352,,,578,,,414,,
Mymensing,506,,,410,,,533,,,464,,,574,,,503,,,608,,,544,,
Jamalpur,452,,,-,,,509,,,-,,,532,,,-,,,585,,,-,,
Sherpur,,513,,,300,,,536,,,320,,,550,,,-,,,600,,,350,
Netrokona,,499,,,385,,,539,,,435,,,560,,,-,,,584,,,490,
Mymensing Division,493,,,365,,,529,,,406,,,554,,,503,,,594,,,461,,
