0,1,2,3,4
2022-23,,2023-24,,"% Change over previous
year"
"Yield rate per acre
(Bales)","Yield rate per hector
(Bales)","Yield rate
per acre
(Bales)","Yield rate
per hector
(Bales)",
4.69,11.588,5.36,13.241,(+) 14.26%
