0,1,2,3,4,5,6,7,8,9,10,11
District/ Division,,2022-23,,,,,2023-24,,,,
,,Area,,Yield Rate,,"Product
ion",Area,,Yield Rate,,"Producti
on"
,,Acres,Hectors,"Acres
(Maun
d)","Hectors
( Bale)",( Bale),Acres,Hectors,"Acre
s
(Maun
d)","Hectors
(Bale)",(Bale)
Barishal Division,,28124,11381.17,4.17,10.296207,117183,28359,11477,5.20,12.859,147577
Chattogram Division,,17803,7204,4.74,11.705,84326,20548,8316,5.59,13.805,114802
Dhaka Division,,649684,262913,4.54,11.207,2946486,654714,264959,5.47,13.505,3578342
Khulna Division,,495687,200594,4.66,11.509,2308608,489513,198103,5.37,13.268,2628348
