0,1,2,3,4,5,6,7,8,9,10,11
District/ Division,,2022-23,,,,,2023-24,,,,
,,Area,,Yield Rate,,"Produc
tion",Area,,Yield Rate,,"Produ
ction"
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)","(M.
Ton)",Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)","(M.
Ton)"
Khulna Division,,400893,162239,30.93,2.852,462783,442979,179271,32.76,3.022,541736
"Mymensingh
Division",,65363,26452,29.05,2.679,70868,61635,24943,31.62,2.916,72736
Rajshahi Division,,480867,194604,32.22,2.971,578264,482666,195332,33.07,3.050,595801
Rangpur Divison,,218469,88413,31.08,2.867,253455,226976,91856,34.15,3.150,289371
Sylhet Division,,310658,125722,30.95,2.855,358914,236077,95539,32.78,3.023,288853
Bangladesh,,2622404,1061273,29.64,2.734,2901156,2556899,1034763,31.15,2.873,2972838
