District name,Nov-2024,,,,,,,,,,,,,,,,,,,,,,,
,With Food,,,,,,,,,,,,,,,,,,"Without Food
(in TK)",,,,,
,One meal,,,,,,Two meal,,,,,,Three meal,,,,,,,,,,,
,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,
Banderban,667,,,467,,,617,,,425,,,567,,,375,,,671,,,486,,
Khagrachari,450,,,300,,,0,,,0,,,0,,,0,,,494,,,404,,
Rangamati,444,,,338,,,325,,,300,,,0,,,0,,,540,,,338,,
Chattogram,687,,,470,,,634,,,444,,,571,,,400,,,758,,,535,,
Cox’sbazar,737,,,404,,,698,,,395,,,687,,,360,,,803,,,456,,
Cumilla,606,,,438,,,550,,,325,,,500,,,388,,,763,,,473,,
Chandpur,0,,,0,,,0,,,0,,,0,,,0,,,600,,,0,,
Brahmmanbaria,490,,,400,,,423,,,350,,,350,,,300,,,592,,,508,,
Noakhali,619,,,0,,,650,,,0,,,600,,,0,,,717,,,0,,
Lakshmipur,0,,,0,,,0,,,0,,,0,,,0,,,510,,,0,,
Feni,650,,,0,,,0,,,0,,,0,,,0,,,700,,,0,,
Chattogram Division,594,,,402,,,557,,,373,,,546,,,365,,,650,,,457,,
Sylhet,464,,,350,,,414,,,0,,,375,,,0,,,521,,,400,,
Maulavi Bazar,475,,,397,,,400,,,350,,,0,,,0,,,518,,,430,,
Sunamganj,490,,,350,,,0,,,0,,,0,,,0,,,524,,,395,,
Habiganj,513,,,375,,,0,,,0,,,0,,,0,,,550,,,393,,
Sylhet Division,485,,,368,,,407,,,350,,,375,,,0,,,528,,,404,,
Dhaka,550,,,470,,,580,,,420,,,470,,,370,,,650,,,520,,
Gazipur,688,,,450,,,650,,,430,,,613,,,425,,,755,,,560,,
Manikganj,575,,,0,,,520,,,425,,,490,,,400,,,622,,,516,,
Munshiganj,0,,,0,,,0,,,0,,,530,,,0,,,582,,,500,,
Narayanganj,655,,,550,,,600,,,538,,,540,,,400,,,664,,,566,,
Narsingdi,0,,,0,,,585,,,0,,,541,,,0,,,583,,,0,,
Faridpur,568,,,413,,,0,,,0,,,0,,,0,,,617,,,480,,
Rajbari,517,,,0,,,500,,,0,,,0,,,0,,,580,,,0,,
Madaripur,517,,,475,,,0,,,0,,,625,,,0,,,578,,,494,,
Gopalganj,700,,,0,,,0,,,0,,,500,,,300,,,555,,,425,,
Shariatpur,625,,,388,,,0,,,0,,,600,,,0,,,679,,,440,,
Tangail,760,,,590,,,577,,,540,,,538,,,400,,,667,,,570,,
Kishoreganj,558,,,0,,,583,,,0,,,633,,,0,,,709,,,0,,
Dhaka Division,610,,,477,,,574,,,471,,,553,,,383,,,634,,,507,,
Mymensing,,583,,,482,,,556,,,454,,,530,,,438,,,625,,,520,
Jamalpur,,650,,,-,,,620,,,-,,,580,,,-,,,700,,,-,
Sherpur,,574,,,330,,,520,,,300,,,500,,,-,,,620,,,400,
Netrokona,,585,,,475,,,570,,,425,,,547,,,400,,,620,,,510,
Mymensing Division,598,,,429,,,567,,,393,,,539,,,419,,,641,,,477,,
