District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
,,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23
1,Barguna,214.44,276.20,262.36,0,0.00,0.00,136,136.00,131.23,136,136.00,131.23
2,Barishal,281.00,281.00,104.00,0,0.00,0.00,247,245.00,240.00,247,245.00,240.00
3,Bhola,21.09,21.09,62.68,0,0.00,0.00,184.20,183.90,181.96,184.20,183.90,181.96
4,Jhallokati,56.38,92.08,73.93,0,0.00,0.00,55,79.00,64.00,55,79.00,64.00
5,Patuakhali,346.67,356.10,356.03,0,0.00,0.00,162.55,176.38,175.56,162.55,176.38,175.56
6,Pirojpur,76.57,80.93,75.77,0,0.00,0.00,177,175.25,174.40,177,175.25,174.40
1,Barishal Division,996.15,1107.40,934.77,0,0.00,0.00,961.75,995.53,967.15,961.75,995.53,967.15
7,Bandarban,756.00,757.05,757.35,47.03,49.98,51.38,664.97,729.69,732.57,712,779.67,783.95
8,Brahmanbaria,629.74,630.04,131.19,0,0.00,0.00,106.58,110.85,140.94,106.58,110.85,140.94
9,Chandpur,43.73,35.25,39.69,0,0.00,0.00,113.48,130.78,152.53,113.48,130.78,152.53
10,Chattogram,26.13,25.73,25.76,0,0.00,0.00,117.20,170.68,175.38,117.20,170.68,175.38
11,Cumilla,312.30,312.26,314.39,9,9.15,0.00,130.97,130.83,146.63,139.97,139.98,146.63
12,Cox’s Bazar,21.69,22.00,25.43,0,0.00,32.16,61.84,163.23,674.89,61.84,163.23,169.14
13,Feni,70.16,79.50,79.65,0,0.00,0.00,21.60,21.60,21.60,21.60,21.60,21.60
14,Khagrachari,115.75,116.32,119.12,0,0.00,0.00,262.60,268.83,273.95,262.60,268.83,273.95
15,Lakshmipur,42.42,24.82,30.07,0,0.00,0.00,79.25,115.17,112.86,79.25,115.17,112.86
