District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden
(M. Tons)",,
,,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23
1,Barguna,268.50,703.13,689.93,0,0,0.00,320.63,77.84,76.00,320.63,77.84,76.00
2,Barishal,841,964,763.00,0,0,0.00,941,960,1758.00,941,960,"1758.0
0"
3,Bhola,138.78,141.99,141.18,0,0,0.00,201.98,276.08,176.20,201.98,276.08,176.20
4,Jhallokati,220.38,237.00,239.00,0,0,0.00,243,276,278.00,243,276,278.00
5,Patuakhali,263.18,264.00,264.00,0,0,0.00,650,821,895.00,650,821,895.00
6,Pirojpur,73.60,73.90,73.79,0,0,0.00,212.55,212,208.60,212.55,212,208.60
1,Barishal Division,1805.44,2384.02,2170.90,0,0,0.00,2569.16,2622.92,3391.80,2569.16,"2622.9
2","3391.8
0"
7,Bandarban,0.00,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
8,Brahmanbaria,10.30,10.18,10.16,0,0,0.00,26.70,26.28,26.14,26.70,26.28,26.14
9,Chandpur,23.64,32.70,36.01,0,0,0.00,163.22,189.69,245.34,163.22,189.69,245.34
10,Chattogram,1198.22,955.85,853.34,38.19,36.07,0.00,192.49,186.11,223.53,230.68,222.18,223.53
11,Cumilla,99,241,240.00,189.22,116.43,16.06,106.78,256.57,254.94,296,373,271.00
12,Cox’s Bazar,628.29,413.92,413.68,256.85,183.26,0.00,340,132.68,159.19,596.85,315.94,159.19
13,Feni,18.89,20.89,20.19,17.36,5.28,5.38,55.05,64.33,33.73,72.41,69.61,39.11
14,Khagrachari,23.83,24.74,25.08,0,0,0.00,26.77,25.82,28.25,26.77,25.82,28.25
15,Lakshmipur,13.17,15.93,14.31,0,0,0.00,42.46,46.29,57.77,42.46,46.29,57.77
16,Noakhali,61.73,61.73,66.83,0,0,0.00,620.82,897.33,268.44,620.82,897.33,268.44
17,Rangamati,105.05,105.16,105.18,88.06,88.96,88.00,257.60,261.50,258.35,345.66,350.46,346.35
2,"Chattogram
Division",2182.12,1882.10,1784.78,589.68,430,109.44,1831.89,2086.6,1555.68,2421.57,2516.6,"1665.1
2"
18,Dhaka,23.16,17.56,17.64,0,0,0.00,120.78,124.13,130.59,120.78,124.13,130.59
19,Faridpur,71.08,74,76.00,0,0,0.00,348.53,362.20,371.00,348.53,362.20,371.00
20,Gazipur,19.37,31,32.00,0,0,0.00,69.43,79.54,71.00,69.43,79.54,71.00
21,Gopalganj,23.89,141.09,201.98,287.43,264.04,73.57,301.2,456.86,507.54,588.63,720.90,581.11
22,Kishoreganj,8.55,8.99,9.22,0,0,0.00,49.53,53.01,47.64,49.53,53.01,47.64
23,Madaripur,23.89,31,31.38,0,0,0.00,190.86,238.32,241.58,190.86,238.32,241.58
24,Manikganj,17.99,20,18.46,0,0,0.00,47.47,47,46.83,47.47,47,46.83
25,Munshiganj,6.32,6.52,20.51,0,0,0.00,27.09,26.13,29.21,27.09,26.13,29.21
26,Narayanganj,9.56,10.17,10.42,14.43,14.17,12.86,111.09,125.51,115.23,125.52,139.68,128.09
27,Narsingdi,4.21,5.71,5.81,5.54,5.10,4.34,38.54,32.35,27.25,44.08,37.45,31.59
28,Rajbari,74.56,77.25,79.25,0,0,0.00,295.29,307.11,328.00,295.29,307.11,328.00
29,Shariatpur,87.66,83.36,87.04,0,0,0.00,389.54,380,437.00,389.54,380,437.00
30,Tangail,13.18,12.74,10.29,0,0,0.00,67.50,38.60,22.58,67.50,38.60,22.58
3,Dhaka Division,383.42,519.39,600.00,307.40,283.31,90.77,2056.85,2270.76,2375.45,2364.25,"2554.0
7","2466.2
2"
31,Bagerhat,63.10,69,72.89,17.64,20.24,0.00,284.71,316.76,406.02,302.35,337,406.02
32,Chuadanga,11.94,19,9.36,0,0,0.00,39.54,39,37.24,39.54,39,37.24
33,Jashore,188.37,185,185.09,0,0,0.00,848.28,925.27,958.50,848.28,925.27,958.50
34,Jhenaidah,47.36,54,57.73,0,0,0.00,731.60,717,712.80,731.6,717,712.80
35,Khulna,912.10,111,115.13,0,12.33,13.01,579,610.67,596.22,579,623,609.23
36,Kushtia,26,19,21.00,0,0,0.00,371,370,368.00,371,370,368.00
37,Magura,17.28,73,72.16,0,0,0.00,1075.46,1066.53,836.98,1075.46,"1066.5
3",836.98
