District/ Division,,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden
(M. Tons)",,,
,,,2020-21,2021-22,2022-23,2 020-21,2 021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,,2022-23
1,,Barguna,4,4.32,4.31,0,0.00,0.00,54,53.50,57.50,54,53.50,57.50,
2,,Barishal,6,6.51,3.83,0,0.00,0.00,240,235.00,109.00,240,235.00,109.00,
3,,Bhola,4,3.30,3.79,0,0.00,0.00,78,73.55,67.84,78,73.55,67.84,
4,,Jhallokati,1,1.49,1.40,0,0.00,0.00,26,26.00,26.00,26,26.00,26.00,
5,,Patuakhali,16,16.78,14.87,0,0.00,0.00,232,251.28,242.76,232,251.28,242.76,
6,,Pirojpur,1,0.92,0.91,0,0.00,0.00,11,10.99,10.70,11,10.99,10.70,
1,,Barishal Division,33,33.33,29.11,0,0.00,0.00,641,650.32,513.80,641,650.32,513.80,
7,,Bandarban,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,
8,,Brahmanbaria,1,1.44,1.10,0,0.00,0.00,35,34.81,24.58,35,34.81,24.58,
9,,Chandpur,8,7.90,7.89,0,0.00,0.00,157,165.21,165.21,157,165.21,165.21,
10,,Chattogram,1,0.99,1.02,0,0.00,0.00,59,54.73,54.83,59,54.73,54.83,
11,,Cumilla,5,4.60,4.61,12,11.73,11.94,88,87.94,89.54,100,99.67,101.48,
12,,Cox’s Bazar,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,
13,,Feni,1,0.52,0.52,0,0.00,0.00,7,6.98,7.00,7,6.98,7.00,
14,,Khagrachari,1,0.86,0.87,0,0.00,0.00,17,15.28,15.67,17,15.28,15.67,
15,,Lakshmipur,2,2.05,2.06,0,0.00,0.00,69,38.00,38.91,69,38.00,38.91,
16,,Noakhali,4,4.62,4.73,0,0.00,0.00,55,87.07,89.20,55,87.07,89.20,
17,,Rangamati,0,0.06,0.06,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,
2,,"Chattogram
Division",22,23.04,22.86,12,11.73,11.94,487,490.02,484.94,499,501.75,496.88,
18,,Dhaka,3,2.55,2.50,0,0.00,0.00,73,71.86,69.28,73,71.86,69.28,
19,,Faridpur,1,0.75,0.78,0,0.00,0.00,38,40.25,22.47,38,40.25,22.47,
20,,Gazipur,2,2.33,2.37,0,0.00,0.00,67,61.00,60.00,67,61.00,60.00,
21,,Gopalganj,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,
22,,Kishoreganj,0,0.10,0.10,0,0.00,0.00,3,2.40,2.40,3,2.40,2.40,
23,,Madaripur,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,
24,,Manikganj,0,0.10,0.09,0,0.00,0.00,3,2.55,2.55,3,2.55,2.55,
25,,Munshiganj,1,0.91,0.92,0,0.00,0.00,24,26.17,23.66,24,26.17,23.66,
26,,Narayanganj,1,1.02,0.99,7,6.74,6.63,22,20.76,19.76,29,27.50,26.39,
27,,Narsingdi,1,0.64,0.66,0,0.00,0.00,11,10.00,9.69,11,10.00,9.69,
28,,Rajbari,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,
29,,Shariatpur,2,1.97,1.84,0,0.00,0.00,49.50,28.99,30.00,49.50,28.99,30.00,
30,,Tangail,2,1.76,1.50,0,0.00,0.00,0,33.76,36.18,0,33.76,36.18,
3,,Dhaka Division,12,12.13,11.75,7,6.74,6.63,290.50,297.74,275.99,297.50,304.48,282.62,
31,,Bagerhat,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,
32,,Chuadanga,0,0.22,0.22,0,0.00,0.00,8,8.00,7.00,8,8.00,7.00,
33,,Jashore,1,0.82,0.87,0,0.00,0.00,30,27.00,29.00,30,27.00,29.00,
34,,Jhenaidah,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,
35,,Khulna,1,1.08,1.05,0,0.00,0.00,61,53.00,51.00,61,53.00,51.00,
36,,Kushtia,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,
37,Magura,,0,0.13,0.12,0,0.00,0.00,2,2.00,2.00,2,2.00,2.00,
38,Meherpur,,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,
39,Narail,,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,
40,Satkhira,,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,
4,Khulna Division,,2,2.25,2.26,0,0.00,0.00,101,90.00,89.00,101,90.00,89.00,
