Name,2020-21,,2021-22,,2022-23,
,Area,Production,Area,Production,Area,Production
Aus Rice,,,,,,
Local,"2,65,264","1,39,086","2,48,505","1,31,421",209.921,"1,22,148"
HYV*,"29,59,516","31,45,624","26,15,582","28,69,436","24,12,484","27,79,007"
Total Aus,"32,24,780","32,84,710","28,64,087","30,00857","26,22,404",2901155
Aman Rice,,,,,,
Broadcast,"5,82,371","2,81,220","6,14,084","2,71,791",541776,"240,642"
Local Trans.,"19,57,768","12,23,034","17,85,670","11,07,786","16,95,485","11,30,454"
HYV*,"113,18,953","129,33,509","117,32,031","135,78,813",11906085,"140,55299"
Total Aman,"138,59,092","144,37,763","141,31,786","149,58,390",14143286,"154,26,395"
Boro Rice,,,,,,
Local,"77,414","56,060","61,175","45,478","60,657","46,790"
HYV*,"92,98,315","152,02,276","90,27,557","148,23,141",8943493,"149,84750"
Hybrid,"24,53,421","46,26,947","28,07,230","53,17,326","29,85024","57,36,086"
Total Boro,"118,29,150","198,85,283","118,95,962","201,85,945","119,89,174","207,67,626"
Total Rice,"2,89,13,022","3,76,07,756",28891835,38145192,28754864,39095177
Wheat,"8,12,805","10,85,368",777718,1085834,"782,892","11,70,195"
Total Of Mojar Cereals,29725827,38693124,29669553,39231026,29537857,40265372
