District/ Division,,2021-22,,,,,2022-23,,,,
,,Area,,Yield Rate,,"Productio
n",Area,,Yield Rate,,"Productio
n"
,,Acres,Hectors,"Acres
(Maun
d)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maun
d)","Hectors
(M.
Ton)",(M. Ton)
1,Barguna,231852,93850,22.45,2.070,194271,237570,96164,24.44,2.254,216769
2,Barishal,300640,121687,20.76,1.914,232967,289636,117234,22.23,2.050,240372
3,Bhola,413366,167346,31.32,2.888,483326,400988,162335,30.69,2.829,459308
4,Jhallokati,116760,47257,20.88,1.925,90990,114470,46330,23.13,2.133,98815
5,Patuakhali,464161,187884,22.39,2.065,388012,463738,187714,22.51,2.076,389671
6,Pirojpur,156529,63350,15.53,1.432,90716,151716,61402,17.23,1.590,97603
1,"Barishal
Division",1683308,681374,23.56,2.172,1480282,1658118,671180,24.28,2.239,1502538
7,Bandarban,24635,9974,29.86,2.753,27455,25564,10350,30.84,2.843,29428
8,Brahmanbaria,174096,70474,26.88,2.479,174681,156514,63360,29.33,2.704,171344
9,Chandpur,105017,42500,18.91,1.744,74129,104179,42161,19.00,1.752,73872
10,Chattogram,445835,180489,26.69,2.461,444143,438057,177341,27.79,2.563,454439
11,Cumilla,313671,126985,26.38,2.432,308845,322108,130401,26.95,2.485,324040
12,Cox’s Bazar,183516,74297,30.43,2.806,208441,183778,74403,31.52,2.906,216224
13,Feni,162866,65935,32.38,2.985,196830,163014,65995,32.94,3.037,200407
14,Khagrachari,67542,27344,33.04,3.046,83300,67706,27411,35.56,3.279,89872
15,Lakshmipur,187521,75916,29.17,2.690,204188,187771,76018,29.35,2.706,205715
16,Noakhali,372889,150955,28.45,2.623,395982,394742,159801,29.43,2.714,433644
17,Rangamati,23686,9589,31.77,2.929,28090,24096,9755,31.53,2.907,28356
2,"Chattogram
Division",2061275,834459,27.89,2.572,2146083,2067528,836995,28.86,2.661,2227341
18,Dhaka,18598,7528,25.12,2.316,17437,19716,7980,19.12,1.763,14072
19,Faridpur,202637,82033,29.40,2.710,222346,199851,80906,30.65,2.826,228663
20,Gazipur,108468,43912,32.51,2.997,131623,108581,43958,27.24,2.512,110417
21,Gopalganj,56699,22950,19.07,1.759,40366,54636,22115,19.36,1.786,39488
22,Kishoreganj,187274,75818,29.79,2.747,208251,191379,77480,32.04,2.954,228851
23,Madaripur,43330,17538,20.96,1.933,33902,61800,25014,22.64,2.088,52219
24,Manikganj,83496,33794,15.63,1.442,48722,89077,36053,15.79,1.456,52506
25,Munshiganj,49161,19895,11.20,1.033,20553,47943,19402,11.37,1.048,20341
26,Narayanganj,18146,7345,15.77,1.454,10682,15278,6184,17.01,1.569,9700
27,Narsingdi,95894,38821,29.53,2.723,105696,94209,38139,29.19,2.691,102648
28,Rajbari,106509,43120,24.77,2.283,98458,114711,46440,28.29,2.608,121113
29,Shariatpur,29278,11849,16.22,1.496,17727,33178,13428,17.43,1.608,21590
30,Tangail,266370,107827,23.40,2.157,232632,280262,113452,24.98,2.303,261291
3,"Dhaka
Division",1265860,512430,25.15,2.319,1188394,1310621,530552,25.81,2.380,1262899
31,Bagerhat,176310,71367,23.97,2.210,157754,151514,61330,25.26,2.330,142871
32,Chuadanga,82851,33543,29.59,2.728,91510,82299,33319,32.18,2.967,98857
33,Jashore,339795,137568,31.01,2.859,393267,346394,140240,31.41,2.896,406070
34,Jhenaidah,253361,102575,36.96,3.408,349542,255067,103266,36.35,3.351,346087
35,Khulna,237733,96238,27.17,2.505,241087,241281,97674,28.27,2.606,254569
36,Kushtia,218893,88620,32.66,3.011,266835,216289,87566,33.57,3.095,271055
37,Magura,142443,57669,28.44,2.622,151223,151884,61491,29.79,2.747,168913
38,Meherpur,63909,25874,33.22,3.063,79248,63448,25687,33.19,3.060,78605
,,Area,,Area,,"Yield
Rate",Area,,Area,,"Yield
Rate"
,,Acres,Acres,"Hector
s","Acres
(Maund)","Hectors
(M. Ton)",Acres,Acres,"Hector
s","Acres
(Maund)","Hectors
(M. Ton)"
39,Narail,103288,41814,29.17,2.690,112480,101308,41013,29.28,2.700,110718
40,Satkhira,217139,87910,32.89,3.032,266546,213415,86403,33.55,3.093,267282
4,"Khulna
Division",1835722,743178,30.79,2.838,2109491,1822899,737990,31.52,2.907,2145027
41,Jamalpur,265851,107588,26.06,2.404,258595,273420,110652,27.64,2.550,282125
42,Mymensingh,657852,266229,28.02,2.585,688148,644049,260643,28.80,2.656,692344
43,Netrokona,321724,130200,29.42,2.713,353269,323714,131005,30.23,2.788,365289
44,Sherpur,224973,91045,26.66,2.459,223878,225853,91401,27.49,2.536,231791
5,"Mymensingh
Division",1470400,595063,27.76,2.561,1523890,1467036,593701,28.70,2.647,1571549
45,Bogura,445635,180346,33.33,3.074,554378,446251,180595,33.37,3.078,555785
46,Joypurhat,168769,68300,31.29,2.886,197141,165021,66783,31.61,2.915,194686
47,Naogaon,482970,195533,30.12,2.777,543087,486779,197076,30.04,2.770,545877
48,Natore,209602,84859,30.29,2.793,237011,215033,87058,30.09,2.774,241485
49,"Chapai
Nawabganj",142001,57467,30.86,2.846,163578,131146,53074,34.52,3.230,171431
50,Pabna,222516,90051,23.62,2.178,196169,217338,87955,24.07,2.220,195233
51,Rajshahi,183585,74296,35.11,3.238,240574,192334,77837,35.59,3.282,255478
52,Sirajganj,202611,82029,28.28,2.607,213848,207590,84045,30.33,2.797,235034
6,"Rajshahi
Division",2057689,832881,30.54,2.816,2345787,2061492,834423,31.12,2.870,2395009
53,Dinajpur,642284,259929,30.28,2.793,725866,641304,259532,30.58,2.820,731951
54,Gaibandha,306564,124065,26.89,2.480,307710,314879,127430,27.63,2.548,324723
55,Kurigram,290358,117506,30.25,2.790,327842,296358,119934,31.58,2.913,349358
56,Lalmonirhat,212729,86125,30.89,2.848,245313,211057,85448,33.80,3.116,266260
57,Nilphamari,277162,112166,29.53,2.723,305469,279346,113050,30.27,2.792,315608
58,Panchagar,246585,99792,33.43,3.083,307689,246800,99879,34.37,3.170,316596
59,Rangpur,406013,164311,30.60,2.823,463811,407781,165027,30.26,2.791,460590
60,Thakurgaon,338635,137099,31.16,2.873,393874,338380,136996,31.64,2.917,399653
7,"Rangpur
Divison",2720329,1100993,30.31,2.795,3077574,2735905,1107296,30.99,2.858,3164739
61,Habiganj,239978,97118,25.46,2.348,228037,218068,88251,28.79,2.655,234315
62,Moulvibazar,249890,101129,31.77,2.930,296319,250602,101417,33.04,3.048,309089
63,Sunamganj,200275,81050,25.78,2.378,192731,200865,81289,30.28,2.793,227024
64,Sylhet,347060,140453,28.55,2.633,369801,350212,141729,29.59,2.730,386865
8,"Sylhet
Division","103720
3",419750,28.07,2.589,1086888,1019747,412686,30.40,2.804,1157293
,Bangladesh,14131786,5720127,28.36,2.615,14958390,14143347,5724822,29.22,2.695,15426395
