District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
,,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23
1,Barguna,302,279.00,267.00,0,0.00,0.00,271.84,274.20,354.31,271.84,274.20,354.31
2,Barishal,105,72.00,70.00,0,0.00,0.00,560.54,319.32,224.95,560.54,319.32,224.95
3,Bhola,53.37,35.00,28.00,0,0.00,0.00,286.70,297.43,275.57,286.70,297.43,275.57
4,Jhallokati,2003,1995.00,1889.00,0,0.00,0.00,3065.97,3167.35,2491.42,3065.97,"3167.3
5","2491.4
2"
5,Patuakhali,301.76,300.00,302.00,0,0.00,0.00,420.38,461.01,483.66,420.38,461.01,483.66
6,Pirojpur,87,83.00,84.00,0,0.00,0.00,140.13,125.13,118.10,140.13,125.13,118.10
1,Barishal Division,2852.32,2764.00,2640.00,0,0.00,0.00,4745.56,4644.44,3948.01,4745.56,"4644.4
4","3948.0
1"
7,Bandarban,69.40,69.89,69.89,9.43,11.09,11.27,183.33,188.52,194.08,192.76,199.61,205.35
8,Brahmanbaria,24.71,29.04,29.15,0,0.00,0.00,250.83,220.22,224.28,250.83,220.22,224.28
9,Chandpur,42.00,42.52,42.23,0,0.00,0.00,276.05,306.54,308.30,276.05,306.54,308.30
10,Chattogram,41.07,40.77,40.05,0,0.00,0.00,481.20,462.77,460.66,481.20,462.77,460.66
11,Cumilla,126.74,114.08,114.32,88.51,680.79,686.96,774.11,1590.43,1595.80,862.62,"2271.2
2","2282.7
6"
12,Cox’s Bazar,13.30,13.73,13.62,0,0.00,0.00,177.80,184.12,171.13,177.80,184.12,171.13
13,Feni,30.11,30.70,30.87,0,0.00,0.00,56.78,65.37,83.29,56.78,65.37,83.29
14,Khagrachari,38.84,37.00,36.01,0,0.00,0.00,64.68,67.54,66.81,64.68,67.54,66.81
15,Lakshmipur,119.12,99.87,128.36,0,0.00,0.00,280.26,319.48,326.19,280.26,319.48,326.19
16,Noakhali,30.66,30.93,31.16,0,0.00,0.00,111.82,148.41,146.89,111.82,148.41,146.89
17,Rangamati,624.13,626.56,620.98,87.65,156.58,87.39,1413.01,1296.48,1373.76,1500.66,"1453.0
6","1461.1
5"
2,"Chattogram
Division",1160.08,1135.09,1156.64,185.59,848.46,785.62,4069.87,4849.88,4951.19,4255.46,"5698.3
4","5736.8
1"
18,Dhaka,27,28.54,31.00,0,0.00,0.00,162.56,173.47,164.27,162.56,173.47,164.27
19,Faridpur,103,100.00,101.00,0,0.00,0.00,737.07,706.91,692.31,737.07,706.91,692.31
20,Gazipur,136,134.00,134.00,0,0.00,0.00,431.59,431.60,404.92,431.59,431.60,404.92
21,Gopalganj,86,85.90,89.75,0,0.00,0.00,448.41,505.07,380.51,448.41,505.07,380.51
22,Kishoreganj,125.14,111.23,119.51,0,0.00,0.00,790.32,805.84,988.41,790.32,805.84,988.41
23,Madaripur,71.49,72.14,71.65,0,0.00,0.00,582.93,563.30,492.54,582.93,563.30,492.54
24,Manikganj,40.94,32.17,31.75,0,0.00,0.00,184.97,188.10,185.87,184.97,188.10,185.87
25,Munshiganj,5.77,5.98,5.74,0,0.00,0.00,89.68,97.30,99.48,89.68,97.30,99.48
26,Narayanganj,8.27,6.97,6.90,0,0.00,0.00,28.03,22.42,22.21,28.03,22.42,22.21
27,Narsingdi,47.25,47.87,46.29,0,0.00,0.00,510.06,735.10,765.53,510.06,735.10,765.53
28,Rajbari,148.51,141.51,128.41,92.82,64.17,28.51,337.09,343.31,327.93,429.91,407.48,356.44
29,Shariatpur,80.18,98.03,105.68,0,0.00,0.00,644.58,724.17,738.42,644.58,724.17,738.42
30,Tangail,75.86,72.39,70.10,0,0.00,0.00,1199.49,1000.61,1059.72,1199.49,"1000.6
1","1059.7
2"
3,Dhaka Division,955.41,936.73,941.78,92.82,64.17,28.51,6146.78,6297.20,6322.12,6239.60,"6361.3
7","6350.6
3"
31,Bagerhat,28.90,29.81,44.65,0,0.00,0.00,246.62,240.73,257.12,246.62,240.73,257.12
