District/ Division,,2021-22,,,,,,,,,,,,,,,2022-23,,,,,,,,,,,,,,
,,Area,,,,,,Yield Rate,,,,,,Production,,,Area,,,,,,Yield Rate,,,,,,Production,,
,,Acres,,,"Hector
s",,,"Acres
(Maund
)",,,"Hectors
(M.
Ton)",,,(M. Ton),,,Acres,,,"Hector
s",,,"Acres
(Maund
)",,,"Hectors
(M.
Ton)",,,(M. Ton),,
1,Barguna,,0,,,0,,,0,,,0,,,0,,,০,,,0,,,0,,,0,,,0,
2,Barishal,,1207,,,489,,,25.92,,,2.390,,,1168,,,882,,,357,,,28.45,,,2.624,,,937,
3,Bhola,,7010,,,2838,,,43.29,,,3.991,,,11327,,,8261,,,3343,,,45.35,,,4.183,,,13984,
4,Jhalokathi,,292,,,118,,,31.04,,,2.862,,,338,,,366,,,148,,,32.09,,,2.960,,,438,
5,Patuakhali,,45,,,18,,,35.01,,,3.228,,,58,,,0,,,0,,,0,,,0.000,,,0,
6,Pirojpur,,49,,,20,,,37.19,,,3.429,,,68,,,52,,,21,,,45.24,,,4.173,,,88,
1,"Barishal
Division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8603,,,3483,,,40.36,,,3.721,,,12960,,,9561,,,3869,,,43.28,,,3.992,,,15447,
7,Bandarban,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0.000,,,0,
8,"Brahmanbar
ia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2038,,,825,,,26.36,,,2.438,,,2011,,,2131,,,862,,,28.1,,,2.600,,,2242,
9,Chandpur,,125,,,51,,,22.64,,,2.094,,,106,,,275,,,111,,,35.71,,,3.304,,,368,
10,Chattogram,,0,,,0,,,0,,,0,,,0,,,92,,,37,,,57.84,,,0.000,,,199,
11,Cumilla,,1119,,,453,,,28.15,,,2.603,,,1179,,,1203,,,487,,,38.52,,,3.564,,,1735,
12,Cox’s Bazar,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0.000,,,0,
13,Feni,,15,,,6,,,16.18,,,1.496,,,9,,,15,,,6,,,17.51,,,1.620,,,10,
14,Khagrachari,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0.000,,,0,
15,Laxmipur,,406,,,164,,,45.14,,,4.174,,,686,,,338,,,137,,,46.14,,,4.269,,,584,
16,Noakhali,,21,,,8,,,26.38,,,2.439,,,21,,,74,,,30,,,27.2,,,2.516,,,75,
17,Rangamati,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0.000,,,0,
2,"Chattogram
Division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3724,,,1508,,,28.87,,,2.661,,,4012,,,4128,,,1671,,,33.83,,,3.120,,,5213,
18,Dhaka,,147,,,60,,,34.36,,,3.168,,,189,,,216,,,87,,,32.23,,,2.973,,,259,
19,Faridpur,,46223,,,18714,,,39.85,,,3.674,,,68756,,,46928,,,18992,,,38.54,,,3.555,,,67510,
20,Gazipur,,139,,,56,,,20.37,,,1.878,,,106,,,58,,,23,,,21.05,,,1.942,,,46,
21,Gopalgonj,,15145,,,6132,,,30.81,,,2.841,,,17418,,,13739,,,5560,,,32.94,,,3.038,,,16893,
22,Kishoregonj,,2682,,,1086,,,26.62,,,2.454,,,2665,,,3137,,,1270,,,27.24,,,2.513,,,3190,
23,Madaripur,,12056,,,4881,,,34.78,,,3.207,,,15652,,,12176,,,4928,,,35.11,,,3.238,,,15957,
24,Manikgonj,,770,,,312,,,30.91,,,2.850,,,888,,,779,,,315,,,33.41,,,3.082,,,972,
25,Munsigonj,,22,,,9,,,39.03,,,3.599,,,32,,,47,,,19,,,32.33,,,2.982,,,57,
26,"Narayangon
j",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,66,,,27,,,29.18,,,2.690,,,72,,,75,,,30,,,31.04,,,2.863,,,86,
27,Narsingdi,,238,,,96,,,25.33,,,2.335,,,225,,,194,,,79,,,24.95,,,2.301,,,181,
28,Rajbari,,28525,,,11549,,,34.24,,,3.157,,,36457,,,33339,,,13492,,,34.94,,,3.223,,,43481,
29,Shariatpur,,10317,,,4177,,,34.91,,,3.219,,,13444,,,11050,,,4472,,,34.85,,,3.214,,,14374,
30,Tangail,,11056,,,4476,,,29.17,,,2.689,,,12039,,,10592,,,4286,,,31.63,,,2.917,,,12505,
3,"Dhaka
Division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,127386,,,51573,,,35.32,,,3.256,,,167942,,,132330,,,53553,,,35.53,,,3.277,,,175513,
31,Bagerhat,,265,,,107,,,27.1,,,2.499,,,268,,,342,,,139,,,29.54,,,2.725,,,377,
32,Chuadanga,,2221,,,899,,,36.96,,,3.408,,,3064,,,2130,,,862,,,40.06,,,3.695,,,3185,
33,Jashore,,1012,,,410,,,33.59,,,3.097,,,1269,,,2090,,,846,,,33.09,,,3.052,,,2581,
34,Jhenaidah,,10164,,,4115,,,38.47,,,3.547,,,14595,,,12736,,,5154,,,41.98,,,3.872,,,19957,
,,Area,,,,,,Yield Rate,,,,,,Production,,,Area,,,,,,Yield Rate,,,,,,Production,,
,,Acres,,,"Hector
s",,,"Acres
(Maund
)",,,"Hectors
(M.
Ton)",,,(M. Ton),,,Acres,,,"Hector
s",,,"Acres
(Maund
)",,,"Hectors
(M.
Ton)",,,(M. Ton),,
35,Khulna,,546,,,221,,,29.49,,,2.719,,,601,,,307,,,124,,,31.12,,,2.870,,,357,
36,Kushtia,,27614,,,11180,,,45.56,,,4.201,,,46961,,,30866,,,12491,,,42.17,,,3.890,,,48586,
37,Magura,,7398,,,2995,,,31.21,,,2.878,,,8619,,,12447,,,5037,,,33.65,,,3.104,,,15634,
38,Meherpur,,30176,,,12217,,,47.78,,,4.405,,,53819,,,29820,,,12068,,,45.40,,,4.188,,,50535,
39,Narail,,3524,,,1427,,,31.66,,,2.919,,,4165,,,3851,,,1558,,,31.91,,,2.943,,,4587,
40,Satkhira,,1531,,,620,,,31.57,,,2.911,,,1804,,,1468,,,594,,,31.42,,,2.898,,,1721,
4,"Khulna
Division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,84451,,,34190,,,42.88,,,3.953,,,135165,,,96057,,,38874,,,41.14,,,3.795,,,147521,
41,Jamalpur,,10363,,,4196,,,30.85,,,2.654,,,11135,,,9325,,,3774,,,31.34,,,2.697,,,10179,
42,"Mymensing
h",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3232,,,1309,,,31.52,,,2.712,,,3548,,,4130,,,1671,,,31.38,,,2.701,,,4514,
43,Netrokona,1821,,,737,,,30.31,,,2.592,,,1911,,,1746,,,707,,,35.24,,,3.033,,,2143,,
44,Sherpur,1898,,,768,,,31.17,,,2.682,,,2061,,,1912,,,774,,,31.31,,,2.695,,,2085,,
5,"Mymensing
h
Division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,17314,,,7010,,,28.87,,,2.661,,,18655,,,17113,,,6926,,,29.62,,,2.732,,,18922,
45,Bogura,6997,,,2833,,,31.11,,,2.676,,,7581,,,5416,,,2192,,,30.53,,,2.628,,,5760,,
46,Joypurhat,5615,,,2273,,,28.77,,,2.475,,,5627,,,5605,,,2268,,,30.51,,,2.626,,,5956,,
47,Naogaon,49131,,,19891,,,39.08,,,3.362,,,66877,,,41108,,,16636,,,39.62,,,3.410,,,56729,,
48,Natore,57173,,,23147,,,40.35,,,3.471,,,80353,,,61982,,,25084,,,46.57,,,4.008,,,100540,,
49,"Chapai
Nawabganj",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,62082,,,25134,,,47.39,,,4.077,,,102475,,,60365,,,24429,,,47.85,,,4.118,,,100608,
50,Pabna,63065,,,25532,,,33.02,,,2.841,,,72532,,,64015,,,25907,,,35.61,,,3.065,,,79400,,
51,Rajshahi,58025,,,23492,,,37.52,,,3.228,,,75831,,,55803,,,22583,,,39.24,,,3.377,,,76270,,
52,Sirajganj,12386,,,5015,,,34.44,,,2.963,,,14858,,,11455,,,4636,,,32.75,,,2.819,,,13067,,
6,"Rajshahi
Division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,314474,,,127317,,,36.30,,,3.347,,,426134,,,305749,,,123735,,,38.41,,,3.542,,,438330,
53,Dinajpur,8175,,,3310,,,34.97,,,3.009,,,9957,,,7976,,,3228,,,35.16,,,3.026,,,9768,,
54,Gaibandha,7770,,,3146,,,31.41,,,2.702,,,8501,,,8120,,,3286,,,27.59,,,2.375,,,7803,,
55,Kurigram,19950,,,8077,,,34.56,,,2.973,,,24015,,,18945,,,7667,,,35.14,,,3.024,,,23188,,
56,Lalmonirhat,3292,,,1333,,,39.06,,,3.360,,,4479,,,2822,,,1142,,,41.61,,,3.581,,,4090,,
57,Nilphamari,10827,,,4383,,,35.12,,,3.021,,,13244,,,10338,,,4184,,,37.12,,,3.195,,,13366,,
58,Panchagarh,52858,,,21400,,,41.24,,,3.548,,,75927,,,49777,,,20144,,,43.31,,,3.728,,,75090,,
59,Rangpur,4038,,,1635,,,35.17,,,3.026,,,4947,,,4002,,,1620,,,36.22,,,3.117,,,5049,,
60,Thakurgaon,112852,,,45689,,,45.24,,,3.892,,,177827,,,113837,,,46069,,,41.68,,,3.587,,,165264,,
7,"Rangpur
Division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,219762,,,88972,,,38.88,,,3.584,,,318897,,,215817,,,87340,,,37.69,,,3.476,,,303618,
61,Habiganj,506,,,205,,,29.29,,,2.520,,,516,,,550,,,223,,,39.76,,,3.422,,,762,,
62,Moulvibazar,72,,,29,,,19.86,,,1.709,,,50,,,127,,,51,,,26.17,,,2.252,,,116,,
63,Sunamganj,854,,,346,,,33.05,,,2.843,,,983,,,858,,,347,,,41.09,,,3.537,,,1228,,
64,Sylhet,574,,,232,,,25.99,,,2.236,,,520,,,602,,,244,,,27.18,,,2.339,,,570,,
8,"Sylhet
Division",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2006,,,812,,,27.63,,,2.547,,,2068,,,"2,137",,,865,,,33.54,,,3.093,,,2675,
Bangladesh,,,1085834,,,314865,,,37.40,,,3.449,,,1085834,,,782892,,,316832,,,37.89,,,3.495,,,1107195,
