District/ Division,,2021-22,,,,,2022-23,,,,
,,Area,,Yield Rate,,"Productio
n",Area,,Yield Rate,,"Producti
on"
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acre
s
(Maun
d)","Hector
s
(M.
57,Nilphamari,94551,38264,41.15,3.796,145232,92204,37314,43.25,3.989,148855
58,Panchagar,57595,23308,41.54,3.831,89306,59955,24263,45.78,4.223,102454
59,Rangpur,200562,81166,43.59,4.021,326334,202583,81984,44.65,4.118,337638
60,Thakurgaon,122868,49724,39.50,3.643,181160,122875,49727,41.43,3.821,190023
7,"Rangpur
Divison",1272696,515081,42.75,3.943,2030968,1246124,504324,43.93,4.052,2043317
61,Habiganj,179347,72581,39.44,3.638,264033,179631,72696,44.48,4.103,298245
62,Moulvibazar,129463,52393,42.87,3.954,207170,133784,54142,52.61,4.853,262723
63,Sunamganj,398740,161368,46.76,4.313,695972,395365,160002,47.52,4.383,701297
64,Sylhet,167589,67822,38.26,3.529,239341,165909,67142,37.15,3.427,230068
8,"Sylhet
Division",875139,354164,43.06,3.971,1406516,874689,353982,45.71,4.216,1492333
,Bangladesh,9027557,3653623,43.99,4.057,14823141,8943493,3619599,44.89,4.140,14984750
