District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden
(M. Tons)",,
,,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23
1,Barguna,80.38,72.38,88.82,0,0.00,0.00,75,74.80,87.23,75,74.80,87.23
2,Barishal,563.88,563.28,511.48,0,0.00,0.00,521,389.00,424.00,521,389.00,424.00
3,Bhola,155.34,139.78,140.94,0,0.00,0.00,160,164.49,178.41,160,164.49,178.41
4,Jhallokati,151.48,160.80,154.28,0,0.00,0.00,97,124.00,122.00,97,124.00,122.00
5,Patuakhali,487.30,497.48,497.62,0,0.00,0.00,641,685.22,685.09,641,685.22,685.09
6,Pirojpur,117.28,117.16,119.44,0,0.00,0.00,80,80.02,79.80,80,80.02,79.80
1,Barishal Division,"1555.6
6","1550.8
8","1512.5
8",0,0.00,0.00,1574,"1517.5
3","1576.5
3",1574,"1517.5
3","1576.5
3"
7,Bandarban,83.62,84.84,91.44,31,32.15,32.82,136,137.95,160.06,167,170.10,192.88
8,Brahmanbaria,166.52,168.36,170.26,0,0.00,0.00,406,404.20,412.17,406,404.20,412.17
9,Chandpur,246.64,248.76,249.98,0,0.00,0.00,303,314.60,316.37,303,314.60,316.37
10,Chattogram,586.10,584.14,522.78,104,111.36,174.39,1304,"1344.2
5","1163.3
3",1408,"1455.6
1","1337.7
2"
11,Cumilla,384.04,383.24,384.18,124,123.09,123.93,613,610.21,617.47,737,733.30,741.40
12,Cox’s Bazar,143.60,135.70,136.00,0,0.00,0.00,269,267.50,269.31,269,267.50,269.31
13,Feni,122.76,123.60,124.40,0,0.00,0.00,88,90.30,142.00,88,90.30,142.00
14,Khagrachari,716.46,717.60,717.62,0,0.00,0.00,1306,"1407.1
0","1408.7
5",1306,"1407.1
0","1408.7
5"
15,Lakshmipur,113.24,114.64,115.32,0,0.00,0.00,69,78.10,79.29,69,78.10,79.29
16,Noakhali,183.86,189.30,182.68,0,0.00,0.00,237,237.60,244.33,237,237.60,244.33
17,Rangamati,426.82,427.80,432.32,131,131.44,130.48,749,745.01,754.11,880,876.45,884.59
2,"Chattogram
Division","3173.6
6","3177.9
8","3126.9
8",390,398.04,461.62,5480,"5636.8
2","5567.1
9",5870,"6034.8
6","6028.8
1"
18,Dhaka,176.12,172.16,186.80,0,0.00,0.00,240,234.66,244.62,240,234.66,244.62
19,Faridpur,558.74,561.60,567.88,0,0.00,0.00,670,687.20,698.60,670,687.20,698.60
20,Gazipur,358.72,361.70,363.60,0,0.00,0.00,748,755.50,757.30,748,755.50,757.30
21,Gopalganj,358.52,361.46,364.66,29,20.69,33.33,16,417.93,411.92,45,438.62,445.25
22,Kishoreganj,451.90,454.26,454.06,0,0.00,0.00,1074,"1101.0
0","1128.0
0",1074,"1101.0
0","1128.0
0"
23,Madaripur,212.10,223.74,217.98,0,0.00,0.00,226,246.66,262.51,226,246.66,262.51
24,Manikganj,167.42,167.70,168.16,0,0.00,0.00,312,322.59,325.23,312,322.59,325.23
25,Munshiganj,104.18,106.34,107.94,0,0.00,0.00,153,169.30,177.52,153,169.30,177.52
26,Narayanganj,102.58,98.96,100.16,0,0.00,0.00,188,171.49,177.11,188,171.49,177.11
27,Narsingdi,280.20,282.74,274.62,0,0.00,0.00,665,437.55,413.09,665,437.55,413.09
28,Rajbari,156.28,164.28,157.58,0,0.00,0.00,265,276.02,281.75,265,276.02,281.75
