District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden
(M. Tons)",,
,,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23
1,Barguna,186,254,135.93,0,0,0.00,178,167,159.60,178,167,159.60
2,Barishal,506.66,523.33,185.00,0,0,0.00,820,800,405.00,820,800,405.00
3,Bhola,69.87,69.10,73.05,0,0,0.00,285.50,466.10,268.50,285.50,466.10,268.50
4,Jhallokati,166.84,192.19,187.00,0,0,0.00,88,114,110.00,88,114,110.00
5,Patuakhali,144.33,147,121.00,0,0,0.00,195.9,212,259.00,195.90,212,259.00
6,Pirojpur,75.57,76.74,77.08,0,0,0.00,95.52,98.81,99.31,95.52,98.81,99.31
1,Barishal Division,1149.27,1262.32,779.06,0,0,0.00,"1662.9
2",1857.91,1301.41,1662.92,1857.91,1301.41
7,Bandarban,27,28,27.60,64.15,62.99,62.83,213.77,204.01,204.27,277.92,267,267.10
8,Brahmanbaria,274,278,274.80,0,0,0.00,928.46,960,988.60,928.46,960,988.60
9,Chandpur,68,84,86.30,0,0,0.00,501.86,435,434.90,501.86,435,434.90
10,Chattogram,464,474,449.50,15.52,15.4,11.81,"1404.4
8",1409.60,1237.29,1420,1425,1249.10
11,Cumilla,469,472,473.00,164.26,167.85,167.89,"1368.7
4",1414.15,1415.11,1533,1582,1583.00
12,Cox’s Bazar,57,75,54.10,0,0,0.00,852,851,757.90,852,851,757.90
13,Feni,172,179,173.00,0,0,0.00,251.29,182,182.10,251.29,182,182.10
14,Khagrachari,394,404,406.30,16.49,10.93,10.08,723.39,739.07,734.02,739.88,750,744.10
15,Lakshmipur,27,31,28.00,0,0,0.00,162.27,133,138.60,162.27,133,138.60
16,Noakhali,51,46,47.30,0,0,0.00,116.67,153,189.00,116.67,153,189.00
17,Rangamati,374,371,371.14,99.04,159.80,91.97,445.35,347.20,421.20,544.39,507,513.17
2,"Chattogram
Division",2377,2442,2391.04,359.46,416.97,344.58,"6968.2
8",6828.03,6702.99,7327.74,7245,7047.57
18,Dhaka,19.87,42.12,36.50,0,0,0.00,163.95,174.10,176.13,163.95,174.10,176.13
19,Faridpur,193,193,187.00,0,0,0.00,680.06,680.10,816.23,680.06,680.10,816.23
20,Gazipur,150.40,106,107.00,0,0,0.00,393.05,429,440.00,393.05,429,440.00
21,Gopalganj,91.83,103,114.37,0,0,0.00,402,375.20,394.43,402,375.20,394.43
22,Kishoreganj,239.73,320.51,256.86,0,0,0.00,"1293.7
0",1359,1324.34,1293.70,1359,1324.34
23,Madaripur,146.16,140,140.96,0,0,0.00,530.47,559,757.36,530.47,559,757.36
24,Manikganj,188.18,189,183.01,0,0,0.00,326.89,326,388.10,326.89,326,388.10
25,Munshiganj,16.31,17,17.72,0,0,0.00,105.54,100.23,104.95,105.54,100.23,104.95
26,Narayanganj,10.08,10.02,12.90,0,0,0.00,122.90,118.82,107.70,122.90,118.82,107.70
27,Narsingdi,39.45,36.67,37.70,0,0,0.00,510.73,515.21,362.27,510.73,515.21,362.27
28,Rajbari,258.82,261.77,257.77,0,0,0.00,"3036.0
5",3030.75,2950.75,3036.05,3030.75,2950.75
29,Shariatpur,164.28,207.52,167.20,0,0,0.00,401.60,602.01,299.80,401.60,602.01,299.80
30,Tangail,80.40,89.04,86.72,0,0,0.00,511.71,521.85,518.25,511.71,521.85,518.25
3,Dhaka Division,1598.51,1715.65,1605.71,0,0,0.00,"8478.6
5",8791.27,8640.31,8478.65,8791.27,8640.31
31,Bagerhat,35.13,47,45.57,18.60,9.33,0.00,368.38,185.67,185.11,386.98,195,185.11
32,Chuadanga,52.45,51,51.69,0,0,0.00,120.77,120,119.54,120.77,120,119.54
33,Jashore,265.08,279,285.62,0,0,0.00,902.73,954,1010.00,902.73,954,1010.00
34,Jhenaidah,147.23,163,167.69,0,0,0.00,"1509.7
8",1111,1115.42,1509.78,1111,1115.42
35,Khulna,96.45,123,123.17,0,9.23,8.98,314.95,305.77,301.62,314.95,315,310.60
36,Kushtia,1037,760,765.00,480.52,327.21,329.15,"6920.4
8",6966.79,7002.85,7401,7294,7332.00
37,Magura,161.68,159,127.73,0,93.79,89.77,566.27,565.21,553.37,656.95,659,643.14
,,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23
38,Meherpur,102.84,109,110.57,74.96,77.13,68.45,151.04,159.87,143.96,226,237,212.41
39,Narail,80.54,83,83.28,0,0,0.00,227.10,239,237.57,227.10,239,237.57
40,Satkhira,561.91,588,587.44,565.96,0,0.00,"1258.7
9",1117,1134.78,1824.75,1117,1134.78
4,Khulna Division,2540.31,2362,2347.76,1230.72,516.69,496.35,"12340.
29","11724.3
1","11804.2
2","13571.0
1",12241,"12300.5
7"
41,Jamalpur,774,787,791.00,0,0,0.00,2136,2129,2006.00,2136,2129,2006.00
42,Mymensingh,1225,1237,1242.00,0,0,0.00,3676,3719,3740.00,3676,3719,3740.00
43,Netrokona,526,399,404.00,0,0,0.00,2051,1696,1872.00,2051,1696,1872.00
44,Sherpur,237.65,200,203.00,0,0,0.00,802,915,927.00,802,915,927.00
5,"Mymensingh
Division",2763,2623,2640.00,0,0,0.00,8665,8459,8545.00,8665,8459,8545.00
45,Bogura,170.79,109.69,112.04,0,0,0.00,1704,704,713.36,1704,704,713.36
46,Joypurhat,67.46,57.03,57.39,0,0,0.00,496.05,259.39,240.88,496.05,259.39,240.88
47,Naogaon,130.02,132.32,78.42,0,0,0.00,488.99,483.06,490.15,488.99,483.06,490.15
48,Natore,217.72,189.68,245.84,0,0,0.00,"1848.9
6",797.10,847.80,1848.96,797.10,847.80
49,Chapai Nawabganj,70.53,73.70,74.70,0,0,0.00,105.90,113.93,124.37,105.90,113.93,124.37
50,Pabna,196.13,191.94,192.54,0,0,0.00,827.86,834.16,847.51,827.86,834.16,847.51
51,Rajshahi,138.31,142.24,141.98,0,0,0.00,566.86,576.27,462.71,566.86,576.27,462.71
52,Sirajganj,56.84,51.64,52.21,0,0,0.00,602.22,585.30,593.07,602.22,585.30,593.07
6,Rajshahi Division,1047.80,948.24,955.12,0,0,0.00,"6640.8
4",4353.34,4319.85,6640.84,4353.34,4319.85
53,Dinajpur,111.63,108,122.00,0,0,0.00,574.27,510,452.00,574.27,510,452.00
54,Gaibandha,89.17,91.17,73.34,0,0,0.00,307.60,322.92,460.40,307.60,322.92,460.40
55,Kurigram,191.19,186.72,162.44,0,0,0.00,"1564.6
0",1523.94,1530.00,1564.60,1523.94,1530.00
56,Lalmonirhat,37.67,38.81,40.44,0,0,0.00,179.89,186.71,255.71,179.89,186.71,255.71
57,Nilphamari,62.39,134.55,131.51,0,0,0.00,606.59,627.87,638.71,606.59,627.87,638.67
58,Panchagar,78.94,136.43,94.17,0,0,0.00,495.20,480.70,576.48,495.20,480.70,576.48
59,Rangpur,52.40,86.71,86.23,0,0,0.00,844.40,815.54,791.26,844.40,815.54,791.26
60,Thakurgaon,46.19,46.21,46.33,0,0,0.00,509.22,511.43,519.58,509.22,511.43,519.58
7,Rangpur Divison,669.58,828.60,756.46,0,0,0.00,"5081.7
7",4979.11,5224.10,5081.77,4979.11,5224.10
61,Habiganj,688.58,240.35,251.00,0,17.47,17.50,"1346.3
5",2075.62,2082.50,1346.35,2093.09,2100.00
62,Moulvibazar,102.59,144.51,145.00,0,0,0.00,442.56,416.92,415.95,442.56,416.92,415.95
