District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden
(M. Tons)",,
,,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23
1,Barguna,200,205.00,205.99,0,0.00,0.00,374,352.00,354.96,374,352.00,354.96
2,Barishal,472,475.58,137.00,0,0.00,0.00,910,1005.00,1012.00,910,"1005.0
0","1012.0
0"
3,Bhola,210,85.01,61.48,0,0.00,0.00,621,549.60,574.54,621,549.60,574.54
4,Jhallokati,112,143.00,120.00,0,0.00,0.00,252,282.00,247.00,252,282.00,247.00
5,Patuakhali,516,79.05,242.06,0,0.00,0.00,920,1013.59,1027.59,920,"1013.5
9","1027.5
9"
6,Pirojpur,200,14.74,103.38,0,0.00,0.00,507,506.81,508.84,507,506.81,508.84
1,Barishal Division,1710,1002.38,869.91,0,0.00,0.00,3584,3709.00,3724.93,3584,"3709.0
0","3724.9
3"
7,Bandarban,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
8,Brahmanbaria,44,42.66,43.72,0,0.00,0.00,84,97.46,98.46,84,97.46,98.46
9,Chandpur,490,37.17,37.17,0,0.00,0.00,390,412.86,412.86,390,412.86,412.86
10,Chattogram,250,8.10,24.57,0,0.00,0.00,278,61.05,86.20,278,61.05,86.20
11,Cumilla,252,116.73,118.89,0,0.00,0.00,300,301.67,306.06,300,301.67,306.06
12,Cox’s Bazar,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
13,Feni,3.00,3.01,3.03,0,0.00,0.00,28,14.07,26.00,28,14.07,26.00
14,Khagrachari,108,15.61,112.82,0,0.00,0.00,213,42.44,237.39,213,42.44,237.39
15,Lakshmipur,120,58.40,40.16,0,0.00,0.00,272,0.41,347.53,272,0.41,347.53
16,Noakhali,44,41.64,42.22,0,0.00,0.00,974,543.60,558.79,974,543.60,558.79
17,Rangamati,304,375.70,283.43,34,957.81,34.49,452,207.30,416.51,486,"1165.1
1",451.00
2,"Chattogram
Division",1615,699.02,706.01,34,957.81,34.49,2991,1680.86,2489.80,3025,2638.67,2524.29
18,Dhaka,25,16.21,27.19,0,0.00,0.00,322,412.56,425.01,322,412.56,425.01
19,Faridpur,69,65.00,67.00,0,0.00,0.00,83,86.54,83.73,83,86.54,83.73
20,Gazipur,50,22.00,22.00,0,0.00,0.00,122,127.40,127.10,122,127.40,127.10
21,Gopalganj,200,60.49,60.10,0,0.00,0.00,451,307.15,324.59,451,307.15,324.59
22,Kishoreganj,1,4.11,4.15,0,0.00,0.00,10,16.93,17.64,10,16.93,17.64
23,Madaripur,27,24.24,24.14,0,0.00,0.00,415,374.41,362.82,415,374.41,362.82
24,Manikganj,23,22.06,14.37,0,0.00,0.00,73,75.20,90.90,73,75.20,90.90
25,Munshiganj,300,16.21,16.17,0,0.00,0.00,186,199.91,152.50,186,199.91,152.50
26,Narayanganj,3,2.56,2.58,7,230.00,7.56,23,200.54,21.76,30,430.54,29.32
27,Narsingdi,3,2.99,3.14,0,0.00,0.00,33,34.44,35.70,33,34.44,35.70
28,Rajbari,9,7.60,10.58,0,0.00,0.00,45,44.50,51.19,45,44.50,51.19
29,Shariatpur,350,58.25,57.97,0,0.00,0.00,368,372.12,353.18,368,372.12,353.18
30,Tangail,7,7.41,8.19,0,0.00,0.00,53,59.10,66.02,53,59.10,66.02
3,Dhaka Division,1067,309.13,317.58,7,230.00,7.56,2184,2310.80,2112.14,2191,2540.80,2119.70
31,Bagerhat,37,36.52,40.77,0,0.00,0.00,396,394.00,398.61,396,394.00,398.61
32,Chuadanga,2,1.94,1.99,0,0.00,0.00,12,4.00,3.91,12,4.00,3.91
33,Jashore,3,2.82,2.90,0,0.00,0.00,42,45.00,46.08,42,45.00,46.08
