District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
,,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23
1,Barguna,1337,915,890.02,75,60.34,46.70,385,224.66,248.30,460,285,295.00
2,Barishal,1005,1437,850.04,0,4.77,0.00,1420,1224.23,799.00,1420,1229,799.00
3,Bhola,471.32,249.83,200.33,0,3.90,2.79,182.70,546.50,322.31,182.7,550.40,325.10
4,Jhallokati,1625.42,1621,1620.20,74.52,43.20,43.31,560.48,339.80,364.69,635,383,408.00
5,Patuakhali,550,618,560.00,0,0,0.00,310,284,329.00,310,284,329.00
6,Pirojpur,365.6,167.47,148.07,25.71,21.96,28.20,471.59,485.46,473.58,497.3,507.42,501.78
1,Barishal Division,5354.34,5008.3,4268.66,175.23,134.17,121.00,3329.77,3104.65,2536.88,3505,3238.82,2657.88
7,Bandarban,3726,3727,3730.22,305.46,306.17,162.72,181.54,157.83,303.36,487,464,466.08
8,Brahmanbaria,205.85,207,208.91,0,0,0.00,1422.39,1469,1460.63,1422.39,1469,"1460.6
3"
9,Chandpur,44.7,60,70.43,39.21,35.26,59.60,429.57,337.74,687.46,468.78,373,747.06
10,Chattogram,66350,610.90,787.31,5094,5381.06,2888.91,1858,678.06,1639.85,6952,"6059.1
2","4528.7
6"
11,Cumilla,1642.82,1584,1568.26,578.74,543.31,541.13,1611.42,1579.69,1582.27,2190.16,2123,"2123.4
0"
12,Cox’s Bazar,67500,647,690.22,237.85,265.64,247.12,702.29,689.36,682.77,940.14,955,929.89
13,Feni,72.51,75,78.23,3.25,23.95,3.35,140.12,127.05,147.53,143.37,151,150.88
14,Khagrachari,689.99,707,715.28,337.92,349.65,396.85,537.77,550.35,605.92,875.69,900,"1002.7
7"
15,Lakshmipur,560.35,75,93.05,0,0,0.00,364,491,739.81,364,491,739.81
16,Noakhali,103.34,109,124.57,0,0,0.00,375.09,603,475.23,375.09,603,475.23
17,Rangamati,1220.25,1566,1466.10,2485.44,2338.40,2202.30,1638.58,1596.60,1452.86,4124.02,3935,"3655.1
6"
2,"Chattogram
Division",142115.8,9367.90,9532.58,9081.87,9243.44,6501.98,9260.77,8279.68,9777.69,18342.64,17523.12,16279.67
18,Dhaka,552.5,359.54,332.98,571.18,4410.94,3722.07,8620.93,4843.06,2996.25,9192.11,9254,"6718.3
2"
19,Faridpur,110.45,129,111.00,38.81,43.21,96.32,225.59,239.97,223.55,264.40,283.18,319.87
20,Gazipur,213.42,228,238.00,191.44,184.84,448.36,366.06,363.16,885.92,557.50,548,"1334.2
8"
21,Gopalganj,1250.25,1103.42,1126.89,0,0,0.00,463.70,502.80,1057.06,463.70,502.80,"1057.0
6"
22,Kishoreganj,119.68,138.69,120.95,8.55,21.26,59.44,845.60,928.94,1590.60,854.15,950.2,"1650.0
4"
23,Madaripur,28.11,37,39.43,5.70,10.03,24.95,333.44,296.97,431.43,339.14,307,456.38
24,Manikganj,310.09,276,334.49,908.12,951,1750.53,506.50,497,989.62,1414.62,1448,"2740.1
5"
25,Munshiganj,49.75,52.76,51.95,0,0,0.00,121.89,121.75,249.60,121.89,121.75,249.60
26,Narayanganj,309,305.78,3315.00,0,36.56,64.29,29,154.96,335.53,29,191.52,399.82
27,Narsingdi,346.45,366.71,369.47,2124.68,2113.17,3511.00,426.59,435.09,1135.55,2551.27,"2548.2
6","4646.5
5"
28,Rajbari,183.59,192.23,173.00,394.66,182.65,37.31,927.36,424.35,1199.69,1322.02,607,"1237.0
0"
29,Shariatpur,191.5,148.35,151.27,43.22,37.67,94.43,435.68,461.17,420.01,478.90,498.84,514.44
30,Tangail,452.19,405.35,509.27,443.74,476.40,1578.08,1211.80,1219.72,2750.88,1655.54,"1696.1
2","4328.9
6"
3,Dhaka Division,4116.98,3742.83,6873.70,4730.10,8467.73,11386.78,14514.14,10488.94,14265.69,19244.24,18956.67,25652.47
31,Bagerhat,89,110.19,159.51,33.82,56.50,73.93,358.18,524.26,567.33,392,580.76,641.26
32,Chuadanga,89,35.37,41.30,65.7,75.16,186.13,99.3,114.62,17.73,165,189.78,203.86
33,Jashore,865,705.93,807.77,398.78,397.56,462.85,592.22,540.41,605.05,991,937.97,"1067.9
0"
34,Jhenaidah,142,147.01,153.35,26.52,29.33,44.34,643.48,654.90,656.16,670,684.23,700.50
35,Khulna,291,292.73,293.79,29.63,44.52,44.35,383.37,539.98,540.69,413,584.50,585.04
,,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23
36,Kushtia,146,195,195.00,482.25,496.76,522.20,1275.75,1265.24,1271.80,1758,1762,"1794.0
0"
37,Magura,257,121.37,122.47,134.67,135.33,137.96,1256.33,1121.37,1161.51,1391,"1256.7
0","1299.4
7"
38,Meherpur,157,171.09,169.78,501.04,482.19,480.00,386.96,411.71,434.28,888,893.90,914.28
39,Narail,413,424,429.57,52.62,57,61.24,856.38,947.40,966.46,909,"1004.4
0","1027.7
0"
40,Satkhira,321,483.97,192.85,187.36,203.63,205.01,202.53,211.79,215.11,389.89,415.42,420.12
4,Khulna Division,2770,2686.66,2565.39,1912.39,1977.98,2218.01,6054.5,6331.68,6436.12,7967,8310,8654.13
41,Jamalpur,425,278,283.00,25.78,3.85,47.03,333.22,171.15,655.97,359,175,703.00
42,Mymensingh,1292,2137,2047.00,1218.29,1062.34,1181.59,4321.71,4082.66,3913.41,5540,5145,"5095.0
0"
43,Netrokona,212,137,235.00,0,0,89.10,2038,1359,1712.90,2038,1359,"1802.0
0"
44,Sherpur,114,61,116.00,93.41,20.85,128.03,210.59,105.15,266.97,304,126,395.00
5,"Mymensingh
Division",2043,2613,2681.00,1337.48,1087.04,1445.75,6903.52,5717.96,6549.25,8241,6805,7995.00
45,Bogura,108.06,110,115.06,0,0,16.42,332.43,380,318.14,332.43,380,334.56
46,Joypurhat,48.38,50,57.47,20.39,26.64,24.39,142.98,171.36,180.88,163.37,198,205.27
47,Naogaon,483.19,204,179.48,76.06,111.12,287.20,676.83,480.88,441.64,752.89,592,728.84
48,Natore,240.59,647,913.42,627.80,"13648.6
4","17856.8
2",664.60,2379.36,250.67,1292.4,16028,"18107.
49"
49,Chapai Nawabganj,307.27,323,326.31,292.16,443.27,966.92,323.41,507.73,615.21,615.57,951,"1582.1
3"
50,Pabna,232.54,238,247.93,536.48,389.07,258.88,1499.88,1186.93,1529.77,2036.36,1576,"1788.6
5"
51,Rajshahi,201.97,392,393.39,460.32,263.54,1506.12,3325.45,872.46,401.15,3785.77,1136,"1907.2
7"
