District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden
(M. Tons)",,
,,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23
1,Barguna,8120,8321.01,7054.00,319,274.42,266.88,8750,7500.58,6648.12,9069,7775.00,6915.00
2,Barishal,6623,6103.00,6680.00,149,1148.10,1075.04,13360,"11617.8
6","11388.9
6",13509,"12765.9
6","12464.0
0"
3,Bhola,1346,1348.47,1331.00,314,316.04,358.31,13829,"13883.9
6","15891.5
9",14143,"14200.0
0","16249.9
0"
4,Jhallokati,2444,2480.00,2457.00,0,0.00,0.00,8000,8189.00,4182.00,8000,8189.00,4182.00
5,Patuakhali,1779,1765.90,1766.00,0,0.00,0.00,14049,"16766.3
8","16704.6
4",14049,"16766.3
8","16704.6
4"
6,Pirojpur,3250,3093.10,3094.00,2270,2049.89,2051.59,13268,"24893.3
0","24889.4
1",15538,"26943.1
9","26941.0
0"
1,Barishal Division,23562,"23111.4
8","22382.0
0",3052,3788.45,3751.82,71256,"82851.0
8","79704.7
2",74308,"86639.5
3","83456.5
4"
7,Bandarban,134,133.90,133.89,290,290.84,290.83,529,533.23,535.46,819,824.07,826.29
8,Brahmanbaria,400,427.51,426.36,0,0.00,0.00,6689,3843.43,3896.74,6689,3843.43,3896.74
9,Chandpur,394,293.08,293.46,0,0.00,0.00,3934,6571.44,6582.40,3934,6571.44,6582.40
10,Chattogram,5826,5345.80,701.53,1062,1064.43,944.44,7624,7009.65,5706.41,8686,8074.08,6650.85
11,Cumilla,1228,1240.00,1250.89,443,462.78,469.44,5454,5557.22,5550.56,5897,6020.00,6020.00
12,Cox’s Bazar,426,450.86,416.33,2578,4220.24,4164.04,3998,7023.00,5981.53,6576,"11243.2
4","10145.5
7"
13,Feni,915,915.63,910.00,0,0.00,0.00,1986,1987.41,3080.00,1986,1987.41,3080.00
14,Khagrachari,656,664.76,675.70,51,50.99,50.95,1500,1633.93,1907.06,1551,1684.92,1958.01
15,Lakshmipur,107,627.40,694.40,0,1285.15,1968.39,10592,"12828.2
5","14762.5
4",10592,"14113.4
0","16730.9
3"
16,Noakhali,1694,1616.88,1774.36,0,0.00,0.00,25155,"25476.1
7","25539.9
3",25155,"25476.1
7","25539.9
3"
17,Rangamati,1858,1855.50,1859.80,1911,2185.09,2119.66,1251,1358.44,1392.33,3162,3543.53,3511.99
2,"Chattogram
Division",13638,"13571.3
2",9136.72,6335,9559.52,"10007.7
5",68712,"73822.1
7","74934.9
6",75047,"83381.6
9","84942.7
1"
18,Dhaka,145,1.84,122.42,0,0.00,0.00,3251,1172.78,2838.73,3251,1172.78,2838.73
19,Faridpur,544,549.00,530.00,297,265.08,284.02,4952,4451.76,4532.73,5249,4716.84,4816.75
20,Gazipur,393,398.00,409.00,388,387.99,389.37,1142,1171.01,1194.63,1530,1559.00,1584.00
21,Gopalganj,333,348.65,349.21,20,20.83,20.63,3459,2275.56,2303.17,3479,2296.39,2323.80
22,Kishoreganj,313,297.38,328.78,361,347.47,357.92,7186,7269.33,7416.58,7547,7616.80,7774.50
23,Madaripur,940,925.57,927.11,0,0.00,0.00,11783,"10803.1
1","10913.0
2",11783,"10803.1
1","10913.0
2"
24,Manikganj,1533,1334.84,1315.09,390,388.17,381.21,13522,"13386.2
3","13060.2
9",13912,"13774.4
0","13441.5
0"
25,Munshiganj,67,70.82,71.39,0,0.00,0.00,954,992.62,1018.55,954,992.62,1018.55
26,Narayanganj,43,42.90,42.80,0,0.00,0.00,2090,1670.68,1520.19,2090,1670.68,1520.19
27,Narsingdi,84,83.41,84.20,0,0.00,0.00,1506,1484.70,1475.00,1506,1484.70,1475.00
28,Rajbari,350,340.15,409.75,637,117.84,101.86,9019,9308.16,9824.96,9656,9426.00,9926.82
29,Shariatpur,313,1105.20,802.59,0,0.00,0.00,11945,"11116.0
0","10775.0
0",11945,"11116.0
0","10775.0
0"
30,Tangail,272,321.07,305.86,81,82.59,90.02,4741,5000.71,5472.98,4822,5083.30,5563.00
3,Dhaka Division,5330,5818.83,5698.20,2174,1609.97,1625.03,75550,"70102.6
5","72345.8
3",77724,"71712.6
2","73970.8
6"
31,Bagerhat,1007,1014.70,1061.21,2760,2654.60,2725.58,26303,"25117.3
9","25795.5
2",29063,"27771.9
9","28521.1
0"
32,Chuadanga,179,173.84,173.78,1556,1585.94,1568.87,2286,2305.06,2299.37,3842,3891.00,3868.24
33,Jashore,1164,1123.70,991.51,4587,4506.99,3547.74,8473,8390.00,6747.46,13060,"12896.9
9","10295.2
0"
34,Jhenaidah,378,424.89,432.08,1850,1793.17,1837.69,10341,9485.83,9546.11,12191,"11279.0
0","11383.8
0"
35,Khulna,1518,1518.40,1474.14,2495,2518.99,2391.13,8146,8122.00,7722.57,10641,"10640.9
9","10113.7
0"
36,Kushtia,1286,889.00,895.00,460,468.42,322.78,16307,"16299.5
8","16401.6
2",16767,"16768.0
0","16724.4
0"
,,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23
