District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
,,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23
1,Barguna,150,152.00,2691.00,78,72.19,189.69,493.81,696,668.31,566,566.00,858.00
2,Barishal,170,190.00,658.00,344,420.00,147.02,2430.00,2330,5420.98,2330,2850.00,5568.00
3,Bhola,62,122.00,78.00,214,241.37,194.32,839.63,838,759.68,952,1081.00,954.00
4,Jhallokati,130,156.00,164.00,10,10.32,24.48,1431.68,300,1529.52,1318,1442.00,1554.00
5,Patuakhali,120,242.00,765.00,0,0.00,0.00,390.00,877,345.00,291,390.00,345.00
6,Pirojpur,52,328.00,42.00,214,162.58,142.16,605.41,775,620.84,900,767.99,763.00
1,Barishal Division,684,1190.0,4398.00,860,906.46,697.67,6190.53,5816,9344.33,6357,7096.99,10042.00
7,Bandarban,100,278.00,277.60,1305,1341.56,1334.46,847.44,3427,857.17,2180,2189.00,2191.63
8,Brahmanbaria,39,37.00,47.33,130,137.55,233.38,434.45,569,421.46,569,572.00,654.84
9,Chandpur,191,250.00,251.24,15,15.46,0.00,2481.54,1647,2502.53,1682,2497.00,2502.53
10,Chattogram,200,255.00,256.06,639,657.41,709.99,2102.99,3427,2084.32,2739,2760.40,2794.31
11,Cumilla,190,344.00,944.00,358,358.01,364.21,2052.00,2168,2045.79,2409,2410.01,2410.00
12,Cox’s Bazar,100,206.00,206.08,2313,2558.14,2568.56,1809.86,5809,1824.51,4086,4368.00,4393.07
13,Feni,60,137.00,131.80,0,0.00,0.00,493.00,493,614.00,492,493.00,614.00
14,Khagrachari,150,104.00,344.62,1116,1110.70,1218.04,1284.30,2326,1264.14,2404,2395.00,2482.18
15,Lakshmipur,165,184.00,184.11,0,350.27,354.39,3649.73,3048,3645.89,3564,4000.00,4000.28
16,Noakhali,150,153.00,258.60,0,0.00,0.00,2274.00,2032,2324.78,2146,2274.00,2324.78
17,Rangamati,300,478.00,476.96,2678,2800.89,3064.18,2074.11,4638,2181.52,4638,4875.00,5245.70
2,"Chattogram
Division",1645,2426.00,3378.40,8554,9329.99,9847.21,19503.42,29584,19766.11,26909,28833.41,29613.32
18,Dhaka,160,304.67,130.61,532,719.74,318.00,1106.96,1443,1453.54,1614,1826.70,1771.54
19,Faridpur,55,111.00,112.00,215,201.95,236.37,804.05,580,906.63,1089,1006.00,1143.00
20,Gazipur,200,299.00,300.00,1211,971.19,1028.30,766.81,1563,735.70,1719,1738.00,1764.00
21,Gopalganj,114,119.23,119.92,20,410.20,435.29,659.80,1551,684.31,1064,1070.00,1119.60
22,Kishoreganj,90,85.17,110.47,213,246.75,298.21,1040.05,1105,1208.09,1167,1286.80,1506.30
23,Madaripur,134,139.36,138.46,21,644.29,698.27,510.92,580,525.63,1095,1155.21,1223.90
