District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside &
Outside Garden
(M. Tons)",,
51,Rajshahi,79.84,82.00,126.00,0,0.00,0.25,292.96,296.00,62.75,292.96,296.00,63.00
52,Sirajganj,11,11.00,12.00,0,0.00,0.00,169,166.00,174.00,169,166.00,174.00
6,Rajshahi Division,223.84,242.00,287.00,0,2.42,0.25,1429.96,"1524.5
8","1468.7
5","1429.9
6","1527.0
0",1469.00
53,Dinajpur,56.84,48.00,48.00,0,0.00,0.00,334.39,333.00,325.00,334.39,333.00,325.00
54,Gaibandha,30.44,27.92,23.47,0,0.00,0.00,125,157.11,161.10,125,157.11,161.10
55,Kurigram,23.53,23.91,24.15,0,0.00,0.00,141.28,150.10,119.13,141.28,150.10,119.13
56,Lalmonirhat,161.88,162.53,163.41,0,0.00,0.00,325.63,345.91,348.61,325.63,345.91,348.61
57,Nilphamari,44.06,44.05,44.05,0,0.00,0.00,345.62,352.74,352.74,345.62,352.74,352.74
58,Panchagar,43.96,43.72,40.30,0,0.00,0.00,160.47,168.70,168.85,160.47,168.70,168.85
59,Rangpur,17.32,17.52,18.97,0,0.00,0.00,206.30,222.00,243.68,206.3,222.00,243.68
60,Thakurgaon,17.21,18.04,18.00,0,0.00,0.00,445.89,241.53,268.65,445.89,241.53,268.65
7,Rangpur Divison,395.24,385.69,380.35,0,0.00,0.00,2084.58,"1971.0
9","1987.7
6","2084.5
8","1971.0
9",1987.76
61,Habiganj,8.69,17.85,19.14,0,0.00,0.00,45.60,41.06,40.36,45.60,41.06,40.36
62,Moulvibazar,149.78,113.98,132.48,0,0.00,0.00,756.91,671.26,720.83,756.91,671.26,720.83
63,Sunamganj,83,83.00,84.00,0,0.00,0.00,177,179.00,186.00,177,179.00,186.00
64,Sylhet,218.42,219.58,221.71,51.11,53.79,58.99,232.01,299.38,298.72,283.12,353.17,357.71
8,Sylhet Division,459.89,434.41,457.33,51.11,53.79,58.99,1211.52,"1190.7
0","1245.9
1","1262.6
3","1244.4
9",1304.90
BANGLADESH,,"4198.8
0","3961.1
6",3832.83,88.53,93.38,99.39,"14218.8
6","14838.
19","14492.
49","14307.
39","14931.
57",14591.88
