District/ Division,,2021-22,,,,,2022-23,,,,
,,Area,,Yield Rate,,"Productio
n",Area,,Yield Rate,,"Producti
on"
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton)
1,Barguna,20117,8141,39.57,3.650,29714,19790,8009,34.27,3.161,25317
2,Barishal,130771,52944,44.04,4.061,214990,127353,51560,45.12,4.160,214468
3,Bhola,97801,39580,45.94,4.237,167712,98567,39890,45.49,4.196,167366
4,Jhallokati,26701,10806,36.47,3.364,36347,30597,12382,38.54,3.555,44013
5,Patuakhali,2684,1086,32.90,3.034,3296,13784,5578,25.98,2.397,13369
6,Pirojpur,56349,22804,45.20,4.169,95071,63570,25726,44.28,4.085,105080
1,"Barishal
Division",334423,135361,43.83,4.042,547130,353661,143146,43.15,3.979,569613
7,Bandarban,15428,6244,42.51,3.921,24483,15137,6126,42.38,3.909,23948
8,Brahmanbaria,273611,110729,42.69,3.937,435989,274737,111184,42.82,3.950,439170
9,Chandpur,152641,61773,47.81,4.410,272417,155580,62962,36.56,3.372,212331
10,Chattogram,156181,63206,43.40,4.003,253044,158763,64250,44.00,4.058,260741
11,Cumilla,371053,150224,45.43,4.189,629280,371353,150345,45.21,4.168,626711
12,Cox’s Bazar,128936,52180,45.27,4.175,217873,126053,51013,45.79,4.223,215446
13,Feni,72569,29368,37.42,3.451,101359,73082,29576,37.58,3.466,102511
14,Khagrachari,26931,10899,40.59,3.744,40803,26833,10859,41.74,3.850,41804
15,Lakshmipur,78854,31925,42.02,3.875,123692,82319,33328,37.30,3.439,114598
16,Noakhali,172539,69848,51.83,4.779,333812,176400,71412,53.67,4.948,353364
17,Rangamati,17963,7270,46.61,4.299,31254,18047,7304,46.10,4.252,31053
2,"Chattogram
Division",1466706,593664,45.01,4.151,2464006,1478304,598359,43.89,4.047,2421678
18,Dhaka,103505,41888,54.36,5.014,210018,106094,42936,49.83,4.596,197343
19,Faridpur,57157,23131,48.00,4.428,102413,56708,22949,49.13,4.532,104006
20,Gazipur,142459,57676,46.59,4.296,247769,145802,59029,46.82,4.317,254806
21,Gopalganj,189515,76727,54.74,5.047,387234,198871,80514,57.90,5.338,429796
22,Kishoreganj,404788,163815,44.40,4.095,670800,406293,164424,45.92,4.236,696448
23,Madaripur,79724,32264,49.12,4.531,146174,80360,32521,47.04,4.338,141088
24,Manikganj,116930,47321,50.62,4.669,220923,120546,48784,54.35,5.013,244577
25,Munshiganj,58671,23744,48.27,4.452,105703,57451,23250,45.08,4.158,96682
26,Narayanganj,48062,19451,43.22,3.986,77533,48899,19789,45.14,4.164,82400
27,Narsingdi,134037,54266,41.58,3.833,208025,132668,53712,41.40,3.817,205033
28,Rajbari,31865,12895,48.32,4.457,57469,31499,12747,49.51,4.567,58218
29,Shariatpur,65086,26340,48.06,4.433,116768,60794,24603,48.50,4.474,110066
30,Tangail,420016,169978,45.68,4.213,716202,417979,169154,47.22,4.356,736806
3,"Dhaka
Division",1851814,749495,47.26,4.359,3267032,1863962,754413,48.25,4.450,3357269
31,Bagerhat,144097,58315,49.88,4.601,268314,146660,59352,50.39,4.647,275830
32,Chuadanga,86311,34930,43.36,3.999,139693,91518,37037,44.93,4.144,153494
33,Jashore,388152,157083,48.38,4.462,700934,394256,159553,51.04,4.708,751125
34,Jhenaidah,210787,85339,49.53,4.567,389737,221650,89737,47.29,4.360,391242
35,Khulna,147880,59870,43.54,4.015,240362,147631,59770,45.10,4.158,248551
36,Kushtia,87914,35578,43.90,4.050,144077,88639,35872,45.82,4.226,151597
37,Magura,90027,36448,40.97,3.777,137675,88539,35846,44.31,4.085,146432
38,Meherpur,48832,19762,44.23,4.079,80617,45179,18284,43.54,4.016,73431
39,Narail,120152,48625,48.83,4.504,219006,122978,49769,48.67,4.490,223439
,,Area,,Yield Rate,,"Productio
n",Area,,Yield Rate,,"Producti
on"
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton)
40,Satkhira,193680,78381,40.42,3.728,292194,194355,78654,42.93,3.960,311434
4,"Khulna
Division",1517832,614332,46.11,4.253,2612610,"154140
5",623873,47.39,4.370,2726575
41,Jamalpur,319474,129289,44.01,4.059,524828,317126,128339,44.83,4.135,530669
42,Mymensingh,643575,260451,42.63,3.932,1024213,644109,260667,44.00,4.059,1057952
43,Netrokona,446323,180624,44.46,4.101,740659,446541,180713,46.12,4.254,768778
44,Sherpur,218822,88556,49.27,4.544,402440,224236,90747,51.32,4.733,429548
5,"Mymensingh
Division",1628194,658921,44.30,4.086,2692140,1632012,660466,45.75,4.220,2786947
45,Bogura,461170,186633,41.83,3.858,720121,462608,187215,44.77,4.129,773052
46,Joypurhat,168643,68249,41.77,3.853,262958,169542,68613,40.05,3.694,253454
47,Naogaon,465879,188539,48.54,4.477,844068,470519,190416,49.08,4.527,861924
48,Natore,148159,59959,46.45,4.285,256899,149421,60470,49.24,4.541,274616
49,"Chapai
Nawabganj",124889,50562,48.41,4.463,225685,127018,51424,50.08,4.617,237451
50,Pabna,134567,54458,44.94,4.145,225720,136566,55268,46.11,4.253,235041
51,Rajshahi,162610,65807,44.57,4.111,270507,162350,65702,49.13,4.532,297737
52,Sirajganj,347326,140561,48.62,4.485,630375,347586,140666,48.69,4.491,631759
6,"Rajshahi
Division",2013243,814769,45.73,4.218,3436333,2025610,819774,47.15,4.349,3565036
53,Dinajpur,425926,172370,44.20,4.076,702653,426815,172730,45.63,4.209,726949
54,Gaibandha,314754,127379,43.55,4.017,511704,309341,125189,45.49,4.196,525296
55,Kurigram,277400,112308,47.69,4.397,493847,278828,112886,46.44,4.281,483310
56,Lalmonirhat,116608,47191,45.42,4.189,197689,118624,48006,46.26,4.266,204819
57,Nilphamari,201724,81637,46.95,4.331,353538,201791,81664,47.94,4.422,361116
58,Panchagar,78848,31909,43.51,4.013,128067,81232,32874,47.02,4.337,142578
59,Rangpur,321878,130262,49.61,4.576,596092,324278,131234,49.20,4.538,595565
60,Thakurgaon,151556,61334,42.47,3.918,240282,152133,61567,43.87,4.046,249129
7,"Rangpur
Divison",1888694,764389,45.73,4.218,3223872,"189304
2",766149,46.54,4.293,3288761
61,Habiganj,301859,122161,40.97,3.779,461591,302203,122300,44.48,4.103,501786
62,Moulvibazar,140959,57045,43.50,4.012,228871,147640,59749,52.50,4.842,289317
63,Sunamganj,549588,222415,47.51,4.382,974600,548050,221793,48.28,4.453,987656
64,Sylhet,202650,82011,36.72,3.387,277760,203285,82268,35.98,3.318,272987
8,"Sylhet
Division",1195056,483633,43.55,4.017,1942823,1201178,486110,45.76,4.221,2051746
,Bangladesh,11895962,4814563,45.46,4.193,20185945,"1198917
4",4852290,46.41,4.280,20767626
