District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
,,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23
1,Barguna,373,344,196.36,0,0,0.00,258,199,189.00,258,199,189.00
2,Barishal,405,404,448.00,0,0,0.00,1383,1583,1629.00,1383,1583,1629.00
3,Bhola,273.98,275.94,99.56,0,0,0.00,432,471.10,546.40,432,471.10,546.40
4,Jhallokati,336.45,339,344.00,0,0,0.00,1487,1430,1349.00,1487,1430,1349.00
5,Patuakhali,219.83,116.30,66.26,0,0,0.00,224.35,229,412.60,224.35,229,412.60
6,Pirojpur,251.59,341.99,189.89,0,0,0.00,840.70,835.22,723.00,840.70,835.22,723.00
1,Barishal Division,1859.85,1821.23,1344.07,0,0,0.00,4625.05,4747.32,4849.00,"4625.0
5",4747.32,4849.00
7,Bandarban,989,991,991.10,549,550.89,555.57,311,309.11,310.69,860,860,866.26
8,Brahmanbaria,178.34,180,183.15,313.79,320.37,318.86,873.81,897.63,892.78,"1187.6
0",1218,1211.64
9,Chandpur,22.89,43,33.22,0,0,0.00,438.11,315,322.78,438.11,315,322.78
10,Chattogram,556.36,548,239.16,1584.32,1230.69,281.02,4189.88,4562.31,967.98,"5774.2
0",5793,1249.00
11,Cumilla,316.29,295,295.40,213.48,206.12,204.22,1902.22,1834.88,1837.19,"2115.7
0",2041,2041.41
12,Cox’s Bazar,157.54,163,163.29,692,614.95,620.59,1606,1683.05,1676.34,2298,2298,2296.93
13,Feni,59.63,62,62.43,5.57,5.65,6.78,151.56,154.35,153.72,157.13,160,160.50
14,Khagrachari,494.19,515,522.86,170,345.47,501.28,868.10,649.53,421.84,"1038.1
0",995.00,923.12
15,Lakshmipur,476,478,69.42,0,0,0.00,552,573,581.23,552,573,581.23
16,Noakhali,45.10,48,50.42,0,0,0.00,293.37,329,402.35,293.37,329,402.35
17,Rangamati,380.55,371,409.43,406.36,381.82,363.56,2404.74,2345.18,2206.97,"2811.1
0",2727,2570.53
2,"Chattogram
Division",3675.89,3694,3019.88,3934.52,3655.96,2851.88,13590.79,"13653.0
4",9773.87,"17525.
31",17309,12625.75
18,Dhaka,70.39,75,61.45,0,0,0.00,1215.53,1267,961.70,"1215.5
3",1267,961.70
19,Faridpur,100,118,177.00,4.29,0,0.00,635.71,718,692.83,640,718,692.83
20,Gazipur,191.18,202,213.00,192.50,194.12,192.60,655.20,680.58,699.70,847.70,874.70,892.30
21,Gopalganj,64.67,65.86,66.79,0,0,0.00,689.74,711.30,744.94,689.74,711.30,744.94
22,Kishoreganj,150.7,151,129.15,149.43,127.25,0.00,1465.72,1475.75,996.00,"1615.1
5",1603,996.00
23,Madaripur,63.77,68,68.48,0,0,0.00,479.03,526,520.47,479.03,526,520.47
24,Manikganj,106.16,107,109.20,20.02,0,0.00,689.91,721,459.68,709.93,721,459.68
25,Munshiganj,25.77,25.81,25.90,0,0,0.00,158.30,161.95,197.70,158.30,161.95,197.70
26,Narayanganj,14.81,13.11,11.94,25.16,19.9,1.36,115.53,91.46,32.62,140.69,111.36,33.98
27,Narsingdi,80.17,81.88,102.27,0,0,0.00,891.27,902.95,846.16,891.27,902.95,846.16
28,Rajbari,373.08,375,396.00,96.54,94.96,68.94,1227.08,1232.04,918.27,"1323.6
2",1327,987.21
29,Shariatpur,292.49,129.15,129.15,0,0,0.00,1059.70,996,996.00,"1059.7
0",996.00,996.00
30,Tangail,155.59,157,159.98,210.84,229.50,268.47,1690.74,1898.20,1763.43,"1901.5
8",2127.7,2031.90
3,Dhaka Division,1688.78,1568.81,1650.31,698.78,665.73,531.37,10973.46,"11382.2
3",9829.50,"11672.
24","12047.9
6",10360.87
31,Bagerhat,84.41,107.99,109.55,72.61,0,0.00,650.39,681.12,894.07,723,681.12,894.07
32,Chuadanga,51.66,51.23,50.57,57.34,58.64,58.50,143.66,157.49,156.70,201,216.13,215.20
33,Jashore,392.82,394.72,410.83,0,0,0.00,2320,2382.30,2494.40,2320,2382.3,2494.40
34,Jhenaidah,114.92,126.36,126.49,0,0,0.00,1444,1503.40,1530.40,1444,1503.4,1530.40
35,Khulna,221.49,222.61,234.30,0,0,0.00,1355,1110.20,1216.10,1355,1110.2,1216.10
36,Kushtia,91,93,94.00,396,405.37,447.99,1349,1376.63,1403.01,1745,1782,1851.00
37,Magura,136.65,104,89.20,527.92,0,0.00,1087.08,1088.20,1073.60,1615,1088.2,1073.60
38,Meherpur,117.08,116.57,117.57,0,0,0.00,703,703.51,742.83,703,703.51,742.83
,,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23
39,Narail,227.15,228,228.80,0,0,0.00,1316,1319,1327.60,1316,1319,1327.60
40,Satkhira,189.29,201.31,207.42,75.18,0,0.00,737.82,646.21,659.54,813,646.21,659.54
4,Khulna Division,1626.47,1645.79,1668.73,1129.05,464.01,506.49,11105.95,"10968.0
6",11498.25,12235,"11432.0
7",12004.74
41,Jamalpur,189,188,169.00,14.66,14.9,14.98,1166.34,1181.10,1245.02,1181,1196,1260.00
42,Mymensingh,1257,1206,1199.00,224.12,172.45,201.33,3773.88,3217.55,3327.67,3998,3390,3529.00
43,Netrokona,242,245,249.00,0,0,0.00,1495,1589,1592.00,1495,1589,1592.00
44,Sherpur,115,115,116.00,0,0,0.00,539,542,536.00,539,542,536.00
5,"Mymensingh
Division",1803,1754,1733.00,238.78,187.35,216.31,6974.22,6529.65,6700.69,7213,6717,6917.00
45,Bogura,190.89,203,204.39,0,0,0.00,1829.32,2530,2836.62,"1829.3
2",2530,2836.62
46,Joypurhat,25.95,26,27.74,0,0,0.00,219.29,225,190.72,219.29,225,190.72
47,Naogaon,182.38,266,179.47,28.34,34.93,37.64,608.66,615.07,984.36,637,650,1022.00
48,Natore,229.11,236,258.70,18.48,14.19,0.00,3405.67,1993.81,1897.04,"3424.1
5",2008,1897.04
49,Chapai Nawabganj,109.80,120,124.00,0,0,0.00,398.72,413,436.00,398.72,413,436.00
50,Pabna,66.87,67,77.99,68.06,72.07,75.20,538.73,561.93,584.69,606.79,634,659.89
51,Rajshahi,256.49,257,242.85,251.22,255.21,0.00,1101.48,1099.79,1206.21,1352.7,1355,1206.21
