Name of Crops,2020-21,,2021-22,,2022-23,
,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
Ripe Banana,122192.19,826151.76,122585.45,826179.62,122603.38,840362.67
Mango,286823,1214597,299054,1207446,306274.32,1482937.04
Pineapple,34246,208141.88,33581.87,206164.51,32463.36,196735.74
Jackfruit,44630,1097001,69161.00,1049890.00,75842.04,1062302.28
Ripe Papaya,8414,125758,12299.79,147350.66,17981.81,145316.82
Water-Melon,40860.73,345955.44,57865.05,550367.53,58757.44,555838.14
Strawberry,41.85,139.09,65.83,167.66,84.74,210.68
Litchi,17279.99,87183.80,20388.53,92958.41,21759.23,104708.34
Guava,58618,243957,44742,244857,45386.94,256105.56
Ber (Kul),38652,107958,40436.62,94877.40,17357.80,96844.29
Orange,1920,3739.31,2188.14,3550.68,2439.45,3616.43
Lime & Lemon,162242.69,81604.46,30248.22,95411.89,33087.57,99930.87
Pomelo (Jambura/Batavilabu),13969.98,78665.82,13982.12,76364.63,12800.07,71785.28
Melon (Banggi),10097.15,47420.17,10264.00,49572.78,10422.49,50812.73
Tamarind (Tetul),6279.99,9552.60,6377.03,10238.79,5872.06,10844.28
Star apple (Jamrul),6649.34,12767.32,6147.47,13363.18,5952.58,13110.41
Black berry,13751.01,56928.21,13357.29,54135.88,12626.15,53343.93
Atha,1533.50,5470.53,1525.03,5149.13,1550.62,5034.93
Dewya,74,1629.50,74.21,1632.23,69.72,1464.68
Lotkon,407.45,2409.60,456.71,2657.06,470.25,2746.09
Carambola apple (Kamranga),4198.80,14307.39,3961.16,14931.57,3832.83,14591.88
Woodapple(kathbell),17995.18,30009,17975.34,29305.75,18335.92,30441.23
Geen Coconut,62576,442708,61093.84,458855.24,55360.28,457088.21
Olive (Jalpai),5205.25,18848.63,5101.22,18496.40,4794.43,18825.97
Hog plum (Amra),11417,42527,11737.00,43801.12,12261.25,43880.78
Amloki,1627.17,2820.42,1638.84,2609.34,1456.4,2434.90
Chalta,5106.77,10531.47,3376.84,10679.98,3186.75,10210.44
Dragon,349.69,1138.70,717.53,3153.84,1135.40,5959.29
Dalim,670.64,1411.39,790.84,1442.64,815.94,1548.79
Kharamcha,27,166.65,60.19,155.12,64.38,159.80
Safeda,1683,6573.45,1635.52,6468.34,1661.43,6808.56
Sharifa,840.42,2229.42,810.90,1663.03,878.20,1768.63
Malta,13256,6501.71,4456.81,10269.14,4184.23,8886.00
Water Fruit,405.80,1899.35,453.20,2037.03,475.34,2304.88
Other Fruits,-,-,-,-,-,-
Other citrus Fruits,-,-,-,-,-,-
Total,994041.6,5138703,898596,5336203.58,892244.8,5658854
