District/ Division,,2021-22,,,,,2022-23,,,,
,,Area,,Yield Rate,,"Producti
on",Area,,Yield Rate,,"Productio
n"
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M. Ton)",(M. Ton)
1,Barguna,114651,46399,25.24,2.328,108018,119982,48556,25.18,2.323,112771
2,Barishal,12680,5132,23.98,2.212,11350,16344,6614,26.53,2.447,16185
3,Bhola,165612,67022,25.94,2.393,160357,170214,68885,29.99,2.766,190546
4,Jhallokati,30187,12217,28.70,2.647,32339,24160,9777,31.03,2.862,27984
5,Patuakhali,51736,20937,32.58,3.005,62917,36336,14705,24.83,2.290,33678
6,Pirojpur,24489,9911,26.05,2.403,23813,27953,11312,27.49,2.536,28683
1,"Barishal
Division",399355,161617,26.75,2.468,398794,394989,159850,27.80,2.564,409847
7,Bandarban,8464,3425,26.48,2.442,8366,8500,3440,30.03,2.770,9528
8,Brahmanbaria,28893,11693,28.04,2.586,30241,24287,9829,33.20,3.062,30098
9,Chandpur,23154,9370,29.32,2.704,25341,25185,10192,26.03,2.401,24471
10,Chattogram,65838,26644,32.42,2.990,79673,69275,28035,35.89,3.310,92807
11,Cumilla,180083,72879,28.68,2.645,192788,181350,73391,30.88,2.848,209036
12,Cox’s Bazar,4724,1912,31.77,2.930,5602,5819,2355,37.62,3.470,8171
13,Feni,20396,8254,27.80,2.564,21165,19976,8084,27.22,2.511,20297
14,Khagrachari,4089,1655,32.60,3.007,4976,4009,1622,31.77,2.930,4754
15,Lakshmipur,62857,25438,26.02,2.400,61050,49665,20099,28.60,2.638,53020
16,Noakhali,80547,32597,28.65,2.643,86139,81027,32791,29.08,2.682,87953
17,Rangamati,1469,595,27.28,2.516,1496,1743,705,32.12,2.963,2089
2,"Chattogram
Division",480514,194461,28.82,2.658,516838,470835,190544,30.85,2.846,542224
18,Dhaka,1567,634,29.16,2.690,1705,1578,639,30.29,2.794,1785
19,Faridpur,9547,3864,21.75,2.006,7751,6623,2680,31.35,2.892,7750
20,Gazipur,3805,1540,34.10,3.145,4843,3485,1410,35.19,3.246,4578
21,Gopalganj,4417,1788,30.09,2.775,4961,3592,1454,31.11,2.869,4171
22,Kishoreganj,63084,25530,28.50,2.629,67110,58418,23641,30.10,2.776,65636
23,Madaripur,2184,884,22.83,2.106,1861,2272,919,24.44,2.254,2073
24,Manikganj,6373,2579,27.84,2.568,6623,6252,2530,30.25,2.790,7059
25,Munshiganj,407,165,29.01,2.676,441,435,176,25.90,2.389,420
26,Narayanganj,4416,1787,22.34,2.061,3682,4662,1887,22.90,2.112,3985
27,Narsingdi,2562,1037,28.34,2.614,2710,2760,1117,28.77,2.654,2964
28,Rajbari,3930,1590,21.74,2.005,3189,4203,1701,27.84,2.568,4368
29,Shariatpur,21200,8580,27.76,2.560,21968,18850,7628,28.20,2.601,19842
30,Tangail,2592,1049,23.81,2.196,2304,3553,1438,26.88,2.479,3565
3,"Dhaka
Division",126083,51025,27.44,2.531,129148,116682,47221,29.43,2.715,128195
31,Bagerhat,11662,4719,25.89,2.388,11270,8578,3471,27.56,2.542,8825
32,Chuadanga,97235,39350,30.93,2.853,112261,94846,38384,30.36,2.800,107485
33,Jashore,37259,15079,34.81,3.211,48413,36404,14732,35.20,3.247,47832
