District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden
(M. Tons)",,
,,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23
1,Barguna,27,38,37.80,3,3.12,3.60,1,0.82,1.05,4,3.94,4.65
2,Barishal,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
3,Bhola,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
4,Jhallokati,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
5,Patuakhali,0,0,0.34,0,0,0.00,0,0,1.09,0,0,1.09
6,Pirojpur,0,0,2.08,0,0,0.00,0,0,3.98,0,0,3.98
1,Barishal Division,27,38,40.22,3,3.12,3.60,1,0.82,6.12,4,3.94,9.72
7,Bandarban,18.30,20.90,20.90,9.77,10.33,10.83,0.03,0.05,0.00,9.80,10.38,10.83
8,Brahmanbaria,25.99,20.99,12.97,2.76,15.31,28.06,0,0,0.00,2.76,15.31,28.06
9,Chandpur,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
10,Chattogram,0.61,5.46,7.50,2.49,15.61,22.31,0.01,0.05,0.07,2.50,15.66,22.38
11,Cumilla,0,89.03,99.51,0,30.66,25.69,0,7.56,12.95,0,38.22,38.64
12,Cox’s Bazar,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
13,Feni,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
14,Khagrachari,12.80,19.70,32.41,10.58,19.03,25.37,0.59,1.63,1.57,11.17,20.66,26.94
15,Lakshmipur,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
16,Noakhali,0,0,2.62,0,0,21.18,0,0,0.00,0,0,21.18
17,Rangamati,11.85,23.06,24.10,17.46,31.15,33.01,3.02,4.14,5.11,20.48,35.29,38.12
2,"Chattogram
Division",69.55,179.14,200.01,43.06,122.09,166.45,3.65,13.43,19.70,46.71,135.52,186.15
18,Dhaka,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
19,Faridpur,0,0,0.70,0,0,6.95,0,0,0.24,0,0,7.19
20,Gazipur,4.86,9,10.00,4.37,6.03,7.30,4.58,4.97,4.70,8.95,11,12.00
21,Gopalganj,0,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
22,Kishoreganj,0,10.13,14.37,0,5.48,5.79,0,1.79,1.82,0,7.27,7.61
