District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden
(M. Tons)",,
,,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23
1,Barguna,0,0.00,0.00,0,0.00,0.00,13,0.00,0.00,13,0.00,0.00
2,Barishal,14,0.00,3.09,0,0.00,0.00,0,0.00,1.00,0,0.00,1.00
3,Bhola,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
4,Jhallokati,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
5,Patuakhali,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
6,Pirojpur,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
1,Barishal Division,14,0.00,3.09,0,0.00,0.00,13,0.00,1.00,13,0.00,1.00
7,Bandarban,434,44.00,43.50,0,0.00,0.00,26,26.00,26.20,26,26.00,26.20
8,Brahmanbaria,45,55.00,55.00,0,0.00,0.00,254,284.00,313.30,254,284.00,313.30
9,Chandpur,3,4.00,3.90,0,0.00,0.00,7,8.00,8.10,7,8.00,8.10
10,Chattogram,32,43.00,33.50,7,7.24,0.00,117,115.76,180.50,124,123.00,180.50
11,Cumilla,51,51.00,51.00,0,0.00,0.00,82,82.00,79.00,82,82.00,79.00
12,Cox’s Bazar,70,14.00,15.90,0,0.00,0.00,25,50.00,54.50,25,50.00,54.50
13,Feni,12,12.00,12.30,7,7.08,6.30,23,22.92,57.79,30,30.00,64.10
14,Khagrachari,18,19.00,19.10,0,0.00,0.00,93,93.00,94.50,93,93.00,94.50
15,Lakshmipur,8,17.00,16.80,0,0.00,0.00,21,22.00,21.70,21,22.00,21.70
16,Noakhali,26,27.00,26.70,0,0.00,0.00,68,76.00,81.40,68,76.00,81.40
17,Rangamati,784,765.00,758.70,0,0.00,0.00,670,636.00,617.80,670,636.00,617.80
2,"Chattogram
Division",1483,1051.00,1036.40,14,14.32,6.30,1386,1415.68,1534.79,1400,1430.00,1541.09
18,Dhaka,20,19.89,48.57,0,0.00,0.00,184,154.75,163.67,184,154.75,163.67
19,Faridpur,16,212.00,218.00,0,0.00,0.00,17,266.01,290.50,17,266.01,290.50
20,Gazipur,57,59.00,60.00,0,0.00,0.00,223,228.70,235.80,223,228.70,235.80
21,Gopalganj,48,61.67,54.04,0,0.00,0.00,205,193.96,216.38,205,193.96,216.38
22,Kishoreganj,76,81.03,81.50,0,0.00,0.00,189,206.90,212.70,189,206.90,212.70
23,Madaripur,0,0.85,1.18,0,0.00,0.00,0,3.02,6.16,0,3.02,6.16
24,Manikganj,49,47.51,48.91,0,0.00,0.00,76,83.41,88.66,76,83.41,88.66
25,Munshiganj,5,4.80,4.85,0,0.00,0.00,12,13.03,12.54,12,13.03,12.54
26,Narayanganj,9,8.62,8.57,0,0.00,0.00,66,67.12,59.34,66,67.12,59.34
27,Narsingdi,52,38.92,39.14,0,0.00,0.00,255,252.64,249.75,255,252.64,249.75
28,Rajbari,102,99.99,101.06,0,0.00,0.00,550,537.59,547.93,550,537.59,547.93
29,Shariatpur,23,24.49,26.38,0,0.00,0.00,144,130.10,146.00,144,130.10,146.00
30,Tangail,47,50.08,50.59,0,0.00,0.00,391,416.69,459.90,391,416.69,459.90
3,Dhaka Division,504,708.85,742.79,0,0.00,0.00,2312,2553.92,2689.33,2312,2553.92,2689.33
31,Bagerhat,47,46.65,40.13,0,0.00,0.00,293,307.59,323.68,293,307.59,323.68
32,Chuadanga,42,42.43,42.59,1,1.30,1.25,269,283.87,275.51,270,285.17,276.76
33,Jashore,178,181.35,193.01,0,0.00,0.00,856,862.00,953.45,856,862.00,953.45
34,Jhenaidah,105,118.86,120.80,0,0.00,0.00,667,663.73,735.74,667,663.73,735.74
35,Khulna,87,110.79,108.79,0,0.00,0.00,829,687.31,696.71,829,687.31,696.71
36,Kushtia,263,281.00,614.00,0,0.00,0.00,3411,3447.00,3478.00,3411,"3447.0
0","3478.0
0"
37,Magura,87,91.53,94.00,0,0.00,0.00,829,858.85,934.00,829,858.85,934.00
38,Meherpur,42,43.91,47.26,0,0.00,0.00,343,323.84,343.72,343,323.84,343.72
39,Narail,106,112.58,113.00,0,0.00,0.00,559,559.20,562.50,559,559.20,562.50
,,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23
40,Satkhira,366,365.35,374.77,0,0.00,0.00,496,517.96,546.05,496,517.96,546.05
4,Khulna Division,1323,"1394.4
5",1748.35,1,1.30,1.25,8552,8511.35,8849.36,8553,8512.65,8850.61
41,Jamalpur,386,394.00,395.00,0,0.00,0.00,597,752.00,753.00,597,752.00,753.00
42,Mymensingh,838,836.00,839.00,0,0.00,0.00,1060,1276.00,1301.00,1060,"1276.0
0","1301.0
0"
43,Netrokona,62,110.00,70.00,0,0.00,0.00,194,398.00,198.00,194,398.00,198.00
44,Sherpur,194,193.00,194.00,0,0.00,0.00,274,287.00,284.00,274,287.00,284.00
5,"Mymensingh
Division",1480,"1533.0
0",1498.00,0,0.00,0.00,2125,2713.00,2536.00,2125,2713.00,2536.00
45,Bogura,619,623.00,625.55,0,0.00,0.00,1977,2151.00,2280.18,1977,"2151.0
0","2280.1
8"
46,Joypurhat,64,98.00,84.53,0,0.00,0.00,500,480.00,514.79,500,480.00,514.79
47,Naogaon,169,175.00,191.75,0,0.00,0.00,2074,1993.00,2220.10,2074,"1993.0
0","2220.1
0"
48,Natore,173,181.00,187.83,0,0.00,0.00,1008,1145.00,1226.54,1008,"1145.0
0","1226.5
4"
49,Chapai Nawabganj,126,128.00,133.48,0,0.00,0.00,645,705.00,714.52,645,705.00,714.52
50,Pabna,194,110.00,111.54,0,0.00,34.96,1022,1059.00,1154.97,1022,"1059.0
0","1189.9
3"
51,Rajshahi,473,478.00,487.49,0,0.00,0.00,2468,2454.00,2576.42,2468,"2454.0
0","2576.4
2"
52,Sirajganj,16,18.00,17.93,0,0.00,0.00,184,191.00,201.55,184,191.00,201.55
6,Rajshahi Division,1834,1811.00,1840.10,0,0.00,34.96,9878,10178.00,10889.07,9878,10178.00,10924.03
53,Dinajpur,123,132.00,126.00,0,0.00,0.00,711,749.00,682.00,711,749.00,682.00
54,Gaibandha,202,153.89,155.21,0,0.00,0.00,831,794.95,976.43,831,794.95,976.43
55,Kurigram,35,40.57,40.17,0,0.00,0.00,366,436.51,342.84,366,436.51,342.84
56,Lalmonirhat,80,76.96,77.57,0,0.00,0.00,304,287.28,291.69,304,287.28,291.69
57,Nilphamari,74,75.12,74.49,0,0.00,0.00,450,474.98,514.62,450,474.98,514.62
58,Panchagar,57,58.62,59.38,0,0.00,0.00,410,466.00,468.68,410,466.00,468.68
59,Rangpur,47,47.00,47.11,0,0.00,0.00,812,830.23,859.00,812,830.23,859.00
60,Thakurgaon,17,21.65,21.66,0,0.00,0.00,175,221.11,212.10,175,221.11,212.10
7,Rangpur Divison,635,605.81,601.59,0,0.00,0.00,4059,4260.06,4347.36,4059,4260.06,4347.36
61,Habiganj,25,27.63,29.09,0,0.00,0.00,64,54.53,57.11,64,54.53,57.11
62,Moulvibazar,7,3.97,3.92,0,0.00,0.00,27,23.17,23.59,27,23.17,23.59
63,Sunamganj,82,83.00,84.00,0,0.00,0.00,10,135.00,135.00,132,135.00,135.00
64,Sylhet,226,225.49,215.00,0,0.00,0.00,21,19.86,42.32,21,19.86,42.32
8,Sylhet Division,340,340.09,332.01,0,0.00,0.00,122,232.56,258.02,244,232.56,258.02
BANGLADESH,,7613,7444.20,7802.33,15,15.62,42.51,28447,29864.57,31104.93,28584,29880.19,31147.44
