District/ Division,,2021-22,,,,,2022-23,,,,
,,Area,,Yield Rate,,"Product
ion",Area,,Yield Rate,,"Productio
n"
,,Acres,Hectors,"Acres
(Maund
)","Hectors
(M.
Ton)","(M.
Ton)",Acres,Hectors,"Acres
(Maund)","Hector
s
(M.
Ton)",(M. Ton)
1,Barguna,19,50341,26.44,2.438,122719,127270,51526,30.61,2.822,145417
2,Barishal,122500,49595,25.55,2.356,116830,118746,48075,26.21,2.417,116175
3,Bhola,358890,145300,33.26,3.067,445565,353190,142992,32.23,2.972,424909
4,Jhalokathi,27242,11029,26.75,2.466,27201,28946,11719,29.97,2.763,32382
5,Patuakhali,250349,101356,30.06,2.771,280907,256036,103658,29.01,2.675,277253
6,Pirojpur,22899,9271,28.89,2.664,24694,23470,9502,29.22,2.694,25599
1,"Barishal
Division",906223,366892,30.09,2.774,1017915,907658,367473,30.16,2.780,1021735
7,Bandarban,23916,9683,30.27,2.791,27023,25004,10123,31.11,2.868,29036
8,Brahmanbaria,114160,46219,33.2,3.061,141475,120995,48986,33.11,3.053,149539
9,Chandpur,60502,24485,25.1,2.315,56686,57022,23076,25.95,2.394,55234
10,Chattogram,379392,153600,28.35,2.614,401484,376788,152546,29.35,2.706,412793
11,Cumilla,270165,109379,28.30,2.609,285393,276881,112098,29.01,2.675,299825
12,Cox’s Bazar,177288,71776,31.01,2.859,205214,174942,70827,32.24,2.972,210531
13,Feni,147057,59537,33.89,3.125,186030,147318,59643,34.42,3.173,189275
14,Khagrachari,63792,25827,33.98,3.133,80912,63976,25901,36.53,3.368,87236
15,Laxmipur,164693,66677,30.75,2.835,189037,171951,69616,30.25,2.789,194159
16,Noakhali,298785,120966,31.75,2.927,354104,312971,126709,32.38,2.985,378276
17,Rangamati,23167,9379,32.15,2.964,27802,23557,9537,31.86,2.937,28015
2,"Chattogram
Division",1722917,697528,30.40,2.803,1955161,1751404,709061,31.11,2.868,2033918
18,Dhaka,12100,4899,27.11,2.500,12245,6768,2740,28.56,2.633,7215
19,Faridpur,162605,65832,33.54,3.092,203575,165500,67004,34.58,3.188,213624
20,Gazipur,96138,38922,34.97,3.224,125493,96717,39157,28.73,2.649,103721
21,Gopalgonj,24338,9853,29.65,2.734,26936,26585,10763,26.35,2.429,26148
22,Kishoregonj,180661,73142,30.36,2.799,204736,185524,75111,32.48,2.995,224928
23,Madaripur,17801,7207,30.11,2.776,20007,24253,9819,33.31,3.071,30156
24,Manikgonj,20665,8366,32.55,3.001,25108,23636,9569,31.51,2.905,27800
25,Munsigonj,3843,1555,26.65,2.458,3823,3914,1584,27.75,2.560,4054
26,Narayangonj,5811,2353,27.15,2.503,5889,4275,1731,29.9,2.757,4771
27,Narsingdi,79892,32345,32.22,2.971,96085,80934,32767,31.23,2.879,94347
28,Rajbari,98968,40068,25.73,2.372,95052,107250,43421,29.4,2.711,117699
29,Shariatpur,4710,1907,28.32,2.611,4979,5436,2201,28.20,2.600,5722
30,Tangail,173542,70260,29.09,2.682,188441,191814,77657,30.4,2.803,217661
3,"Dhaka
Division",881074,356710,30.78,2.838,1012369,922606,373524,31.30,2.886,1077847
31,Bagerhat,91977,37238,30.14,2.779,103478,81473,32985,30.63,2.824,93151
32,Chuadanga,82851,33543,29.59,2.728,91510,82299,33319,32.18,2.967,98857
33,Jashore,336432,136207,31.15,2.872,391185,344093,139309,31.5,2.904,404589
34,Jhenaidah,253361,102575,36.96,3.408,349542,255067,103266,36.35,3.351,346087.5
35,Khulna,173572,70272,29.56,2.725,191519,178927,72440,31.23,2.879,208581
36,Kushtia,215832,87381,32.87,3.031,264815,214492,86839,33.7,3.107,269816
37,Magura,140339,56817,28.60,2.637,149821,149545,60545,29.99,2.765,167408
38,Meherpur,63909,25874,33.22,3.063,79248,63448,25687,33.19,3.060,78605
,,Area,,Yield Rate,,"Product
ion",Area,,Yield Rate,,"Productio
n"
,,Acres,Hectors,"Acres
(Maund
)","Hectors
(M.
Ton)","(M.
Ton)",Acres,Hectors,"Acres
(Maund)","Hector
s
(M.
Ton)",(M. Ton)
39,Narail,82964,33589,33.32,3.072,103186,84555,34233,32.46,2.993,102451
40,Satkhira,214075,86670,33.12,3.054,264657,211700,85709,33.69,3.106,266225
4,"Khulna
Division",1655312,670167,32.19,2.968,1988962,1665599,674332,32.74,3.019,2035771
41,Jamalpur,234085,94733,27.55,2.541,240726,256638,103860,28.25,2.606,270624
42,Mymensingh,560011,226633,29.81,2.750,623140,556238,225106,30.48,2.811,632853
43,Netrokona,280083,113348,31.30,2.887,327234,289642,117217,31.62,2.916,341862
44,Sherpur,164940,66750,29.32,2.704,180517,166701,67463,30.81,2.842,191715
5,"Mymensingh
Division",1239119,501465,29.65,2.735,1371617,1269219,513646,30.33,2.798,1437055
45,Bogura,433576,175466,33.83,3.120,547513,438492,177455,33.65,3.104,550775
46,Joypurhat,167389,67741,31.39,2.895,196131,157045,63555,32.17,2.967,188583
47,Naogaon,414229,167704,31.88,2.939,492930,429024,173694,31.21,2.878,499807
48,Natore,172351,69778,33.68,3.105,216677,179029,72481,33.04,3.046,220796
49,"Chapai
Nawabganj",136798,55361,31.31,2.888,159879,127098,51436,35.44,3.269,168136
50,Pabna,133094,53862,30.81,2.842,153066,134487,54426,30.71,2.833,154166
51,Rajshahi,182452,73837,35.22,3.249,239864,191708,77583,35.64,3.287,255038
52,Sirajganj,159156,64435,31.99,2.949,190048,169725,68715,33.61,3.099,212932
6,"Rajshahi
Division",1799044,728185,32.70,3.016,2196108,1826608,739346,33.00,3.044,2250233
53,Dinajpur,627114,253790,30.52,2.815,714428,629303,254675,30.75,2.836,722324
54,Gaibandha,292858,118518,27.31,2.519,298542,296434,119965,28.15,2.596,311483
55,Kurigram,259641,105075,31.83,2.936,308487,271892,110033,32.75,3.021,332380
56,Lalmonirhat,212640,86089,30.90,2.849,245262,211022,85434,33.80,3.116,266239
57,Nilphamari,276033,111709,29.58,2.728,304780,278440,112683,30.31,2.796,315025
58,Panchagarh,245235,99245,33.51,3.091,306750,245607,99396,34.44,3.177,315741
59,Rangpur,404551,163720,30.66,2.828,462991,406463,164493,30.30,2.795,459717
60,Thakurgaon,338400,137004,31.17,2.874,393726,338160,136907,31.65,2.918,399506
