District/ Division,,2021-22,,,,,2022-23,,,,
,,Area,,Yield Rate,,"Productio
n",Area,,Yield Rate,,"Producti
on"
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund
)","Hectors
(M.
Ton)",(M. Ton)
1,Barguna,115929,46916,25.14,2.319,108783,121081,49001,25.10,2.315,113461
2,Barishal,29100,11777,17.78,1.640,19318,30186,12216,21.93,2.023,24711
3,Bhola,205166,83030,23.61,2.178,180850,202984,82146,27.67,2.552,209628
4,Jhallokati,32944,13332,27.76,2.561,34140,27012,10932,29.61,2.731,29857
5,Patuakhali,73516,29752,26.89,2.480,73795,47602,19264,22.43,2.069,39859
6,Pirojpur,30645,12402,23.84,2.199,27266,33206,13438,25.71,2.371,31864
1,"Barishal
Division",487300,197208,24.42,2.252,444153,462071,186998,26.05,2.403,449380
7,Bandarban,30461,12327,20.51,1.892,23318,29969,12128,21.84,2.015,24434
8,Brahmanbaria,28942,11713,28.02,2.584,30267,24301,9834,33.19,3.061,30106
9,Chandpur,23876,9663,28.91,2.666,25762,25930,10494,25.73,2.373,24902
10,Chattogram,82397,33345,28.88,2.663,88815,89909,36386,31.37,2.894,105284
11,Cumilla,183224,74150,28.38,2.618,194110,184517,74673,30.58,2.821,210647
12,Cox’s Bazar,4976,2014,30.79,2.840,5718,5989,2424,36.94,3.407,8257
13,Feni,26305,10645,24.68,2.276,24231,25886,10476,24.09,2.222,23277
14,Khagrachari,8029,3249,23.17,2.137,6944,7880,3189,23.08,2.129,6789
15,Lakshmipur,65347,26446,25.55,2.357,62330,51486,20836,28.12,2.594,54045
16,Noakhali,89169,36086,27.21,2.510,90574,89402,36180,27.76,2.561,92642
17,Rangamati,13561,5488,15.80,1.457,7996,13630,5516,18.24,1.682,9277
2,"Chattogram
Division",556287,225126,26.97,2.488,560065,548898,222136,28.78,2.655,589661
18,Dhaka,1771,717,27.85,2.569,1842,1785,723,28.85,2.661,1923
19,Faridpur,20190,8171,15.94,1.470,12010,15024,6080,21.53,1.985,12072
20,Gazipur,3805,1540,34.10,3.145,4843,3485,1410,35.19,3.246,4578
21,Gopalganj,6611,2675,24.37,2.247,6013,5243,2122,25.60,2.361,5009
22,Kishoreganj,63128,25548,28.49,2.628,67140,58507,23677,30.08,2.774,65691
23,Madaripur,3111,1259,19.97,1.842,2319,3112,1259,21.84,2.015,2537
24,Manikganj,7193,2911,25.86,2.385,6942,7198,2913,28.01,2.584,7527
25,Munshiganj,411,166,28.86,2.662,443,435,176,25.90,2.389,420
26,Narayanganj,4474,1811,22.19,2.047,3706,4662,1887,22.90,2.112,3985
27,Narsingdi,2562,1037,28.34,2.614,2710,2760,1117,28.77,2.654,2964
