District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M. Tons)",,
,,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23
1,Barguna,36.68,39.78,39.62,0,0.00,0.00,11,11.00,10.00,11,11.00,10.00
2,Barishal,140.42,142.13,100.20,0,0.00,0.00,72,75.00,41.00,72,75.00,41.00
3,Bhola,4.05,4.32,4.45,0,0.00,0.00,7.30,9.72,10.92,7.30,9.72,10.92
4,Jhallokati,19,22.00,20.00,0,0.00,3.63,29,30.00,40.36,29,30.00,44.00
5,Patuakhali,34.95,31.81,31.78,0,0.00,0.00,37.80,34.39,37.93,37.80,34.39,37.93
6,Pirojpur,24.35,23.76,24.13,0.55,0.54,0.54,48.91,48.22,47.82,49.46,48.76,48.36
1,Barishal Division,259.45,263.80,220.18,0.55,0.54,4.17,206.01,208.33,188.03,206.56,208.87,192.2
7,Bandarban,0,0.25,0.25,0,0.00,0.00,0,0.21,0.21,0,0.21,0.21
8,Brahmanbaria,1.74,2.73,2.69,0,0.00,0.00,2.98,2.94,3.083,2.98,2.94,3.083
9,Chandpur,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
10,Chattogram,1.25,1.24,1.28,0,0.00,0.00,3,3.09,3.26,3,3.09,3.26
11,Cumilla,1.92,1.92,2.32,0,0.00,0.00,0.69,0.72,1.21,0.69,0.72,1.21
12,Cox’s Bazar,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
13,Feni,0.90,0.96,0.00,0,0.00,0.00,1.10,1.16,0.00,1.10,1.16,0.00
14,Khagrachari,212.45,180.05,181.14,80.99,85.76,81.53,71.94,79.29,85.462,152.93,165.05,"166.99
2"
15,Lakshmipur,0,1.00,1.00,0,0.00,0.00,0,0.34,0,0,0.34,0
16,Noakhali,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
17,Rangamati,78.04,78.28,74.89,3.26,22.62,20.57,64.27,55.68,50.58,67.53,78.30,71.15
2,"Chattogram
Division",296.30,266.43,266.29,84.25,108.38,102.1,143.98,143.43,143.805,228.23,251.81,"245.90
5"
18,Dhaka,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
19,Faridpur,0.51,0.46,0.50,0,0.00,0.00,0.71,0.60,0.00,0.71,0.60,0.00
20,Gazipur,7,7.00,7.00,0,0.00,0.00,8,10.00,10.00,8,10.00,10.00
21,Gopalganj,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
22,Kishoreganj,14.72,10.81,11.49,0,0.00,0.00,50.26,40.22,36.91,50.26,40.22,36.91
23,Madaripur,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
24,Manikganj,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
25,Munshiganj,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
26,Narayanganj,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
27,Narsingdi,6.75,1.62,1.63,0,0.00,0.00,1.68,1.63,1.97,1.68,1.63,1.97
28,Rajbari,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
29,Shariatpur,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
30,Tangail,3.49,4.09,5.01,0,0.00,0.00,9.12,10.60,10.49,9.12,10.60,10.49
3,Dhaka Division,32.47,23.98,25.13,0,0.00,0.00,69.77,63.05,59.37,69.77,63.05,59.37
31,Bagerhat,15.80,9.47,10.66,0,1.56,0.0338,13.75,11.28,12.556,13.75,12.84,"12.589
8"
32,Chuadanga,3.80,3.80,3.80,0,0.00,0.00,4,4.00,3.56,4,4.00,3.56
33,Jashore,9.98,12.23,12.54,0,0.00,0.00,23,19.00,20.00,23,19.00,20.00
34,Jhenaidah,2.68,2.73,2.67,0,0.00,0.00,4.54,4.77,4.3,4.54,4.77,4.3
35,Khulna,9.70,7.65,7.48,0,0.00,0.00,17,12.00,12.60,17,12.00,12.60
36,Kushtia,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
37,Magura,2.42,2.46,2.60,0,0.00,0.00,29,23.00,30.17,29,23.00,30.17
38,Meherpur,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
39,Narail,73,70.00,87.32,0,0.00,0.00,35,33.00,36.37,35,33.00,36.37
40,Satkhira,26.50,8.08,8.01,0,0.00,0.00,24.50,6.00,6.08,24.50,6.00,6.08
,,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23
4,Khulna Division,143.88,116.42,135.08,0,1.56,0.0338,150.79,113.05,125.636,150.79,114.61,"125.66
98"
41,Jamalpur,3,3.00,3.00,0,0.00,0.00,6,6.00,3.00,6,6.00,3.00
42,Mymensingh,13,13.00,13.00,0,0.00,0.00,12,9.00,9.00,12,9.00,9.00
43,Netrokona,0,0.00,2.40,0,0.00,0.00,0,0.00,3.00,0,0.00,3.00
44,Sherpur,2,4.00,4.00,0,0.00,0.00,2,5.00,5.00,2,5.00,5.00
5,"Mymensingh
Division",18,20,22.40,0,0.00,0.00,20,20.00,20.00,20,20.00,20.00
45,Bogura,24,24.00,24.44,5.70,6.89,5.52,24.3,28.11,23.26,30,35.00,28.78
46,Joypurhat,6.89,1.00,1.17,0,0.00,0.00,4.37,3.00,2.62,4.37,3.00,2.62
47,Naogaon,9,6.00,6.00,0,0.00,0.00,68,8.00,8.00,68,8.00,8.00
48,Natore,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
49,Chapai Nawabganj,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
50,Pabna,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
51,Rajshahi,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
52,Sirajganj,1.92,2.00,1.90,0,0.00,0.00,4.75,5.00,4.45,4.75,5.00,4.45
6,Rajshahi Division,41.81,33.00,33.51,5.70,6.89,5.52,101.42,44.11,38.33,107.12,51.00,43.85
53,Dinajpur,28.39,31.00,31.00,0,2.38,2.38,68.50,73.62,75.62,68.50,76.00,78.00
54,Gaibandha,3.01,2.50,2.55,0,0.00,0.00,9.32,6.84,6.422,9.32,6.84,6.422
55,Kurigram,10.44,11.42,11.42,1.29,1.19,1.44,37.71,40.10,37.79,39,41.29,39.23
56,Lalmonirhat,33.59,34.24,34.51,16.92,17.04,16.99,59.16,60.40,60.32,76.08,77.44,77.31
57,Nilphamari,12.63,12.81,13.26,37.48,39.46,36.77,57.75,58.68,55.26,95.23,98.14,92.03
58,Panchagar,123.85,120.07,116.25,130.31,16.99,227.462,93.23,200.81,-14.952,223.54,217.80,212.51
59,Rangpur,5.06,8.72,9.40,0,0.00,0.00,27.76,34.00,49.00,27.76,34.00,49.00
60,Tahkurgaon,8.78,9.07,9.03,7.83,8.07,8.07,14.09,14.72,14.79,21.92,22.79,22.86
7,Rangpur Division,225.75,229.83,227.42,193.83,85.13,293.112,367.52,489.17,284.25,561.35,574.30,577.36
61,Habigonj,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
62,Moulvibazar,148.32,144.81,144.67,0,0.00,0.00,172.35,100.23,117.33,172.35,100.23,117.33
63,Sunamganj,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
64,Sylhet,67.17,69.04,69.84,41.99,60.34,65.025,43.05,40.08,33.915,85.04,100.42,98.94
8,Sylhet Division,215.49,213.85,214.51,41.99,60.34,65.025,215.4,140.31,151.245,257.39,200.65,216.27
BANGLADESH,,1233.15,1167.31,1145.02,326.32,262.84,469.96,1274.89,1221.45,1031.27,1601.21,"1484.2
9","1501.
22"
