District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M. Tons)",,
,,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23
1,Barguna,2219.08,2225.00,2085.00,0,0.00,0.00,1292.25,1246.68,1461.44,1292.25,1246.68,1461.44
2,Barishal,535,813.00,135.00,0,0.00,0.00,698,957.00,576.10,698,957.00,576.10
3,Bhola,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
4,Jhallokati,511,512.00,520.00,0,0.00,0.00,785,1185.48,1054.97,785,1185.48,1054.97
5,Patuakhali,1195.36,1244.00,1244.00,0,0.00,0.00,3620.1,3700.00,3666.40,3620.10,3700.00,3666.40
6,Pirojpur,632,695.00,651.00,22.07,0.00,0.00,4252.92,4167.00,4162.32,4274.99,"4167.0
0","4162.3
2"
1,Barishal Division,5092.44,5489.00,4635.00,22.07,0.00,0.00,10648.27,"11256.1
6","10921.2
3","10670.3
4","11256.
16","10921.
23"
7,Bandarban,0,0.00,,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
8,Brahmanbaria,0,0.00,,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
9,Chandpur,0,0.00,,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
10,Chattogram,0,0.00,,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
11,Cumilla,0,0.00,,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
12,Cox’s Bazar,0,2.48,2.56,0,0.00,0.00,0,77.98,79.44,0,77.98,79.44
13,Feni,0,0.00,,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
14,Khagrachari,0,0.00,,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
15,Lakshmipur,0,0.00,,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
16,Noakhali,0,0.00,,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
17,Rangamati,5.13,5.23,5.38,0,0.00,0.00,10,9.86,9.70,10,9.86,9.70
2,"Chattogram
Division",5.13,7.71,7.94,0,0.00,0.00,10,87.84,89.14,10,87.84,89.14
18,Dhaka,6.17,6.10,6.27,0,0.00,0.00,128.12,122.96,122.32,128.12,122.96,122.32
19,Faridpur,167,168.00,172.00,88.26,56.36,93.28,2101.94,2128.60,2083.19,2190.2,"2184.9
6","2176.4
7"
20,Gazipur,196,189.00,189.00,0,0.00,0.00,312,304.00,300.00,312,304.00,300.00
21,Gopalganj,117.76,120.90,122.11,0,0.00,0.00,1719.72,1820.10,1762.40,1719.72,"1820.1
0","1762.4
0"
22,Kishoreganj,7.14,4.85,5.24,0,0.00,0.00,75.94,17.92,16.81,75.94,17.92,16.81
23,Madaripur,420,432.80,432.00,14.67,0.00,0.00,4286.12,4932.40,4988.43,4300.79,"4932.4
0","14988.
43"
24,Manikganj,45.86,41.11,39.66,0,0.00,0.00,195,192.81,143.07,195,192.81,143.07
25,Munshiganj,356,3.54,3.78,0,0.00,0.00,19.45,21.82,22.58,19.45,21.82,22.58
26,Narayanganj,4,3.19,3.17,0,0.00,0.00,31.8,39.72,39.22,31.8,39.72,39.22
27,Narsingdi,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
28,Rajbari,106.43,106.44,79.10,0,0.00,0.00,1442,1367.00,1048.95,1442,"1367.0
0","1048.9
5"
29,Shariatpur,224.02,211.40,169.45,0,0.00,0.00,1332,1456.00,1330.00,1332,"1456.0
0","1330.0
0"
30,Tangail,0,1.55,1.51,0,0.00,0.00,0,7.56,6.09,0,7.56,6.09
3,Dhaka Division,1650.38,1288.88,1223.29,102.93,56.36,93.28,11644.09,"12410.8
9","11863.0
6","11747.0
2","12467.
25","11956.
34"
31,Bagerhat,135.92,131.01,124.24,0,0.00,0.00,3227,3112.37,3241.30,3227,"3112.3
7","3241.3
0"
32,Chuadanga,34.41,33.80,33.78,27.47,36.02,35.31,872.53,1110.98,1099.79,900,"1147.0
0","1135.1
0"
33,Jashore,155.56,162.78,153.78,81.04,76.53,84.00,2740.96,2811.04,3269.83,2822,"2887.5
7","3353.8
3"
34,Jhenaidah,57,57.93,60.77,254.37,256.46,256.26,1235.63,1236.18,1246.82,1490,"1492.6
4","1503.0
8"
35,Khulna,243.53,210.15,116.95,16.02,0.00,0.00,1177.98,1251.60,1298.02,1194,"1251.6
0","1298.0
2"
,,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23
36,Kushtia,16,16.00,16.00,0,0.00,0.00,696,704.00,705.00,696,704.00,705.00
37,Magura,131.76,117.41,105.14,0,0.00,0.00,1799,1688.46,1729.19,1799,"1688.4
6","1729.1
9"
38,Meherpur,22.18,21.97,22.31,0,0.00,0.00,330,232.33,218.78,330,232.33,218.19
39,Narail,522.77,516.69,517.33,0,0.00,0.00,6456,4548.47,6365.67,6456,"4548.4
7","6365.6
7"
