District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
,,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23
1,Barguna,2120,"2187.4
3","2063.0
9",0,0,0.00,4316,3873,3900.90,4316,3873,3900.90
2,Barishal,1200,1083,164.00,0,0,0.00,1500,1485,724.00,1500,1485,724.00
3,Bhola,31,56.92,55.65,0,0,0.00,236.4,510,526.00,236.4,510,526.00
4,Jhallokati,503,512.48,517.00,0,0,0.00,950,518,607.00,950,518,607.00
5,Patuakhali,468,467.56,129.00,0,0,0.00,3096.79,2911,2113.00,3096.79,2911,2113.00
6,Pirojpur,646,669.88,669.23,0,0,0.00,2280,1557.05,1555.00,2280,1557.05,1555.00
1,Barishal Division,4967,4977.27,3597.97,0,0,0.00,12379.19,10854.05,9425.90,12379.19,10854.05,9425.90
7,Bandarban,131,132,131.50,0,0,0.00,38.17,38,38.20,38.17,38,38.20
8,Brahmanbaria,66,66,65.20,0,0,0.00,300.43,316,347.30,300.43,316,347.30
9,Chandpur,218,239,246.00,0,0,0.00,3412,3357,3597.20,3412,3357,3597.20
10,Chattogram,116.60,163,163.40,0,0,0.00,1693,1700,1691.40,1693,1700,1691.40
11,Cumilla,1002,1012,"1012.5
0",0,139.94,140.50,1834,1742.06,1750.50,1834,1882,1891.00
12,Cox’s Bazar,4.48,7,2.50,0,0,0.00,113.2,118,116.10,113.2,118,116.10
13,Feni,130.63,171,173.20,0,0,0.00,329,329,329.80,329,329,329.80
14,Khagrachari,15.66,17,17.00,0,0,0.00,34.37,36,41.50,34.37,36,41.50
15,Lakshmipur,43.57,61,61.20,0,0,0.00,1032,1135,1145.90,1032,1135,1145.90
16,Noakhali,422.38,155,165.70,0,0,0.00,1856.78,2209,2200.50,"1856.7
8",2209,2200.50
17,Rangamati,16.31,17,16.84,0,0,0.00,42.68,48,47.97,42.68,48,47.97
2,"Chattogram
Division",2167.05,2040,2055.04,0,139.94,140.50,"10685.6
3",11028.06,11306.37,"10685.
63",11168,11446.87
18,Dhaka,20.43,21.10,19.29,0,0,0.00,194.49,200.91,209.19,194.49,200.91,209.19
19,Faridpur,117.00,117.00,119.00,97.22,99.08,98.29,3155.67,3044.50,3043.41,"3252.8
9",3143.58,3141.70
20,Gazipur,210.71,250.00,251.00,129,94.57,95.63,1022.8,753.43,782.37,1151.8,848,878.00
21,Gopalganj,308.58,308.58,340.30,1.29,129.59,136.27,6833.48,6705.19,6515.26,"6834.7
7",6834.78,6651.53
22,Kishoreganj,34.91,36.30,36.96,0,0,0.00,446.95,446.18,454.65,446.95,446.18,454.65
23,Madaripur,174.95,181.25,181.62,0,0,0.00,9495.6,9852.05,8005.52,9495.6,9852.05,8005.52
24,Manikganj,43.74,45.41,49.23,0,0,0.00,345.63,351.11,502.33,345.63,351.11,502.33
25,Munshiganj,17.02,14.33,14.68,0,0,0.00,298.36,280.91,283.02,298.36,280.91,283.02
26,Narayanganj,10.66,10.24,10.98,0,0,0.00,111.75,119.41,137.13,111.75,119.41,137.13
27,Narsingdi,53.03,42.67,42.74,0,0,0.00,886.22,857.79,850.25,886.22,857.79,850.25
28,Rajbari,67.45,67.00,68.00,0,0,0.00,1819,1861.20,2014.36,1819,1861.20,2014.36
29,Shariatpur,118.65,188.20,186.80,0,0,0.00,748.03,706.29,818.00,748.03,706.29,818.00
30,Tangail,87.33,255.27,197.69,35.26,40.18,33.48,1668.84,1657.80,1672.82,1704.1,1697.98,1706.30
3,Dhaka Division,1264.46,"1537.3
5","1518.2
9",262.77,363.42,363.67,"27026.8
2","26836.7
7","25288.3
1","27289.
59","27200.1
9","25651.9
8"
31,Bagerhat,90.15,92.34,102.54,66.33,56.11,0.00,3201.67,2745.79,3373.10,3268,2801.90,3373.10
32,Chuadanga,41.33,40.93,41.03,6.49,6.31,6.38,254.51,250.53,254.56,261,256.84,260.94
33,Jashore,205.94,196.81,202.89,64.44,65.33,60.65,1047.56,1161.47,1137.85,1112,1226.80,1198.50
34,Jhenaidah,145.04,154.93,151.91,0,0,0.00,932,953.57,951.31,932,953.57,951.31
35,Khulna,98.02,148.97,150.98,0,16.16,10.13,1493,2585.24,1550.97,1493,2601.40,1561.10
36,Kushtia,104.00,95.43,97.00,0,0,0.00,1068,1060,1062.00,1068,1060,1062.00
37,Magura,120.33,139.24,140.36,0,0,0.00,1015,841.35,826.15,1015,841.35,826.15
,,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23
38,Meherpur,39.06,36.14,36.58,0,0,0.00,122,104.16,109.48,122,104.16,109.48
39,Narail,165.62,167.92,167.15,0,0,0.00,612,621.95,615.69,612,621.95,615.69
40,Satkhira,397.25,493.80,485.45,109,40.23,42.55,2131,1276.47,1283.55,2240,1316.70,1326.10
4,Khulna Division,1406.74,"1566.5
1","1575.8
9",246.26,184.14,119.71,"11876.7
4","11600.5
3","11164.6
6",12123,"11784.6
7","11284.3
7"
41,Jamalpur,45,46,48.00,0,0,0.00,495,507,532.00,495,507,532.00
42,Mymensingh,536,566,580.00,0,0,0.00,2263,2488,2632.00,2263,2488,2632.00
43,Netrokona,8,55,66.00,0,0,0.00,90,143,175.00,90,143,175.00
44,Sherpur,54,54,56.00,0,0,0.00,282,287,291.00,282,287,291.00
5,"Mymensingh
Division",643,721,750.00,0,0,0.00,3130,3425,3630.00,3130,3425,3630.00
45,Bogura,223.97,224,224.00,0,0,0.00,3350.13,3397,4829.00,"3350.1
3",3397,4829.00
46,Joypurhat,51.97,61,61.00,0,81.69,0.00,428.48,426.31,505.00,428.48,508,505.00
47,Naogaon,595.06,596,136.00,135,135.13,0.00,1760.1,1769.87,1573.00,1895.1,1905,1573.00
48,Natore,125.97,193,193.00,0,0,0.00,2359.9,1385,1413.00,2359.9,1385,1413.00
49,Chapai Nawabganj,73.26,75,138.00,0,0,0.00,183.64,192,214.00,183.64,192,214.00
50,Pabna,102.78,103,149.00,0,0,0.00,1290.2,1300,812.00,1290.2,1300,812.00
51,Rajshahi,151.28,305,345.00,0,0,0.00,1063.3,939,1591.00,1063.3,939,1591.00
52,Sirajganj,64.37,64,65.00,0,0,0.00,1149.31,1138,1136.00,"1149.3
1",1138,1136.00
6,Rajshahi Division,1388.66,1621,"1311.0
0",135,216.82,0.00,"11585.0
6","10547.1
8","12073.0
0","11720.
06",10764,"12073.0
0"
53,Dinajpur,69.11,57,57.00,0,0,0.00,368,377,371.66,368,377,371.66
54,Gaibandha,17.54,17.36,16.86,0,0,0.00,54.43,60.49,61.88,54.43,60.49,61.88
