District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M. Tons)",,
35,Khulna,125,141,143.16,0,0,0.00,1571,1574,1629.80,1571,1574,1629.80
36,Kushtia,82,104,104.00,0,0,0.00,1809,2027,2016.00,1809,2027,2016.00
37,Magura,196,112,112.06,0,0,0.00,7523,2056,2097.57,7523,2056,2097.57
38,Meherpur,36,35,37.19,0,0,0.00,211,222,216.40,211,222,216.40
39,Narail,202,202,192.28,0,0,0.00,1185,1213,1212.86,1185,1213,1212.86
40,Satkhira,94,361,483.83,140,67,66.62,2318,1972,2170.86,2458,2039,2237.48
,,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23
4,Khulna Division,1264,1509,1658.63,309,245,238.39,21883,17027,"17765.3
8",22192,17272,"18003.7
7"
41,Jamalpur,46,46,47.00,0,0,0.00,388,408,424.00,388,408,424.00
42,Mymensingh,696,683,690.00,0,0,0.00,2617,2762,2861.00,2617,2762,2861.00
43,Netrokona,56,50,50.00,0,0,0.00,491,373,382.00,491,373,382.00
44,Sherpur,87,100,69.00,0,0,0.00,1138,1802,2849.00,1138,1802,2849.00
5,"Mymensingh
Division",885,879,856.00,0,0,0.00,4634,5345,6516.00,4634,5345,6516.00
45,Bogura,255,255,243.55,0,0,0.00,7683,7683,9406.00,7683,7683,9406.00
46,Joypurhat,48,48,40.57,0,0,0.00,748,752,632.35,748,752,632.35
47,Naogaon,302,302,445.59,0,0,0.00,7048,7026,8000.30,7048,7026,8000.30
48,Natore,140,140,212.54,0,0,0.00,3668,3668,3118.50,3668,3668,3118.50
49,Chapai Nawabganj,180,180,138.29,37,0,0.00,927,925,1014.20,964,925,1014.20
50,Pabna,70,70,58.27,0,0,0.00,2619,2617,2084.00,2619,2617,2084.00
51,Rajshahi,482,512,353.79,0,0,0.00,4348,4276,3671.80,4348,4276,3671.80
52,Sirajganj,482,95,93.25,0,0,0.00,2057,2058,2119.60,2057,2058,2119.60
6,Rajshahi Division,1959,1602,1585.85,37,0,0.00,29098,29005,30046.75,29135,29005,30046.75
53,Dinajpur,100,88,76.86,0,0,0.00,682,736,718.50,682,736,718.50
54,Gaibandha,22,23,22.06,0,0,0.00,267,263,265.96,267,263,265.96
55,Kurigram,24,11,8.88,0,0,0.00,88,91,83.79,88,91,83.79
56,Lalmonirhat,5,5,5.80,0,0,0.00,25,39,40.65,25,39,40.65
57,Nilphamari,5,4,4.87,0,0,0.00,86,76,76.26,86,76,76.26
58,Panchagar,5,5,5.17,0,0,0.00,83,89,89.15,83,89,89.15
59,Rangpur,20,22,23.87,0,0,0.00,389,437,450.02,389,437,450.02
60,Tahkurgaon,10,7,6.84,0,0,0.00,135,136,136.43,135,136,136.43
7,Rangpur Division,191,165,154.35,0,0,0.00,1755,1867,1860.76,1755,1867,1860.76
61,Habigonj,200,152,163.03,0,0,0.00,1178,288,450.12,1178,288,450.12
62,Moulvibazar,47,40,31.65,0,0,0.00,364,281,262.31,364,281,262.31
63,Sunamganj,4,5,6.30,0,0,0.00,11,17,21.00,11,17,21.00
64,Sylhet,11,9,9.00,12,0,0.00,77,105,119.00,89,105,119.00
8,Sylhet Division,262,206,209.98,12,0,0.00,1630,691,852.43,1642,691,852.43
BANGLADESH,,79666,15766,"13814.0
8",1181,1138,1124.94,143474,143307,178962.66,144655,144445,188087.6
