District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M. Tons)",,
,,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23
1,Barguna,2215,2215.35,2002.10,0,0.00,0.00,834,834.00,780.00,834,834.00,780.00
2,Barishal,823,822.18,519.98,0,0.00,0.00,2000,1978.00,730.00,2000,1978.00,730.00
3,Bhola,1020,283.10,473.02,0,0.00,0.00,1082,1139.00,957.08,1082,1139.00,957.08
4,Jhallokati,800,414.52,426.12,0,0.00,0.00,844,799.00,809.00,844,799.00,809.00
5,Patuakhali,751,750.97,964.62,0,0.00,0.00,2648,568.60,584.87,2648,568.60,584.87
6,Pirojpur,2169,"21692.4
0",679.50,0,0.00,0.00,2359,2359.00,2357.80,2359,2359.00,2357.80
1,Barishal Division,7778,26178.52,5065.34,0,0.00,0.00,9767,7677.60,6218.75,9767,7677.60,6218.75
7,Bandarban,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
8,Brahmanbaria,42,41.24,41.07,0,0.00,0.00,105,109.95,104.17,105,109.95,104.17
9,Chandpur,1266,237.59,163.55,0,0.00,0.00,3966,3960.53,3343.38,3966,3960.53,3343.38
10,Chattogram,831,263.30,263.90,0,0.00,0.00,2934,2861.97,3630.49,2934,2861.97,3630.49
11,Cumilla,934,399.61,392.49,12,415.00,11.24,499,96.00,456.14,511,511.00,467.38
12,Cox’s Bazar,80,8.40,2.97,0,0.00,0.00,338,312.10,316.60,338,312.10,316.60
13,Feni,600,1049.58,1050.24,0,50.00,1.98,1942,1050.17,1098.36,1942,1100.17,110.34
14,Khagrachari,110,91.64,92.01,0,0.00,0.00,378,360.56,364.87,378,360.56,364.87
15,Lakshmipur,1350,222.14,170.00,262,1000.00,31.59,3278,920.12,1835.28,3540,1920.12,1866.87
16,Noakhali,625,149.94,145.66,0,0.00,0.00,1511,1226.91,1198.94,1511,1226.91,1198.94
17,Rangamati,232,233.67,233.37,0,0.00,0.00,298,279.70,248.54,298,279.70,248.54
2,"Chattogram
Division",6070,2697.11,2555.26,274,1465.00,44.81,15249,11178.01,12596.77,15523,12643.01,12641.58
18,Dhaka,100,10.70,21.43,0,0.00,0.00,236,235.34,207.99,236,235.34,207.99
19,Faridpur,2250,469.00,462.00,378,372.85,369.55,3845,3643.47,3629.45,4223,4016.32,3999.00
20,Gazipur,525,156.00,158.00,73,68.96,67.40,1241,1240.03,1240.60,1314,1308.99,1308.00
21,Gopalganj,2319,256.00,253.96,39,0.00,0.00,2926,2826.44,2604.70,2965,2826.44,2604.70
22,Kishoreganj,94,20.38,19.40,0,0.00,0.00,47,63.07,67.12,47,63.07,67.12
23,Madaripur,2670,539.25,548.26,0,0.00,0.00,5817,5345.52,4869.22,5817,5345.52,4869.22
24,Manikganj,1100,221.38,221.17,92,99.97,94.32,2631,2672.97,2522.68,2723,2772.94,2617.00
25,Munshiganj,270,26.59,9.89,0,0.00,0.00,355,275.66,266.22,355,275.66,266.22
26,Narayanganj,90,13.52,11.54,0,0.00,0.00,272,258.86,174.74,272,258.86,174.74
27,Narsingdi,150,19.73,19.12,0,0.00,0.00,261,242.49,277.46,261,242.49,277.46
28,Rajbari,9772,97.08,98.67,4,0.00,0.00,3030,28.30,3089.17,3034,28.30,3089.17
29,Shariatpur,1092,159.40,145.25,78,25.34,28.51,2453,603.76,688.69,2531,629.10,717.20
30,Tangail,750,80.24,87.18,85,0.00,0.00,1700,1219.49,1116.51,1785,"1219.4
9","1116.5
1"
3,Dhaka Division,21182,2069.27,2055.87,749,567.12,559.78,24814,18655.40,20754.55,25563,19222.52,21314.33
31,Bagerhat,2070,239.63,350.91,160,173.25,178.42,2066,1917.91,1933.19,2226,2091.16,2111.61
32,Chuadanga,1350,255.98,254.89,1917,2121.38,2006.70,3298,3520.23,3377.28,5215,5641.61,5383.98
33,Jashore,5025,792.50,782.00,4687,5500.94,5954.30,4955,7280.20,6752.70,9642,"12781.1
4","12707.0
0"
34,Jhenaidah,4430,392.15,399.34,1641,1648.20,1673.90,7794,7914.56,7894.74,9435,9562.76,9568.64
35,Khulna,2450,584.59,583.82,156,154.45,153.05,2751,1919.14,1873.38,2907,2073.59,2026.43
36,Kushtia,940,169.00,157.00,233,227.18,162.18,3373,3306.82,3361.82,3606,3534.00,3524.00
37,Magura,1000,109.01,113.78,0,0.00,0.00,1652,1500.71,2039.03,1652,1500.71,2039.03
38,Meherpur,160,20.23,21.40,0,0.00,0.00,258,239.74,229.81,258,239.74,229.81
39,Narail,1000,305.69,301.74,175,132.38,174.28,901,935.97,905.55,1076,1068.35,1079.83
40,Satkhira,3250,1468.12,1576.90,785,781.88,685.77,3235,3258.20,2484.59,4020,4040.0,3170.3
,,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23
,,,,,,,,,,,,8,6
4,Khulna Division,21675,4336.90,4541.78,9754,10739.66,10988.60,30283,31793.48,30852.09,40037,42533.14,41840.69
41,Jamalpur,60,45.00,61.00,0,0.00,0.00,101,132.00,144.00,101,132.00,144.00
42,Mymensingh,2016,608.00,678.00,0,0.00,0.00,2897,400.00,2528.00,2897,400.00,2528.00
43,Netrokona,10,3.00,5.00,0,0.00,0.00,11,111.00,17.00,11,111.00,17.00
44,Sherpur,40,12.00,10.00,0,0.00,0.00,181,339.00,60.00,181,339.00,60.00
5,"Mymensingh
Division",2126,668.00,754.00,0,0.00,0.00,3190,982.00,2749.00,3190,982.00,2749.00
45,Bogura,1550,298.97,292.12,0,0.00,0.00,5239,5119.24,4910.17,5239,5119.24,4310.17
46,Joypurhat,340,72.85,72.07,0,0.00,0.00,1082,760.68,700.28,1082,760.68,700.28
47,Naogaon,1584,189.44,250.61,0,0.00,0.00,3693,3794.08,4756.12,3693,3794.08,4756.12
48,Natore,406,803.55,800.52,2240,2882.96,3012.15,21534,"28252.1
3",32017.27,23774,31135.09,35029.42
49,Chapai Nawabganj,52,55.36,55.63,0,0.00,0.00,523,537.91,498.09,523,537.91,498.09
50,Pabna,1500,842.90,168.92,0,0.00,0.00,3009,3084.79,4399.33,3009,"3084.7
9","4399.3
3"
51,Rajshahi,2831,504.05,768.24,403,489.64,1014.57,15758,"22281.1
9",29563.91,16161,22770.83,30578.48
52,Sirajganj,44,16.60,20.22,0,0.00,0.00,495,658.26,546.98,495,658.26,546.98
6,Rajshahi Division,8307,2783.72,2428.33,2643,3372.60,4026.72,51333,64488.28,77392.15,53976,67860.88,81418.87
53,Dinajpur,300,69.00,70.00,0,0.00,0.00,503,507.00,492.00,503,507.00,492.00
54,Gaibandha,351,27.25,27.18,27,25.90,25.92,194,156.73,156.89,221,182.63,182.81
55,Kurigram,100,49.39,51.24,0,0.00,0.00,237,223.68,209.41,237,223.68,209.41
56,Lalmonirhat,40,11.66,12.67,0,0.00,0.00,141,137.42,138.20,141,137.42,138.20
57,Nilphamari,50,8.55,9.08,0,0.00,0.00,106,132.84,139.11,106,132.84,139.11
58,Panchagar,20,3.22,5.49,0,0.00,0.00,21,14.30,20.19,21,14.30,20.19
59,Rangpur,100,37.66,37.66,0,0.00,0.00,376,331.40,327.78,376,331.40,327.78
60,Tahkurgaon,300,66.44,6.43,0,1.41,1.81,88,91.17,97.49,88,92.58,99.30
7,Rangpur Division,1261,273.17,219.75,27,27.31,27.73,1666,1594.54,1581.07,1693,1621.85,1608.80
61,Habigonj,0,50.32,52.44,0,0.00,0.00,0,22.00,0.20,0,22.00,0.20
62,Moulvibazar,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
63,Sunamganj,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
64,Sylhet,1,0.73,0.73,0,0.00,0.00,12,0.63,0.53,12,0.63,0.53
8,Sylhet Division,1,51.05,53.17,0,0.00,0.00,12,22.63,0.73,12,22.63,0.73
BANGLADESH,,68400,"39057.7
4","17673.5
0",13447,16171.69,15647.64,136314,"136391.9
4","152145.1
1",149761,"152563.6
3","167792.7
5"
