2021-22,,2022-23,,"% Change over previous
year"
"Yield rate per acre
(Bales)","Yield rate per hector
(Bales)","Yield rate
per acre
(Bales)","Yield rate
per hector
(Bales)",
4.73,11.593,4.69,11.588,(-) 0.04%
