District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M.Tons )",,
28,Rajbari,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
29,Shariatpur,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
30,Tangail,141,135.39,98.00,5,6.07,13.39,2,1.22,1.00,7,7.29,14.39
3,Dhaka Division,166,162.70,118.00,6,7.31,14.63,5,7.98,8.76,11,15.29,23.39
31,Bagerhat,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
32,Chuadanga,7,59.44,48.00,19,12.33,76.03,6,15.07,4.56,25,27.40,80.59
33,Jashore,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
34,Jhenaidah,29,224.14,178.59,52,57.90,136.67,0,4.10,19.33,52,62.00,156.00
35,Khulna,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
36,Kushtia,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
37,Magura,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
38,Meherpur,0,0.00,8.10,0,0.00,10.00,0,0.00,0.00,0,0.00,10.00
39,Narail,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
40,Satkhira,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
4,Khulna Division,36,283.58,234.69,71,70.23,222.70,6,19.17,23.89,77,89.40,246.59
,,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23
41,Jamalpur,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
42,Mymensingh,0,0.00,0.00,,0.00,0.00,,0.00,0.00,0,0.00,0.00
43,Netrokona,1,1.05,2.00,1,0.76,0.78,0,0.24,0.22,1,1.00,1.00
44,Sherpur,0,10.80,13.00,0,0.00,14.22,0,0.00,0.78,0,0.00,15.00
5,"Mymensingh
Division",1,11.85,15.00,1,0.76,15.00,0,0.24,1.00,1,1.00,16.00
45,Bogura,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
46,Joypurhat,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
47,Naogaon,1,1.28,4.41,0.50,0.00,4.16,0,0.47,0.00,0.50,0.47,4.16
48,Natore,0,0.00,18.02,0,0.00,6.36,0,0.00,0.00,0,0.00,6.36
49,Chapai Nawabganj,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
50,Pabna,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
51,Rajshahi,13,16.32,6.00,9,18.48,27.93,0,0.52,0.07,9,19.00,28.00
52,Sirajganj,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
6,Rajshahi Division,15,17.60,28.43,9.50,18.48,38.45,0,0.99,0.07,9.50,19.47,38.52
53,Dinajpur,0,0.00,3.00,0,0.00,6.89,0,0.00,0.11,0,0.00,7.00
54,Gaibandha,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
55,Kurigram,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
56,Lalmonirhat,3,2.77,1.02,6,6.79,6.82,1,1.07,0.00,7,7.86,6.82
57,Nilphamari,8,8.52,4.08,1,1.62,1.55,9,10.07,10.45,10,11.69,12.00
58,Panchagar,107,103.56,72.68,38,46.62,48.96,26,15.81,17.68,64,62.43,66.64
59,Rangpur,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
60,Thakurgaon,16,36.41,16.32,3,9.46,29.17,1,4.60,8.81,4,14.06,37.98
7,Rangpur Divison,134,151.26,97.10,48,64.49,93.39,37,31.55,37.05,85,96.04,130.44
61,Habiganj,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
62,Moulvibazar,411,397.66,233.42,138,154.47,156.43,119,131.53,131.96,257,286.00,288.39
63,Sunamganj,1,1.36,2.00,0,0.00,0.00,2,2.00,2.00,2,2.00,2.00
64,Sylhet,128,123.08,209.38,25,46.83,4.48,512,168.31,2.66,537,215.14,7.14
8,Sylhet Division,541,522.10,444.80,163,201.30,160.91,633,301.84,136.62,796,503.14,297.53
BANGLADESH,,1920,2188.14,2439.45,2588.92,2708.20,2925.52,1150.39,842.48,690.91,"3739.3
1",3550.68,3616.43
