Item,Year,Area ‘000’ Acres,Production ‘000’ Metric Tons
Major cereals,2022-23,29537,40265
,2021-22,29669,39230
,2020-21,29725,38693
Aus Rice,2022-23,2622,2901
,2021-22,2864,3000
,2020-21,3225,3285
Aman Rice,2022-23,14143,15426
,2021-22,14132,14958
,2020-21,13859,14438
Boro Rice,2022-23,1198,20768
,2021-22,11895,20186
,2020-21,11828,19885
Wheat,2022-23,783,1170
,2021-22,778,1086
,2020-21,813,1085
Minor cereals,2022-23,1229,4564
,2021-22,1184,4263
,2020-21,1188,4118
Total cereals,2022-23,30766,44829
,2021-22,30853,43493
,2020-21,30913,42811
Potato,2022-23,1125,10432
,2021-22,1147,10145
,2020-21,1158,9887
Jute (bales),2022-23,1804,8458
,2021-22,1783,8432
,2020-21,1686,7725
Maize,2022-23,1227,4563
,2021-22,1182,4262
,2020-21,1186,4116
Pulses,2022-23,880,440
,2021-22,926,432
,2020-21,919,425
Oil Seeds,2022-23,1362,1172
,2021-22,1236,1034
,2020-21,1234,996
Spices & Condiments,2022-23,1076,4116
,2021-22,1084,4005
,2020-21,1060,3594
Chillies,2022-23,240,662
,2021-22,243,625
,2020-21,247,493
Onion,2022-23,503,2547
,2021-22,508,2517
,2020-2021,480,2269
Drugs & Narcotics,2022-23,385,734
,2021-22,391,825
,2020-21,480,2269
Tea,2022-23,141,93
,2021-22,140,98
,2020-21,136,90
Tobacco,2022-23,93,87
,2021-22,100,93
,2020-21,100,89
Vegetables,2022-23,1138,5495
,2021-22,1125,6010
,2020-21,1120,4587
Tomato,2022-23,77,469
,2021-22,73,442
,2020-21,73,448
Sweet Potato,2022-23,69,298
,2021-22,72,304
,2020-21,66,280
Sugar Crops (Temporary),2022-23,172,2983
,2021-22,179,3087
,2020-21,192,3333
Sugar Crops (Permanent),2022-23,70,522
,2021-22,100,471
,2020-21,193,474
Fruits (Temporary),2022-23,224,1646
,2021-22,205,1634
,2020-21,207,1429
Fruits (Permanent),2022-23,890,4013
,2021-22,896,3700
,2020-21,996,3714
