District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden
(M. Tons)",,
55,Kurigram,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
56,Lalmonirhat,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
57,Nilphamari,2,2.65,2.85,0,0.00,0.00,2,9.88,7.34,2,9.88,7.34
58,Panchagar,14,13.30,13.16,0,0.00,0.00,20,19.38,18.58,20,19.38,18.58
59,Rangpur,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
60,Thakurgaon,3,5.85,6.04,0,0.00,29.67,29,28.11,29.67,29,28.11,59.34
7,Rangpur Divison,21,22.89,23.09,1,0.16,29.82,53,59.31,57.58,54,59.47,87.40
61,Habiganj,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
62,Moulvibazar,11,1.00,0.46,0,0.00,0.00,5,2.56,1.75,5,2.56,1.75
63,Sunamganj,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
64,Sylhet,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
8,Sylhet Division,11,1.00,0.46,0,0.00,0.00,5,2.56,1.75,5,2.56,1.75
BANGLADESH,,1683,1635.52,1661.43,119,171.27,90.97,7438.45,6297.07,6717.59,6573.45,6468.34,6808.56
