District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
,,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23
1,Barguna,503,685.90,604.28,0,0,0.00,503,285,301.00,503,285,301.00
2,Barishal,333,399.00,225.00,34,20.45,25.59,466,1317.55,1337.41,500,1338,1363.00
3,Bhola,310,330.00,97.34,16,18.34,19.15,408,451.13,453.87,424,469.47,473.02
4,Jhallokati,447,473.00,497.00,0,45.42,69.05,634,311.58,353.95,634,357,423.00
5,Patuakhali,201,201.94,207.62,0,368.44,0.00,534,377.37,378.69,534,745.81,378.69
6,Pirojpur,81,102.30,104.18,154,105.81,105.54,456,345.79,343.56,610,451.6,449.10
1,Barishal Division,1875,2192.14,1735.42,204,558.46,219.33,3001,3088.42,3168.48,3205,3646.88,3387.81
7,Bandarban,312,310.00,312.90,57,28.78,45.26,482,396.98,387.11,539,425.76,432.37
8,Brahmanbaria,350,360.93,294.23,0,0,0.00,1153,1281.03,1320.81,1153,1281.03,1320.81
9,Chandpur,200,100.96,108.54,0,0,0.00,592,468.71,549.02,592,468.71,549.02
10,Chattogram,2186,2229.24,458.03,16,14.85,13.32,4004,3659.22,3664.17,4020,3674.07,3677.49
11,Cumilla,1526,1224.59,1224.00,209,204.93,206.89,4080,4070.07,4068.11,4289,4275,4275.00
12,Cox’s Bazar,300,272.69,273.60,208,101.74,102.78,2887,981.48,992.74,3095,1083.22,1095.52
13,Feni,220,267.89,182.32,0,0,0.00,348,284.79,221.00,348,284.79,221.00
14,Khagrachari,332,344.00,381.69,36,65.45,364.99,715,708.8,586.92,751,774.25,951.91
15,Lakshmipur,265,243.78,85.72,0,36.32,34.86,664,87.68,88.63,664,124,123.49
16,Noakhali,300,274.55,275.38,0,0,0.00,991,1058.89,1075.35,991,1058.89,1075.35
17,Rangamati,551,510.00,514.59,417,532.12,610.56,1314,1147.58,1142.65,1731,1679.7,1753.21
2,"Chattogram
Division",6542,6138.63,4111.00,943,984.19,1378.66,17230,14145.23,14096.51,18173,15129.42,15475.17
18,Dhaka,700,695.60,316.70,0,0,0.00,1566,1481.64,1620.00,1566,1481.64,1620.00
19,Faridpur,500,520.60,71.00,74,85.86,157.10,624,637.14,608.64,698,723,765.74
20,Gazipur,300,288.00,291.00,135,139.79,142.91,462,471.21,495.09,597,611,638.00
21,Gopalganj,503,515.00,147.67,0,0,152.76,722,502.23,652.66,722,502.23,805.42
22,Kishoreganj,470,331.23,220.28,0,36.24,37.48,1594,1627.24,1590.52,1594,1663.48,1628.00
23,Madaripur,400,408.10,95.57,16,31.28,33.18,1430,1296.84,1221.17,1446,1328.12,1254.35
24,Manikganj,371,385.50,264.81,62,134.38,139.26,733,644.57,656.24,795,778.95,795.50
25,Munshiganj,150,163.48,54.39,0,0,0.00,323,295.86,303.41,323,295.86,303.41
26,Narayanganj,200,149.93,94.05,14,10.13,9.69,397,308.93,349.88,411,319.06,359.57
27,Narsingdi,376,386.30,91.48,90,140.5,157.01,702,596.68,607.23,792,737.18,764.24
28,Rajbari,320,207.44,51.13,76,48.26,54.14,460,256.66,381.59,536,304.92,435.73
29,Shariatpur,1200,1216.27,171.70,0,0,0.00,2006,1421,1368.70,2006,1421,1368.70
30,Tangail,1370,1390.00,403.00,1161,1154.43,1179.99,1907,1783.57,1375.01,3068,2938,2555.00
3,Dhaka Division,6860,6657.45,2272.78,1628,1780.87,2063.52,12926,11323.57,11230.14,14554,13104.44,13293.66
31,Bagerhat,716,726.15,162.39,234,214.74,102.26,824,884.26,1000.37,1058,1099,1102.63
32,Chuadanga,785,744.67,93.14,1780,1670.92,1645.59,281,266.08,259.90,2061,1937,1905.49
33,Jashore,1100,1183.08,250.24,2367,2025.02,2259.95,1111,953.98,1035.73,3478,2979,3295.68
34,Jhenaidah,700,756.77,239.47,1453,1359.42,1424.08,694,664.58,683.26,2147,2024,2107.34
35,Khulna,550,590.63,232.58,220,191.14,196.98,862,743.86,750.12,1082,935,947.10
36,Kushtia,1400,1545.83,431.00,1213,1139.68,1179.09,1938,1942.32,1929.91,3151,3082,3109.00
37,Magura,1300,1310.00,158.00,326,208.5,269.29,2103,1210.5,1360.43,2429,1419,1629.72
38,Meherpur,400,321.52,101.07,765,460.33,449.61,215,156.67,153.94,980,617,603.55
39,Narail,600,620.45,438.00,643,651.1,637.19,605,906.8,623.81,1248,1557.9,1261.00
40,Satkhira,800,870.96,612.18,1302,824.57,848.73,2325,1266.43,1307.60,3627,2091,2156.33
4,Khulna Division,8351,8670.06,2718.07,10303,8745.42,9012.77,10958,8995.48,9105.07,21261,17740.9,"18117.8
4"
,,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23
41,Jamalpur,950,960.00,543.00,11,10.75,10.56,2638,2513.25,2630.44,2649,2524,2641.00
42,Mymensingh,2032,2090.00,1249.00,1192,1303.59,1338.34,5202,5753.41,5846.66,6394,7057,7185.00
43,Netrokona,361,373.81,557.78,0,0,14.28,2239,1770,1685.72,2239,1770,1700.00
44,Sherpur,400,450.85,221.38,66,68.16,74.36,1224,1106.84,1165.64,1290,1175,1240.00
5,"Mymensingh
Division",3743,3874.66,2571.16,1269,1382.5,1437.54,11303,11143.5,11328.46,12572,12526,12766.00
45,Bogura,950,1042.45,252.43,750,559.18,563.56,2254,2513.25,1140.38,3004,3072.43,1703.94
46,Joypurhat,450,497.20,149.44,106,98.16,82.44,1550,1425.04,1403.77,1656,1523.2,1486.21
47,Naogaon,600,942.88,233.24,1026,1124.78,1562.62,1877,1250.09,1332.99,2903,2374.87,2895.61
48,Natore,900,990.07,230.13,1360,873.66,1163.65,1636,642.81,788.90,2996,1516.47,1952.55
49,Chapai Nawabganj,780,1200.31,330.97,2193,1863.76,1811.59,545,516.33,767.93,2738,2380.09,2579.52
50,Pabna,800,824.58,162.91,523,450.1,1113.63,1567,1302.71,1468.50,2090,1752.81,2582.13
51,Rajshahi,2350,2391.76,689.89,7958,7232.86,7367.09,1368,1304.69,1292.46,9326,8537.55,8659.55
52,Sirajganj,350,475.28,73.48,17,36.79,39.09,1371,1363.13,1363.13,1388,1399.92,1517.80
6,Rajshahi Division,7180,8364.53,2122.49,13933,12239.29,13703.67,12168,10318.05,9558.06,26101,22557.34,23261.73
53,Dinajpur,490,610.00,163.00,411,331.2,346.30,730,572.8,595.70,1141,904,942.00
54,Gaibandha,300,310.55,75.40,162,94.96,99.06,358,232.45,378.06,520,327.41,477.12
55,Kurigram,120,176.33,76.53,53,43.33,47.61,347,313.85,310.46,400,357.18,358.07
56,Lalmonirhat,200,220.62,64.32,40,35.9,30.13,190,172.4,152.37,230,208.3,182.50
57,Nilphamari,650,696.01,129.75,707,710.43,730.03,1335,1284.51,1331.68,2042,1994.94,2061.71
58,Panchagar,220,230.53,99.07,182,123.11,125.18,303,274.99,286.16,485,398.1,411.34
59,Rangpur,320,345.20,79.03,261,193.06,200.12,577,374.14,398.98,838,567.2,599.10
60,Thakurgaon,150,200.98,49.77,37,31.83,32.18,519,509.45,517.58,556,541.28,549.76
7,Rangpur Divison,2450,2790.22,736.87,1853,1563.82,1610.61,4359,3734.59,3970.99,6212,5298.41,5581.60
61,Habiganj,181,195.46,191.14,0,0,0.00,552,579.47,587.88,552,579.47,587.88
62,Moulvibazar,390,420.89,172.67,86,92.58,144.64,1828,1436.84,1201.96,1914,1529.42,1346.60
63,Sunamganj,400,407.58,250.00,0,0,0.00,1243,1253,1312.00,1243,1253,1312.00
64,Sylhet,680,725.00,476.20,128,43.67,221.98,2043,1468.45,1492.02,2171,1512.12,1714.00
8,Sylhet Division,1651,1748.93,1090.01,214,136.25,366.62,5666,4737.76,4593.86,5880,4874.01,4960.48
BANGLADESH,,38652,"40436.6
2","17357.8
0",30347,27390.8,29792.72,77611,67486.6,67051.57,107958,94877.4,96844.29
