District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M. Tons)",,
,,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23
51,Rajshahi,677.74,679,706.86,89.07,87,79.52,2613.93,3311,"3178.2
8",2703,3398,"3257.8
0"
52,Sirajganj,30.52,30,30.11,0,0,0.00,208.47,168,155.96,208.47,168,155.96
6,Rajshahi Division,2856.78,2799,2356.14,306.76,259.36,293.91,7989.54,8932.64,9391.13,8296.3,9192,9685.04
53,Dinajpur,80.92,80,75.41,3.20,1,0.82,947.80,478,285.36,951,479,286.18
54,Gaibandha,41.15,34.92,38.19,0,0,0.00,138,115.98,139.20,138,115.98,139.20
55,Kurigram,36.95,33.29,27.55,0,0,0.00,176.24,194.71,157.13,176.24,194.71,157.13
56,Lalmonirhat,33.63,34.49,34.78,0,0,0.00,49.14,51.44,75.64,49.14,51.44,75.64
57,Nilphamari,8.03,42.65,9.50,0,0,0.00,80.32,61.98,59.04,80.32,61.98,59.04
58,Panchagar,5.54,5.50,5.55,0,0,0.00,18.63,18.21,26.27,18.63,18.21,26.27
59,Rangpur,38.47,38.14,37.81,0,0,0.00,149.40,154.21,156.36,149.4,154.21,156.36
60,Tahkurgaon,5.25,57.08,6.32,0,0,0.00,30.29,61.60,33.40,30.29,61.60,33.40
7,Rangpur Division,249.94,326.07,235.11,3.20,1,0.82,1589.82,1136.13,932.40,1593.02,1137.13,933.22
61,Habigonj,46.00,38,91.00,10.09,0,0.00,33.91,72.82,95.00,44,72.82,95.00
62,Moulvibazar,20.00,7.97,8.53,0,0,0.00,39.13,38.75,39.86,39.13,38.75,39.86
63,Sunamganj,0.00,0,0.00,0,0,0.00,0,0,0.00,0,0,0.00
64,Sylhet,254.00,266,6.00,184.44,0,0.00,759.56,15.10,27.12,944,15.10,27.12
8,Sylhet Division,363.41,312.17,105.53,194.53,0,0.00,832.6,126.67,161.98,1027.13,126.67,161.98
BANGLADESH,,23441.54,21628.56,15680.05,2717.20,1963.60,1921.50,37470.51,38245.74,37828.34,40187.71,40209.34,39749.84
