District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M. Tons)",,
25,Munshiganj,97,99.92,102.38,0,13.59,16.35,600,814.06,928.55,600,827.65,944.90
26,Narayanganj,48,43.96,56.07,165,169.65,171.94,861,632.59,632.19,1026,802.24,804.13
27,Narsingdi,293,418.05,417.95,4974,4516.17,2757.36,587,1584.83,1011.82,5561,6101,3769.18
28,Rajbari,513,543.00,585.00,2314,2645.20,2517.02,3813,3492.80,2995.81,6127,6138,5512.83
29,Shariatpur,98,97.45,97.45,299,307.53,307.53,821,911.86,911.47,1120,1219.39,1219.00
30,Tangail,394,397.45,394.19,1547,1683.59,1856.40,3437.74,3593.79,3988.50,4984.74,5277.38,5844.90
3,Dhaka Division,5754,3368.41,3420.05,15647,"16443.0
7","15294.3
1",33534.74,"25250.5
9","25416.5
3","49181.7
4","41693.6
6","40710.8
4"
31,Bagerhat,83,107,151.37,82,114.98,73.88,1352,1253.62,1639.42,1434,1368.60,1713.30
32,Chuadanga,142,137.06,139.08,2548,2532.22,2660.47,1060,1038.08,1078.83,3608,3570.30,3739.30
33,Jashore,841,239.94,865.29,13326,1712.21,"14040.4
1",3693,"15631.7
9",3940.59,17019,"17344.0
0","17981.0
0"
34,Jhenaidah,489,499.04,503.53,2129,2152.96,2270.24,4220,3949.84,4119.86,6349,6102.80,6390.10
35,Khulna,171,172.72,173.91,351,318.86,339.90,2223,2214.84,2236.60,2574,2533.70,2576.50
36,Kushtia,300,29.00,258.00,1655,2319.1,2608.95,3411,5554.9,5251.45,5066,7874,7860.40
37,Magura,752,297.18,299.33,4464,4485.44,4501.88,2176,2237.36,2247.32,6640,6722.80,6749.20
38,Meherpur,85,100.17,104.90,1379,2014.69,1902.00,426,392.31,743.40,1805,2407,2645.40
39,Narail,365,365,391.38,1606,1612.36,1611.26,2177,2234.44,2249.34,3783,3846.80,3860.60
40,Satkhira,341,407.04,408.81,1744,1746.27,1872.88,1310,1079.73,1189.52,3054,2826,3062.40
,,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23,2020-21,2021-22,2022-23
4,Khulna Division,3569,2354.15,3295.60,29284,19009.09,31881.87,22048,35586.91,24696.33,51332,54596.00,56578.20
41,Jamalpur,304,308.00,329.00,798,528.48,851.97,4506,4866.52,5044.03,5304,5395,5896.00
42,Mymensingh,1234,3247.00,3274.00,7522,7642.49,7980.10,15271,"15572.5
1","15955.9
0",22793,23215,"23936.0
0"
43,Netrokona,191,174.00,172.00,106,42.49,176.43,3411,3382.51,3171.57,3517,3425,3348.00
44,Sherpur,217,194.00,219.00,677,699.15,692.69,2182,1542.85,2199.31,2859,2242,2892.00
5,"Mymensingh
Division",1946,3923,3994.00,9103,8912.61,9701.19,25370,25364.39,26370.81,34473,34277,36072.00
45,Bogura,436.60,441.00,432.39,5232,5299.08,5587.79,1869,1764.92,1859.11,7101,7064,7446.90
46,Joypurhat,62.12,74.00,98.78,928,891.18,338.00,835,983.82,850.80,1763,1875,1188.80
47,Naogaon,142.50,147.00,154.01,357,455.27,1030.36,1551,1832.73,1970.24,1908,2288,3000.60
48,Natore,313.63,280,354.51,2513,3725.28,4371.06,3478,3738.72,4749.04,5991,7464,9120.10
49,Chapai Nawabganj,244.79,253,254.34,1397,1476.14,1595.92,1763,1889.86,1967.68,3160,3366,3563.60
50,Pabna,495.81,497,492.00,1589,1626.4,1829.45,5805,5870.30,7088.95,7394,7496.70,8918.40
51,Rajshahi,1476,1687,1608.59,49450,64551,"64986.4
8",10203,11258,"11538.4
2",59653,75809,"76524.9
0"
52,Sirajganj,297.66,294,295.06,310,343.98,434.02,3643,4187.02,5176.48,3953,4531,5610.50
6,Rajshahi Division,3469.11,3673,3689.68,61776,78368.33,80173.08,29147,31525.37,35200.72,90923,"109893.7
0","115373.8
0"
53,Dinajpur,437,416.00,388.85,1120,1289.65,1362.71,2718,2846.35,3011.02,3838,4136,4373.73
54,Gaibandha,177.46,178.56,166.66,675,681.56,761.24,1154,1314.30,1286.92,1829,1995.86,2048.16
55,Kurigram,184.15,176.93,171.97,193,159.60,185.06,1994,1648.95,1884.30,2187,1808.55,2069.36
56,Lalmonirhat,168.54,158.05,158.34,332,338.60,335.52,1216,1192.83,1176.60,1548,1531.43,1512.12
57,Nilphamari,69.42,81.4,81.42,138,162.44,168.59,1880,2452.43,2465.70,2018,2614.87,2634.29
58,Panchagar,74.71,76.57,78.57,298,309.13,320.67,1436,1441.87,1480.16,1734,1751,1800.83
59,Rangpur,234.12,234.89,246.29,973,1055,1035.60,2468,2621.10,2678.80,3441,3676.10,3714.40
60,Thakurgaon,91.74,92.28,92.45,544,564.91,566.33,749,776.23,784.67,1293,1341.14,1351.00
7,Rangpur Divison,1437.14,1414.68,1384.55,4273,4560.89,4735.72,13615,14294.06,14768.17,17888,18854.95,19503.89
61,Habiganj,8.58,40.21,47.52,24,99.60,96.40,696.68,311.81,374.19,720.68,411.41,470.59
62,Moulvibazar,263.19,224.41,85.50,100.70,100.80,112.85,1303.50,1311.50,1294.11,1404.20,1412.30,1406.96
63,Sunamganj,74,52.90,53.50,75.64,0,0.00,1.10,403,412.00,76.74,403,412.00
64,Sylhet,278.86,179.00,255.00,247.69,236.08,233.20,768.35,879.92,925.80,1016.04,1116,1159.00
8,Sylhet Division,624.63,496.52,441.52,448.03,436.48,442.45,2769.63,2906.23,3006.10,3217.66,3342.71,3448.55
BANGLADESH,,26393.13,21923.94,21833.20,130608.27,"137863.6
6","152343.1
8",161732.83,170071.6,"163812.7
0","292341.1
0","307935.2
6","316155.8
8"
