District/ Division,,2021-22,,,,,2022-23,,,,
,,Area,,Yield Rate,,"Productio
n",Area,,Yield Rate,,"Producti
on"
50,Pabna,87543,35428,12.86,1.186,42023,81605,33025,13.27,1.224,40422
51,Rajshahi,0,0,0.00,0.000,0,0,0,0.00,0.000,0
52,Sirajganj,34486,13962,14.39,1.327,18524,30493,12345,14.80,1.365,16846
6,"Rajshahi
Division",162563,65800,13.54,1.249,82158,149584,60546,14.04,1.295,78414
53,Dinajpur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
54,Gaibandha,0,0,0.00,0.000,0,0,0,0.00,0.000,0
55,Kurigram,0,0,0.00,0.000,0,0,0,0.00,0.000,0
56,Lalmonirhat,0,0,0.00,0.000,0,0,0,0.00,0.000,0
57,Nilphamari,0,0,0.00,0.000,0,0,0,0.00,0.000,0
58,Panchagar,0,0,0.00,0.000,0,0,0,0.00,0.000,0
59,Rangpur,0,0,0.00,0.000,0,0,0,0.00,0.000,0
60,Thakurgaon,0,0,0.00,0.000,0,0,0,0.00,0.000,0
7,"Rangpur
Divison",0,0,0.00,0.000,0,0,0,0.00,0.000,0
61,Habiganj,43596,17643,12.92,1.192,21025,8485,3434,13.02,1.201,4124
62,Moulvibazar,369,149,13.56,1.251,187,478,193,14.20,1.310,253
63,Sunamganj,10,4,12.98,1.197,5,15,6,13.50,1.245,8
64,Sylhet,4224,1709,14.85,1.370,2341,3480,1408,15.20,1.402,1974
8,"Sylhet
Division",48199,19506,13.09,1.208,23558,12458,5042,13.67,1.261,6359
Bangladesh,,614084,248528,11.86,1.094,271791,541716,219264,11.90,1.097,240642
