District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M. Tons)",,
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
1,Barguna,1259,1462,2350,114,144,235,653,640,730,767,784,965
2,Barishal,3594,3601,3520,1712,2108,2204,5978,7650,8043,7690,9758,10247
3,Bhola,141.15,155,116,0,0,8,1111,1176,1163,1111,1176,1171
4,Jhallokati,2645,3006,2987,4461,3534,3527,1080,1952,1718,5541,5486,5245
5,Patuakhali,2661,640,288,0,0,0,2065,1284,1262,2065,1284,1262
6,Pirojpur,2694,2694,2093,27173,27154,27153,3505,3535,3640,30678,30689,30793
1,Barishal Division,12994.15,11558,11354,33460,32940,33127,14392,16237,16556,47852,49177,49683
7,Bandarban,2302,843,846,354,356,374,281,0,277,635,356,651
8,Brahmanbaria,637.75,653,657,1297,1305,1352,2018,0,2093,3315,1305,3445
9,Chandpur,191.74,176,169,0,0,0,2865,2536,1626,2865,2536,1626
10,Chattogram,5462.58,5327,5306,301441,35664,35360,2769,6420,6622,33210,42084,41982
11,Cumilla,1757.59,1518,1539,1959,510,510,4564,5395,5518,6523,5905,6028
12,Cox’s Bazar,236.71,4941,285,430,425,421,1097,1316,1308,1527,1741,1729
13,Feni,191.40,189,190,91,96,96,581,587,589,672,683,685
14,Khagrachari,601.88,607,633,380,380,367,1070,1098,1121,1450,1478,1488
15,Lakshmipur,159.50,66,71,0,0,0,1004,1004,1005,1004,1004,1005
16,Noakhali,241.14,361,363,00,0,0,1235,1781,1970,1235,1781,1970
17,Rangamati,883.41,1051,1053,2009,3478,3397,2319,2977,2932,4328,6455,6329
2,"Chattogram
Division",12665.70,15732,11112,36961,42214,41877,19803,23114,25061,56764,65328,66938
18,Dhaka,272,272,271,1950,2111,2177,2159,1890,1696,3640,4001,3873
19,Faridpur,237,241,300,321,247,247,1160,1114,1169,1435,1361,1416
20,Gazipur,6959,6943,3108,3626,3635,3098,6712,2261,1829,5562,5896,4927
21,Gopalganj,276,277,279,0,0,0,1160,1746,1781,1708,1746,1781
22,Kishoreganj,177,157,224,212,99,276,2402,1134,2621,1992,1233,2897
23,Madaripur,160,110,162,99,203,166,648,314,575,650,517,741
24,Manikganj,200,193,196,298,314,300,1662,1098,1051,1451,1412,1351
25,Munshiganj,92,87,86,29,25,26,1378,554,568,662,579,594
26,Narayanganj,37.88,46,46,301,331,361,1357,575,600,838,906,961
27,Narsingdi,281,280,302,1300,1301,1345,4375,2978,2987,4237,4279,4332
28,Rajbari,513,300,300,361,388,330,1441,1367,1480,1372,1755,1810
29,Shariatpur,1308,280,292,1600,99,113,687,1134,1087,1727,1233,1200
30,Tangail,403,6251,399,845,983,870,3955,3148,3381,4095,4131,4251
3,Dhaka Division,10915.88,15437,5965,10942,9736,9309,29126,19313,20825,29369,29049,30134
31,Bagerhat,114,176,231,82,291,370,1451,1197,1493,1452,1488,1863
32,Chuadanga,196,203,204,898,969,999,1861,976,1006,1861,1945,2005
33,Jashore,1001,1025,1045,3116,3298,3391,7478,4172,4334,7475,7470,7725
34,Jhenaidah,418,388,414,1752,1774,1792,4674,3154,3112,5263,4928,4904
35,Khulna,433,357,446,26,152,127,2413,2546,2082,2134,2698,2209
36,Kushtia,421,427,449,2409,2409,2346,4455,4845,4908,6864,7254,7254
37,Magura,161,280,219,1385,1348,1299,1095,1132,1090,2480,2480,2389
38,Meherpur,294,261,315,454,589,797,603,599,769,1057,1188,1566
39,Narail,386,386,386,540,158,166,1429,1819,1847,1969,1977,2013
40,Satkhira,924,676,705,439,742,586,1153,1710,1166,1592,2452,1752
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
4,Khulna Division,4348,4179,4414,11101,11730,11873,21046,22150,21807,32147,33880,33680
41,Jamalpur,13914,646,650,0,33,23,2338,3665,3696,2338,3698,3719
42,Mymensingh,547,1428,1532,663,275,248,2467,3865,3781,3130,4140,4029
43,Netrokona,602,348,247,138,181,96,1290,1817,2319,1428,1998,2415
44,Sherpur,2344,304,303,37,91,102,991,1088,1103,1028,1179,1205
5,"Mymensingh
Division",17407,2726,2732,838,580,469,7086,10435,10899,7924,11015,11368
45,Bogura,359,364,351,895,742,661,4646,3761,3304,5541,4503,3965
46,Joypurhat,94.17,105,106,107,133,123,606,670,571,713,803,694
47,Naogaon,403,403,418,91,86,123,1625,1630,1623,1716,1716,1746
48,Natore,553,520,535,2510,2262,2165,1366,3135,2600,3876,5397,4765
49,Chapai Nawabganj,686,818,840,2546,2721,2920,1143,1271,1351,3689,3992,4271
50,Pabna,529,532,537,4006,4006,4142,2846,2811,2844,6852,6817,6986
51,Rajshahi,1628,1510,1569,5179,6019,7192,1764,2858,2878,6943,8877,10070
52,Sirajganj,163,136,158,596,585,484,2719,2593,2419,3315,3178,2903
6,Rajshahi Division,4415,4388,4514,15930,16554,17810,16715,18729,17590,32645,35283,35400
53,Dinajpur,490,468,373,326,335,313,2091,2064,1784,2417,2399,2097
54,Gaibandha,287,288,279,0,0,0,1259,1293,1389,1259,1293,1389
55,Kurigram,67,178,141,72,72,94,833,852,834,905,924,928
56,Lalmonirhat,335,345,331,367,392,289,955,1065,803,1322,1457,1092
57,Nilphamari,147,137,140,51,52,59,1587,1505,1516,1638,1557,1575
58,Panchagar,221,228,381,190,156,158,1632,1325,1340,1822,1481,1498
59,Rangpur,187,193,209,161,165,167,1514,1549,1346,1675,1714,1513
60,Thakurgaon,147,146,112,258,249,170,839,857,562,1097,1106,732
7,Rangpur Divison,1887,1983,1966,1425,1421,1250,10710,10510,9574,12135,11931,10824
61,Habiganj,546,513,546,368,551,378,1707,2937,1697,2075,3488,2075
62,Moulvibazar,407,322,301,1384,1380,1116,1602,1306,1374,2386,2686,2490
63,Sunamganj,1318,1318,1324,0,0,0,556,556,596,556,556,596
64,Sylhet,447,462,514,235,107,150,1340,1457,1519,1575,1564,1669
8,Sylhet Division,2718,2615,2685,1987,2038,1644,5205,6256,5186,7192,8294,6830
BANGLADESH,,67344.92,58618,44742,112644,117213,117359,113384,126744,"12749
8",226028,"24395
7","24485
7"
