District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden (M.
Tons)",,
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
1,Barguna,16207,18624.38,4196.70,747,780.22,784.83,1127,504.77,523.17,1874,1284.99,1308
2,Barishal,1116,6424.89,6349,1523,1465.34,1495.87,1267,1364.65,1334.13,2790,2829.99,2830
3,Bhola,5358,6031.30,5307.15,8987,"10260.8
3","12546.0
3",6012,1655.66,1888.57,14999,11916.49,14434.6
4,Jhallokati,1053,1896,1901.23,1089,990,1115.74,1113,1268.06,1373.26,2202,2258.06,2489
5,Patuakhali,720,3284.11,2760,1129,1233.82,1406.29,1466,1361.17,1546.67,2595,2594.99,2952.96
6,Pirojpur,3238,6776.46,6831.92,3881,3725.95,3761.58,3209,2523.04,2519.42,7090,6248.99,6281
1,Barishal Division,12299,43037.14,"27346.0
0",17356,"18456.1
6","21110.3
4",14194,8677.35,9185.22,31550,27133.51,30295.56
7,Bandarban,29,131.38,134,88,83.91,80.74,124,128.47,132.26,212,212.38,213
8,Brahmanbaria,218,483.16,474,10,9.74,10.35,1188,1144.96,1141.65,1198,1154.7,1152
9,Chandpur,566,614.18,606,674,1771.76,1363.43,553,880.53,384.57,1227,2652.29,1748
10,Chattogram,1543,1067.12,1013,6612,5650.78,4781.38,4773,5017.02,4990.62,11385,10667.8,9772
11,Cumilla,263,466.69,345,582,608.18,768.2,1013,985.18,1042.8,1595,1593.36,1811
12,Cox’s Bazar,2421,10171.50,9788,42513,"48828.1
9","51100.6
1",13567,6768.74,8145.39,56080,55596.93,59246
13,Feni,1536,3289.28,3290,461,353.67,307.59,1179,1666.96,1713.41,1640,2020.63,2021
14,Khagrachari,83,412.81,419,41,45.02,50.4,265,278.14,295.6,306,323.16,346
15,Lakshmipur,49639,13581,15917,49032,"145684.
33","121322.
28",84532,5900.67,5127.72,"13356
4",151585,126450
16,Noakhali,1573,1709.53,1722,491,483.93,514.92,3332,3499.36,4110.08,3823,3983.29,4625
17,Rangamati,209,307.71,307,527,209.26,231.37,146,416.53,412.63,673,625.79,644
2,"Chattogram
Division",58081,32234.36,34015,101031,"203728.
77","180531.
27",110672,"26686.5
6",27496.73,"21170
3",230415.33,208028
