District/ Division,,2020-2021,,,,,2021-2022,,,,
,,Area,,Yield Rate,,"Product
ion",Area,,Yield Rate,,"Producti
on"
,,Acres,Hectors,"Acres
(Maund
)","Hector
s (M.
Ton)","(M.
Ton)",Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton)
1,Barguna,125364,50732,16.19,1.493,75761,107509,43508,17.83,1.645,71552
2,Barishal,183604,74301,17.37,1.602,119044,175540,71040,17.56,1.620,115061
3,Bhola,77641,31420,19.06,1.758,55238,54476,22046,18.57,1.713,37761
4,Jhallokati,92995,37633,19.17,1.768,66544,89518,36227,19.09,1.761,63789
5,Patuakhali,249094,100803,13.19,1.216,122641,213812,86529,13.42,1.238,107106
6,Pirojpur,124484,50376,15.62,1.440,72581,126820,51323,13.29,1.226,62913
1,"Barishal
Division",853182,345264,"16.070
9",1.482,511810,767675,"31067
4",15.99,1.475,458181
7,Bandarban,733,297,16.52,1.523,452,719,291,16.10,1.485,432
8,Brahmanbaria,12454,5040,18.06,1.665,8396,12723,5149,17.04,1.572,8092
9,Chandpur,22354,9046,13.22,1.219,11031,8253,3340,14.09,1.300,4341
10,Chattogram,66705,26994,16.85,1.554,41955,66443,26889,17.20,1.586,42658
11,Cumilla,6768,2739,14.55,1.342,3676,24767,10023,15.66,1.444,14477
12,Cox’s Bazar,6260,2533,15.99,1.474,3736,6228,2521,13.88,1.280,3227
13,Feni,15973,6464,17.61,1.624,10500,15810,6398,18.30,1.688,10800
14,Khagrachari,3661,1482,16.94,1.562,2315,3750,1518,17.06,1.574,2388
15,Lakshmipur,28813,11660,17.67,1.629,19004,22828,9238,17.78,1.640,15150
16,Noakhali,80854,32720,15.39,1.419,46448,74104,29989,15.14,1.396,41879
17,Rangamati,574,232,14.25,1.314,305,519,210,14.85,1.370,288
2,"Chattogram
Division",245149,99207,"16.153
6",1.490,147818,236143,95566,16.31,1.504,143732
18,Dhaka,4731,1915,26.89,2.480,4749,4988,2019,24.06,2.219,4480
19,Faridpur,6713,12801,13.39,1.235,15811,5764,2333,13.82,1.275,2973
20,Gazipur,8225,3328,13.84,1.276,4249,8070,3266,13.52,1.247,4073
21,Gopalganj,0,0,0,0,0,5626,2277,15.24,1.406,3200
22,Kishoreganj,8048,3257,12.9,1.189,3875,6613,2676,14.24,1.313,3515
23,Madaripur,11367,4600,14.21,"1.310
7",6029,12926,5231,15.08,1.391,7276
24,Manikganj,1655,670,10.09,0.930,623,457,185,11.21,1.034,191
25,Munshiganj,0,0,0,0,0,0,0,0.00,0.000,0
26,Narayanganj,1747,707,11.92,1.099,777,1490,603,12.23,1.128,680
27,Narsingdi,15197,6150,15.62,1.440,8861,16002,6476,16.09,1.484,9611
28,Rajbari,1025,415,18.05,1.664,691,1436,581,16.95,1.563,909
29,Shariatpur,8830,3573,16.71,1.541,5507,7966,3224,17.82,1.644,5299
30,Tangail,57383.88,23222,16.50,1.522,35343,48145,19484,17.23,1.589,30965
3,"Dhaka
Division",124923,60638,"18.553
4",1.426,86515,119483,48354,16.41,1.513,73171
31,Bagerhat,89394,36176,16.47,1.519,54971,84055,34017,17.25,1.591,54123
32,Chuadanga,0,0,0,0,0,0,0,0.00,0.000,0
33,Jashore,4157,1682,16.72,1.542,2594,3363,1361,16.58,1.529,2081
34,Jhenaidah,0,0,0,0,0,0,0,0.00,0.000,0
35,Khulna,49866,20180,23.69,2.184,44089,48715,19715,23.54,2.171,42805
36,Kushtia,3343,1353,17.38,1.603,2169,3061,1239,17.68,1.631,2020
37,Magura,1889,764,19.63,1.811,1384,1620,656,19.82,1.828,1199
,,Area,,Yield Rate,,"Product
ion",Area,,Yield Rate,,"Producti
on"
,,Acres,Hectors,"Acres
(Maund
)","Hector
s (M.
Ton)","(M.
Ton)",Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton)
38,Meherpur,0,0,0,0,0,0,0,0.00,0.000,0
39,Narail,11737,4750,12.01,1.107,5262,10136,4102,12.07,1.113,4567
40,Satkhira,5711,2311,17.15,1.581,3656,3064,1240,16.51,1.523,1889
4,"Khulna
Division",166097,67216,18.41,"1.697
9",114124,154014,62329,18.90,1.744,108683
41,Jamalpur,46399,18777,16.74,1.544,28993,31766,12856,15.07,1.390,17869
42,Mymensingh,100124,40518,17.64,1.627,65933,97841,39596,17.80,1.642,65008
43,Netrokona,52140,21100,17.22,1.588,33522,41641,16852,16.75,1.545,26035
44,Sherpur,64604,26144,19.19,1.770,46281,60033,24295,19.35,1.785,43361
5,"Mymensingh
Division",263267,106538,17.78,1.640,174729,231281,93598,17.64,1.627,152274
45,Bogura,16889,6835,14.7,1.355,9267,12059,4880,15.25,1.407,6864
46,Joypurhat,1730,700,19.26,1.776,1244,1380,558,19.62,1.810,1011
47,Naogaon,61315,24813,21.81,2.011,49917,63513,25714,20.04,1.848,47510
48,Natore,1908,772,17.14,1.580,1221,1945,787,18.87,1.740,1370
49,"Chapai
Nawabganj",5125,2074,18.54,1.710,3547,5203,2106,19.05,1.757,3700
50,Pabna,1668,675,13.55,1.249,844,1879,760,15.40,1.420,1080
51,Rajshahi,1169,473,16.52,1.523,721,1133,459,16.79,1.549,710
52,Sirajganj,11337,4588,15.45,1.425,6538,8970,3631,15.76,1.453,5277
6,"Rajshahi
Division",101141,40929,19.42,1.790,73298,96082,38896,18.83,1.736,67522
53,Dinajpur,15934,6448,20.38,1.879,12121,15170,6139,20.20,1.863,11438
54,Gaibandha,21436,8675,12.55,1.157,10042,13706,5547,17.92,1.653,9168
55,Kurigram,30217,12228,19.25,1.775,21712,30717,12431,16.88,1.557,19354
56,Lalmonirhat,111,45,16.55,1.526,69,89,36,15.32,1.412,51
57,Nilphamari,1231,498,17.99,1.659,826,1129,457,16.35,1.508,689
58,Panchagar,1339,542,17.86,1.647,893,1350,546,18.64,1.719,939
59,Rangpur,1686,682,15.63,1.441,984,1462,592,15.02,1.385,820
60,Thakurgaon,3101,1255,16.89,1.557,1955,235,95,16.92,1.560,148
7,"Rangpur
Divison",75054,30373,17.35,1.600,48602,63858,25843,17.88,1.649,42608
61,Habiganj,5436,2200,19.73,1.820,4004,3212,1300,22.23,2.050,2665
62,Moulvibazar,3544,1434,18.89,1.742,2499,3400,1376,19.09,1.761,2423
63,Sunamganj,40854,16533,15.75,1.453,24018,36447,14750,15.90,1.467,21631
64,Sylhet,79120,32018,12.06,1.112,35617,74075,29978,12.62,1.164,34895
8,"Sylhet
Division",128954,52185,13.74,1.267,66138,117134,47404,14.09,1.300,61614
Bangladesh,,"195776
8",802350,16.74,1.524,1223034,1785670,"72266
3",16.62,1.533,1107786
