District/ Division,,2020-21,,,,,2021-22,,,,
,,Area,,Yield Rate,,"Productio
n",Area,,Yield Rate,,"Producti
on"
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund
)","Hectors
(M.
Ton)",(M. Ton)
1,Barguna,"13682
1",55368,27.42,2.530,140059,115929,46916,25.14,2.319,108783
2,Barishal,44719,18097,20.27,1.896,33829,29100,11777,17.78,1.640,19318
3,Bhola,225181,91126,21.02,1.939,176699,205166,83030,23.61,2.178,180850
4,Jhallokati,39679,16057,28.68,2.646,42484,32944,13332,27.76,2.561,34140
5,Patuakhali,83287,33705,27.25,2.513,84711,73516,29752,26.89,2.480,73795
6,Pirojpur,33909,13722,25.41,2.344,32164,30645,12402,23.84,2.199,27266
1,"Barishal
Division",563596,228075,24.24,2.236,509946,487300,197208,24.42,2.252,444153
7,Bandarban,30323,12271,21.61,1.994,24465,30461,12327,20.51,1.892,23318
8,Brahmanbaria,28171,11400,27.97,2.580,29411,28942,11713,28.02,2.584,30267
9,Chandpur,26157,10585,27.94,2.578,27283,23876,9663,28.91,2.666,25762
10,Chattogram,87232,35301,31.30,2.887,101908,82397,33345,28.88,2.663,88815
11,Cumilla,194395,78668,25.48,2.350,184858,183224,74150,28.38,2.618,194110
12,Cox’s Bazar,7479,3027,28.52,2.630,7961,4976,2014,30.79,2.840,5718
13,Feni,27313,11053,23.96,2.210,24428,26305,10645,24.68,2.276,24231
14,Khagrachari,11154,4514,27.04,2.494,11256,8029,3249,23.17,2.137,6944
15,Lakshmipur,80238,32470,23.73,2.188,71060,65347,26446,25.55,2.357,62330
16,Noakhali,99075,40094,23.26,2.146,86027,89169,36086,27.21,2.510,90574
17,Rangamati,14523,5877,16.77,1.547,9091,13561,5488,15.80,1.457,7996
2,"Chattogram
Division",606059,245259,25.54,2.356,577749,556287,225126,26.97,2.488,560065
18,Dhaka,1454,588,21.18,1.954,1149,1771,717,27.85,2.569,1842
19,Faridpur,21437,8675,16.76,1.546,13413,20190,8171,15.94,1.470,12010
20,Gazipur,3943,1596,34.97,3.226,5147,3805,1540,34.10,3.145,4843
21,Gopalganj,9664,3911,38.37,3.540,13842,6611,2675,24.37,2.247,6013
22,Kishoreganj,66014,26714,28.14,2.595,69329,63128,25548,28.49,2.628,67140
23,Madaripur,4854,1964,18.35,1.692,3324,3111,1259,19.97,1.842,2319
24,Manikganj,8158,3301,22.88,2.110,6967,7193,2911,25.86,2.385,6942
25,Munshiganj,447,181,24.03,2.216,401,411,166,28.86,2.662,443
26,Narayanganj,6054,2450,24.98,2.305,5646,4474,1811,22.19,2.047,3706
27,Narsingdi,3735,1512,29.20,2.693,4071,2562,1037,28.34,2.614,2710
28,Rajbari,6411,2594,18.74,1.729,4485,6126,2479,18.17,1.676,4156
29,Shariatpur,30842,12481,26.34,2.429,30321,23775,9622,26.33,2.429,23371
30,Tangail,2964,1199,23.23,2.142,2569,4280,1732,19.70,1.817,3147
3,Dhaka Division,165976,67167,25.93,2.392,160666,147438,59667,25.19,2.324,138640
31,Bagerhat,14355,5809,29.97,2.765,16061,11900,4816,25.65,2.366,11392
32,Chuadanga,"10557
8",42725,29.15,2.689,114888,97540,39474,30.87,2.848,112404
33,Jashore,41981,16989,33.81,3.119,52983,37305,15097,34.78,3.208,48436
34,Jhenaidah,87423,35378,32.78,3.024,106970,88826,35947,33.86,3.123,112268
35,Khulna,9017,3649,14.68,1.354,4942,7680,3108,14.58,1.345,4179
36,Kushtia,67774,27427,31.28,2.885,79121,67396,27275,31.24,2.881,78586
37,Magura,14520,5876,22.37,2.063,12123,12635,5113,21.95,2.024,10352
38,Meherpur,51464,20826,33.34,3.075,64047,48761,19733,22.47,2.073,40898
,,Area,,Yield Rate,,"Productio
n",Area,,Yield Rate,,"Producti
on"
,,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund
)","Hectors
(M.
Ton)",(M. Ton)
39,Narail,22828,9238,22.50,2.076,19174,18252,7386,20.26,1.869,13805
40,Satkhira,19706,7975,30.63,2.825,22530,16181,6548,31.07,2.866,18766
4,"Khulna
Division",434646,175892,30.38,2.802,492840,406476,164498,29.73,2.742,451086
41,Jamalpur,9975,4037,24.59,2.269,9157,9300,3764,24.10,2.223,8367
42,Mymensingh,58364,23619,25.05,2.311,54574,47650,19284,29.81,2.750,53022
43,Netrokona,3609,1461,25.76,2.376,3470,1615,654,26.52,2.446,1599
44,Sherpur,12847,5199,25.42,2.345,12190,9411,3809,27.45,2.532,9643
5,"Mymensingh
Division",84795,34315,25.08,2.314,79391,67976,27510,28.62,2.640,72631
45,Bogura,79878,32325,26.24,2.420,78226,45372,18362,28.25,2.605,47837
46,Joypurhat,1038,420,25.29,2.333,980,1045,423,24.79,2.287,967
47,Naogaon,158927,64314,28.87,2.663,171272,164064,66396,31.97,2.949,195779
48,Natore,24015,9718,30.85,2.845,27651,21822,8831,28.55,2.633,23255
49,"Chapai
Nawabganj","11272
5",45617,29.29,2.701,123224,104554,42312,31.76,2.929,123948
50,Pabna,59351,24018,22.72,2.096,50334,54458,22039,21.94,2.024,44603
51,Rajshahi,108931,44082,30.85,2.846,125445,112145,45384,31.94,2.946,133706
52,Sirajganj,25932,10494,27.97,2.580,27070,19009,7693,22.61,2.085,16043
6,"Rajshahi
Division",570797,230989,28.36,2.616,604202,522469,211440,30.05,2.772,586139
53,Dinajpur,28663,11599,22.69,2.093,24277,26319,10651,29.72,2.741,29197
54,Gaibandha,34902,14124,22.76,2.099,29653,33688,13633,27.14,2.503,34126
55,Kurigram,16357,6619,22.61,2.085,13802,17819,7211,27.92,2.575,18571
56,Lalmonirhat,27851,11271,27.13,2.502,28204,26594,10762,31.66,2.920,31428
57,Nilphamari,4312,1745,22.15,2.043,3565,4182,1692,28.20,2.601,4402
58,Panchagar,6020,2436,27.52,2.539,6185,6580,2663,28.05,2.587,6890
