Sl no,Name of Comodity,,Year-2020,,,,,,,,,,,,
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
01,Paddy Aman,Fine,3006,3204,3307,3265,3238,3198,3268,3177,3203,2812,2988,3004,3139
02,",,",Medium,2780,2990,3064,2984,2962,2980,2958,2925,2780,2612,2574,2595,2850
03,",,",Coarse,2543,2732,2844,2762,2730,2691,2656,2620,2455,2260,2360,2398,2588
04,",,",Pajam,3450,-,-,-,2975,2975,-,-,-,-,-,3053,3113
05,‘’,shugandhi,4494,4340,4338,4267,4200,-,-,-,-,-,-,4654,4382
06,Paddy Aus,medium,2625,2850,2850,2850,2850,2850,2850,2479,2444,2485,2500,2487,2677
07,",,:",coarse,2575,2625,2625,2625,2588,2625,2338,2360,2181,2225,2256,2298,2443
08,Paddy Boro,fine,3199,3327,3449,2783,2467,2668,2893,2961,2948,3005,2984,3084,2981
09,",,",medium,3005,3118,3223,2524,2355,2533,2663,2714,2727,2722,2763,2838,2765
10,‘’,coarse,2716,2823,2884,2187,2106,2320,2425,2458,2450,2415,2418,2498,2475
11,",,",pajam,-,-,-,2450,1975,2387,-,-,-,-,-,-,2271
12,Rice Aman,fine,5619,5756,5900,5908,5851,5781,5852,5843,5836,5774,5748,5817,5807
13,",,",medium,4682,4800,4910,4867,4783,4738,4750,4787,4820,4673,4614,4629,4755
14,",,",coarse,4056,4173,4256,4244,4175,4140,4156,4167,4151,4066,3947,3984,4126
15,",,",pajam,5480,5656,5648,5778,5733,5605,5646,5679,5521,5475,5630,5690,5628
16,Rice boro,fine,5608,5774,5880,5850,5608,5540,5650,5690,5618,5582,5601,5654,5671
17,",,",medium,4889,5014,5102,5022,4717,4675,4767,4811,4767,4711,4706,4745,4827
18,",,",coarse,4096,4183,4295,4268,4055,4049,4115,4151,4087,4024,3972,4012,4109
19,",,",pajam,4475,4267,4292,4450,4225,4781,4800,5367,4633,4800,5150,5170,4701
20,Rice OMS,course,4083,4131,4385,4339,4330,4300,4306,4375,4370,4375,3867,3840,4225
21,Aromatic rice,Chinigura,8663,8661,8651,8659,8575,8488,8519,8516,8527,8519,8532,8600,8576
22,,Kalojira,8084,8065,8035,8067,8000,7973,7948,7911,7954,7979,7988,7979,7999
23,,kataribhog,6539,6525,6631,6591,6645,6632,6629,6631,6730,6701,6688,6770,6643
24,Wheat local,red,2572,2613,2647,2617,2646,2630,2616,2619,2664,2828,2844,2873,2681
25,",,",white,2611,2670,2644,2601,2612,2620,2625,2606,2664,2766,2857,2937,2684
26,Imported,red,-,2650,2750,-,-,2750,2750,2750,2750,2750,-,-,2736
27,",,",white,2636,2690,2762,2680,2738,2721,2711,2727,2714,2840,2920,2966,2759
28,Ata,loose,2651,2712,2719,2694,2657,2644,2594,2633,2768,2908,2987,3055,2752
29,",,",Packet,3020,3077,3108,3107,3100,3096,3085,3108,3231,3318,3410,3525,3182
30,flour,loose,3193,3231,3232,3307,3234,3213,3210,3253,3408,3599,3734,3842,3371
31,",,",packet,4020,4045,4058,4102,4078,4063,4085,4107,4174,4266,4338,4485,4152
32,Maize,-,2022,2064,1986,1964,1967,2065,2212,2254,2413,2480,2545,2555,2211
33,Kalai,mash,8609,8625,8619,8584,8586,8578,8569,8424,9816,8291,8276,9438,8701
34,",,",mashur,6131,6144,6269,6025,6025,6025,6025,6000,6331,5972,6029,9717,6391
35,",,",mug,9186,9172,9180,9171,9156,9144,9156,8618,8553,8656,8666,8734,8949
36,",,",Chola,6837,6828,6800,6850,6835,6824,6832,6669,7257,6498,6746,6519,6791
37,",,",Motor local,5377,5182,5181,5116,5116,4953,5116,5063,5013,5132,5144,5225,5135
38,",,",Motor foreign,3550,3529,3559,3498,3515,3532,3522,3534,4397,3595,3595,3594,3618
39,",,",kheshari,5227,5254,5258,5195,5195,5193,5195,4709,5005,4661,4680,4698,5023
40,Dal,Mash gota,10668,10645,10754,11189,11110,11111,11103,11105,11050,11068,11057,11054,10993
41,",,",Broken,11326,11316,11293,11070,11017,11005,10964,11200,10949,10677,10786,10751,11030
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average
42,",,",Mashur local gota,10293,10288,10535,10778,10091,10083,10099,10077,11862,10268,10245,10225,10404
43,",,",Mashur broken,7389,7393,7484,8076,8889,8041,8089,7632,7550,7353,7371,7406,7723
44,",,",Mashur foreign,8772,8754,8677,8466,8376,8368,8442,8558,11900,9121,9151,9166,8979
45,",,",Mug local,12293,12288,12309,12222,12198,12200,12197,11993,13639,12087,12049,11894,12281
46,",,",Chola gota,7488,7480,7421,7490,7361,7296,7335,7201,12483,7220,7099,7114,7749
47,",,",Chola broken,7631,7632,7569,7420,7352,7304,7326,7208,7917,7223,7252,7302,7428
48,",,",Motor local,7871,7873,7646,7863,7870,7806,7802,7332,8011,7406,7076,6992,7629
49,",,",Motor foreign,3671,3674,3712,3831,3833,3855,3830,3798,4658,4073,4098,4903,3993
50,",,",kheshari,6616,6634,6675,6630,6591,6551,6546,6548,6633,6079,6047,6067,6468
51,Oil seed,Mustard,5860,5860,6256,6045,6069,6430,6369,6869,7423,6993,7045,6901,6510
52,",,",Tishi,7067,7092,7092,7092,7092,7092,7179,7252,7873,8208,8208,8277,7460
53,",,",Til,6688,6675,6687,6670,6670,6670,6745,6678,5368,5394,5477,5651,6281
54,",,",Nut,10141,10079,9929,10083,10114,9996,8500,9900,12696,9689,9761,8381,9939
55,Oil,Mustard,13753,13795,13993,14607,14717,14985,14811,15270,15336,15960,16059,16562,14987
56,",,",Soyabeen,10807,10767,11066,11996,12004,12412,10725,11920,12482,12704,12849,13425,11930
57,",,",Pulm,9417,9366,9615,10000,10166,10573,10338,10932,11831,11702,11882,12383,10684
58,“,Ghee (dalda),11221,11268,11101,12267,12511,12817,12618,13361,14332,11850,11926,12142,12284
59,",,",Butter oil,60000,60000,50300,60000,60000,48020,46675,46675,39800,41450,41425,48440,50232
60,",,",Coconut,24082,24056,24672,23445,23550,24019,23829,25693,25793,25822,26007,26743,24809
