District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of Inside
& Outside Garden
(M. Tons)",,
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
1,Barguna,962,1597,1628,0,0,0,690,1469,1441,690,1469,1441
2,Barishal,1806,1351,1384,4105,985,974,895,4515,4226,5000,5500,5200
3,Bhola,462,148,149,707,68,68,67,695,701,774,763,769
4,Jhallokati,2332,742,1394,1207,258,290,3593,4292,4334,4800,4550,4624
5,Patuakhali,778,400,402,0,0,0,594,493,491,594,493,491
6,Pirojpur,1241,394,396,3055,1562,1582,1578,3027,3045,4633,4589,4627
1,Barishal Division,7581,4632,5353,9074,2873,2914,7417,14491,14238,16491,17364,17152
7,Bandarban,128,128,129,147,38,38,38,129,149,185,167,187
8,Brahmanbaria,12,15,18,0,0,0,15,13,13.44,15,13,13.44
9,Chandpur,210,50,44,0,0,0,217,263,275,217,263,275
10,Chattogram,306,95,109,0,0,0,1306,457,496,1306,457,496
11,Cumilla,270,330,343,215,191,191,137,166,168,352,357,359
12,Cox’s Bazar,203,142,148,0,0,0,506,370,377,506,370,377
13,Feni,28,28,29,0,0,0,89,55,56,89,55,56
14,Khagrachari,140,129,132,223,0,0,10,266,282,233,266,282
15,Lakshmipur,216,13,76,242,0,0,6,360,450,248,360,450
16,Noakhali,358,79,80,0,0,0,735,586,693.23,735,586,693.23
17,Rangamati,127,128,137,12,8,7,346,213,237,358,221,244
2,"Chattogram
Division",2025,1137,1245,839,237,236,3405,2878,3196.67,4244,3115,3432.67
18,Dhaka,21,31,20,0,0,0,231,235,251,231,235,251
19,Faridpur,488,479,476,0,0,0,647,647,674,647,647,674
20,Gazipur,38,40,41,291,24,26,30,212,222,321,236,248
21,Gopalganj,49,52,55,0,0,0,1002,591,777,1002,591,777
22,Kishoreganj,66,60,64,0,0,0,483,567,625,483,567,625
23,Madaripur,36,33,35,0,0,0,815,699,449,815,699,449
24,Manikganj,17,18,15,0,0,0,67,74,76,67,74,76
25,Munshiganj,18,15,18,0,0,0,163,137,144,103,137,144
26,Narayanganj,8,8,6,0,0,0,190,137,137,190,137,137
27,Narsingdi,26,28,31,0,0,0,259,220,228,259,220,228
28,Rajbari,103,233,150,0,104,0,642,433,637,642,537,637
29,Shariatpur,351,84,80,0,0,0,714,340,390,714,340,390
30,Tangail,1393,518,82,43,0,0,805,502,582,848,502,582
3,Dhaka Division,2614,1599,1073,334,128,26,6048,4794,5192,6382,4922,5218
31,Bagerhat,776,167,155,0,48,57,1840,1071,1240,1846,1119,1297
32,Chuadanga,130,77,91,0,0,0,521,362,441,521,362,441
33,Jashore,456,204,230,90,67,68,754,1153,1225,844,1220,1293
34,Jhenaidah,70,97,124,215,219,208,1188,1188,1250,1403,1407,1458
35,Khulna,397,592,615,27,290,29,1121,593,984,1148,883,1013
36,Kushtia,170,63,65,0,0,0,913,582,605,913,582,605
37,Magura,240,96,125,0,0,0,1615,992,1083,1615,992,1083
38,Meherpur,160,101,102,384,0,0,196,187,196,196,187,196
39,Narail,360,218,219,0,0,0,924,1334,1333,1308,1334,1333
40,Satkhira,430,391,416,716,0,0,1092,1075,1039,1092,1075,1039
4,Khulna Division,3189,2006,2142,0,624,362,10170,8537,9396,10886,9161,9758
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
41,Jamalpur,170,86,89,0,0,0,294,350,351,294,350,351
42,Mymensingh,550,407,414,0,0,0,888,684,773,888,684,773
43,Netrokona,390,64,72,0,0,0,148,327,349,148,327,349
44,Sherpur,151,58,61,0,0,0,113,305,446,113,305,446
5,"Mymensingh
Division",1261,615,636,0,0,0,1443,1666,1919,1443,1666,1919
45,Bogura,340,233,235,0,0,0,1282,790,878,1282,790,878
46,Joypurhat,152,31,38,0,0,0,296,303,264,269,303,264
47,Naogaon,170,62,71,0,0,0,666,344,398,666,344,398
48,Natore,290,270,88,167,103,0,483,727,727,650,830,727
49,Chapai Nawabganj,82,71,74,0,0,0,355,155,221.53,355,155,221.53
50,Pabna,190,81,73,19,10,16,418,233,302,437,243,318
51,Rajshahi,154,183,177,0,0,0,423,533,572.45,423,533,572.45
52,Sirajganj,97,23,22,0,0,0,294,279,315.23,294,279,315.23
6,Rajshahi Division,1475,954,778,186,113,16,4190,3364,3678.21,4376,3477,3694.21
53,Dinajpur,103,47,48,0,0,0,599,569,584,599,569,584
54,Gaibandha,40,11,11,0,0,0,150,149,100,150,149,100
55,Kurigram,65,24,27,0,0,0,177,167,160,177,167,160
56,Lalmonirhat,10,6,8,0,0,0,9,9,5.24,9,9,5.24
57,Nilphamari,40,5,6,0,0,0,98,104,115,98,104,115
58,Panchagar,62,19,18,0,0,0,177,120,189.43,177,120,189.43
59,Rangpur,44,12,13,0,0,0,160,120,123.43,160,120,123.43
60,Thakurgaon,50,16,17,0,0,0,74,108,112,74,108,112
7,Rangpur Divison,414,140,148,0,0,0,1444,1346,1389.1,1444,1346,1389.1
61,Habiganj,140,141,147,0,92,39,11,441,211.37,11,533,250.37
62,Moulvibazar,150,86,105,0,0,0,667,772,816.22,667,772,816.22
63,Sunamganj,70,41,45,0,0,0,8,31,39,33,31,39
64,Sylhet,51,66,65,0,0,0,92,140,132.55,92,140,132.55
8,Sylhet Division,411,334,362,25,92,39,778,1384,1199.14,803,1476,"1238.1
4"
BANGLADESH,,18970,11417,11737,11174,4067,3593,34895,38460,40208.12,46069,42527,43801.12
