District name,May-2021,,,,,,,,,,,,,,,,,,,,,,,
,With Food,,,,,,,,,,,,,,,,,,"Without Food (in
TK)",,,,,
,One meal,,,,,,Two meal,,,,,,Three meal,,,,,,,,,,,
,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,,Male,,,Female,,
Banderban,-,,,-,,,-,,,-,,,-,,,-,,,407,,,254,,
Khagrachari,400,,,250,,,-,,,-,,,-,,,-,,,443,,,281,,
Rangamati,373,,,267,,,303,,,232,,,-,,,-,,,466,,,326,,
Chattogram,535,,,449,,,520,,,384,,,386,,,345,,,559,,,356,,
Cox’sbazar,278,,,205,,,550,,,207,,,221,,,210,,,622,,,225,,
Cumilla,462,,,430,,,408,,,400,,,400,,,400,,,488,,,408,,
Chandpur,-,,,-,,,-,,,-,,,-,,,-,,,360,,,-,,
Brahmmanbaria,421,,,300,,,471,,,280,,,358,,,227,,,485,,,371,,
Noakhali,534,,,-,,,600,,,-,,,525,,,-,,,613,,,-,,
Lakshmipur,-,,,-,,,-,,,-,,,-,,,-,,,400,,,-,,
Feni,-,,,-,,,512,,,-,,,486,,,-,,,623,,,-,,
"Chattogram
Division",429,,,317,,,481,,,301,,,396,,,295,,,497,,,317,,
Sylhet,416,,,350,,,400,,,-,,,375,,,-,,,428,,,300,,
Maulavi Bazar,403,,,271,,,390,,,332,,,-,,,-,,,429,,,333,,
Sunamganj,387,,,328,,,-,,,-,,,-,,,-,,,440,,,375,,
Habiganj,413,,,300,,,-,,,-,,,-,,,-,,,467,,,342,,
Sylhet Division,405,,,312,,,395,,,332,,,375,,,-,,,441,,,338,,
Dhaka,628,,,350,,,541,,,300,,,435,,,300,,,491,,,400,,
Gazipur,455,,,318,,,-,,,-,,,549,,,425,,,619,,,467,,
Manikganj,623,,,500,,,588,,,417,,,577,,,400,,,657,,,510,,
Munshiganj,450,,,300,,,-,,,-,,,471,,,-,,,543,,,350,,
Narayanganj,430,,,375,,,418,,,350,,,375,,,325,,,483,,,403,,
Narsingdi,-,,,-,,,509,,,300,,,474,,,-,,,511,,,350,,
Faridpur,425,,,-,,,-,,,-,,,500,,,-,,,530,,,-,,
Rajbari,400,,,350,,,367,,,300,,,317,,,300,,,520,,,375,,
Madaripur,318,,,300,,,0,,,0,,,-,,,0,,,465,,,320,,
Gopalganj,461,,,617,,,358,,,580.6,,,588,,,522,,,524,,,688,,
Shariatpur,375,,,300,,,-,,,-,,,300,,,-,,,425,,,350,,
Tangail,600,,,475,,,565,,,445,,,500,,,410,,,625,,,580,,
Kishoreganj,-,,,-,,,524,,,250,,,558,,,-,,,664,,,300,,
Dhaka Division,470,,,388,,,484,,,368,,,470,,,383,,,543,,,424,,
Mymensing,484,,,338,,,489,,,267,,,585,,,-,,,548,,,413,,
Jamalpur,,320,,,-,,,424,,,-,,,543,,,-,,,626,,,-,
Sherpur,,527,,,-,,,520,,,-,,,543,,,-,,,564,,,-,
Netrokona,,516,,,466,,,416,,,495,,,412,,,-,,,508,,,468,
"Mymensing
Division",462,,,402,,,462,,,381,,,521,,,-,,,562,,,441,,
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,(in TK),
,Male,Female,Male,Female,Male,Female,Male,Female
Barishal,471,-,450,380,-,-,523,420
Jhalokathi,495,430,-,-,-,-,628,448
Perojpur,483,375,476,300,410,300,533,420
Bhola,463,-,418,-,-,-,513,401
Patuakhali,550,-,500,-,400,-,500,-
Barguna,587,-,583,-,-,-,620,325
"Barishal
Division",508,403,485,340,405,300,553,-
Jashore,-,-,-,-,-,-,318,250
Jhenaidah,326,230,307,227,306,225,358,256
Magura,419,-,295,-,356,-,467,-
Narail,320,-,-,-,466,-,447,352
Khulna,-,-,-,-,-,-,694,588
Bagerhat,400,-,500,300,552,350,503,250
Satkhira,-,-,-,-,-,-,423,328
Kushtia,405,-,380,-,350,-,450,-
Chuadanga,281,-,-,-,-,-,293,-
Meherpur,333,-,-,-,-,-,383,-
Khulna Division,355,230,370,263,406,288,434,337
Rajshahi,422,323,409,400,560,420,419,309
Naogaon,377,299,383,302,448,332,407,248
Natore,314,273,350,275,-,-,377,290
"Chapai
Nawabganj",344,350,400,350,400,350,354,300
Bogura,450,-,462,-,455,-,476,300
Joypurhat,400,300,425,420,-,-,475,385
Pabna,483,365,487,-,-,-,499,350
Sirajganj,-,-,-,-,-,-,524,350
"Rajshahi
Division",398,306,419,335,454,347,422,319
Rangpur,380,200,-,-,-,-,390,240
Gaibandha,-,-,-,-,-,-,413,300
Kurigram,343,210,-,-,-,-,339,250
Nilphamari,406,220,-,-,-,-,364,256
Lalmonirhat,366,234,380,270,-,-,353,224
Dinajpur,342,286,-,-,-,-,393,316
Thakurgaon,350,307,-,,-,-,365,312
Panchagar,352,250,-,-,-,-,370,271
"Rangpur
Division",363,264,380,270,-,-,403,290
BANGLADESH,424,329,452,337,446,344,480,352
