District/ Division,,"Area Under Garden
(acre)",,,"Production of Inside
Garden",,,"Production of Outside
Garden",,,"Total Production of
Inside & Outside Garden
(M. Tons)",,
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
1,Barguna,2594,7349,5642,0,0,0,766,2515,2350,821,2515,2350
2,Barishal,2377,842,812,0,0,0,950,580,587,1950,580,587
3,Bhola,1763,171,143.88,0,0,0,520,709.80,662.70,959,709.8,662.70
4,Jhallokati,633,497,487.03,0,0,0,30,430,437,887,430,437
5,Patuakhali,4420,"1009.6
9",1488,0,0,0,585,"1058.4
7",1200,2595,"1058.4
7",1200
6,Pirojpur,1008,782,505.43,0,0,0,392,373.45,367.60,2450,373.45,367.60
1,Barishal Division,12795,"10650.
93",9078.34,0,0,0,3243,"5666.7
2","5604.3
0",9662,"5666.7
2","5604.3
0"
7,Bandarban,30,39,39,0,0,0,7,6,6.18,0,6,6.18
8,Brahmanbaria,15,32,33,0,0,0,324,72.41,79,112,72.41,79
9,Chandpur,145,110,144,0,0,0,1034,921.20,718,3948,921.2,718
10,Chattogram,280,281.32,383,0,0,0,588,596.54,1200,2862,596.54,1200
11,Cumilla,150,538.42,540,78,48,24,985,939.44,949,600,987.44,973
12,Cox’s Bazar,115,152.46,97,0,0,0,384,395.14,398,343,395.14,398
13,Feni,153,254.43,256,0,0,0,451,426.64,429,1094,426.64,429
14,Khagrachari,66,66,63,0,0,0,95,102,108,414,102,108
15,Lakshmipur,19,206,231,0,0,0,558,592,556,4184,592,556
16,Noakhali,161,158,154,0,0,0,330,491,258,1593,491,258
17,Rangamati,196,144,192,188,0,33.21,38,188,183.79,293,188,217
2,"Chattogram
Division",1300,1982,2132,266,48,57.21,4794,"4730.3
7","4884.9
7",15443,"4778.3
7","4942.1
8"
18,Dhaka,28,24.23,23.92,0,0,0,128,133.53,134.38,69,133.53,134.38
19,Faridpur,410,401,379,156,149.13,147.41,1084,"1154.9
0","1092.5
9",4309,"1304.0
3",1240
20,Gazipur,92,144.03,108,350,22.94,23,36,235.06,223,1412,258,246
21,Gopalganj,452,719.57,702.27,0,0,0,1170,"1211.6
2","1199.4
0",2027,"1211.6
2","1199.4
0"
22,Kishoreganj,23,25.38,19.95,0,0,0,69,82.38,75.73,48,82.38,75.73
23,Madaripur,1201,732.89,629.13,0,0,0,2086,"1750.9
9","2103.4
0",5833,"1750.9
9","2103.4
0"
24,Manikganj,541,533.00,532.37,0,0,0,549,541.69,537.65,2527,541.69,537.65
25,Munshiganj,32,33.11,32.03,0,0,0,56,63.97,62.83,375,63.97,62.83
26,Narayanganj,49,50.53,50.43,0,0,0,946,947.89,415.9,267,947.89,415.90
27,Narsingdi,20,17.69,19.51,221,0,1,1,148.80,135.17,295,148.8,136.17
28,Rajbari,142,126.43,123.30,9,22.84,30.40,706,774.66,"1032.1
0",3540,797.5,"1062.5
0"
29,Shariatpur,65,278.32,273.75,0,18.24,30.40,15,432.10,762.60,1304,450.34,793
30,Tangail,30,98.92,97.93,431,11.06,12.45,17,411.37,481.13,1992,422.43,493.58
3,Dhaka Division,3085,"3185.1
0",2991.59,1167,224.21,244.66,6863,"7888.9
6","8255.8
8",23998,"8113.1
7","8500.5
4"
31,Bagerhat,198,211.20,210.84,0,0,0,358,304,375.92,2150,304,375.92
32,Chuadanga,151,149.13,147.35,567,272,252.93,327,480,445.84,5303,752,698.77
33,Jashore,122,484.55,483.93,593,699.49,653,965,430.51,433.50,12320,1130,"1086.5
0"
34,Jhenaidah,36,328.57,348.37,325,325.20,324.60,1585,"1586.8
0","1566.8
0",10167,1912,"1891.4
0"
,,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22,2019-20,2020-21,2021-22
35,Khulna,55,294.18,294.12,6,468.35,6.59,466,0.65,482.27,2614,469,488.86
36,Kushtia,113,107.00,129,49,46.05,42.98,891,841.95,778.02,3630,888,821
37,Magura,70,196.70,117.34,0,0,0,562,555,521.54,1728,555,521.54
38,Meherpur,35,35.14,36.38,0,0,0,63,60,61.54,279,60,61.54
39,Narail,800,799.58,610.10,0,0,0,192,1253,546.37,998,1253,546.37
40,Satkhira,230,384.34,429.96,88,129.41,121.27,652,791.59,768.35,4326,921,889.62
