"Sl.
No.",District,Extensive,,Semi-intensive,,Intensive,,Highly Intensive,,Total,,
,,< 1.5 MT/Ha,,"1.5 - 4.0
MT/Ha",,>4- 10 MT/Ha,,>10.0 MT/Ha,,,,
,,Area,Production,Area,Production,Area,Production,"Are
a",Production,Area,Production,MT/Ha
1,Dhaka,0,0,1727,6858,229,1730,5,61,1961,8649,4.41
2,Faridpur,94,135,2102,8062,1559,9265,138,1948,3893,19410,4.99
3,Gazipur,53,67,2249,8134,1416,12645,362,5512,4080,26358,6.46
4,Gopalganj,660,905,1671,6531,1383,8300,10,110,3724,15846,4.26
6,Kishoreganj,311,412,2759,10833,1722,12934,125,1690,4917,25869,5.26
6,Madaripur,196,274,1944,6865,596,3682,149,1541,2885,12362,4.28
7,Manikganj,345,501,1628,6113,567,4936,17,266,2557,11816,4.62
8,Munshiganj,120,171,1594,6028,491,3471,0,0,2205,9670,4.39
9,Narayanganj,97,122,1272,4622,688,5078,0,0,2057,9822,4.77
10,Narsingdi,79,105,1185,4450,882,6896,653,11085,2799,22536,8.05
11,Rajbari,144,185,2605,9164,937,5622,0,0,3686,14971,4.06
12,Shariatpur,27,38,1770,7044,829,6174,0,0,2626,13256,5.05
13,Tangail,7,10,3206,10633,4279,25727,229,2623,7721,38993,5.05
,Dhaka Division,2133,2925,25712,95337,"1557
8",106460,1688,24836,45111,229558,5.09
14,Jamalpur,0,0,1917,7057,1315,8490,110,1698,3342,17245,5.16
15,Mymensingh,648,921,6953,22302,"1155
7",85984,9986,230652,29144,339859,11.66
16,Netrakona,490,675,5171,20145,2265,17808,23,281,7949,38909,4.89
17,Sherpur,43,60,2362,7841,1486,8055,607,6664,4498,22620,5.03
,"Mymensingh
Division",1181,1656,16403,57345,"1662
3",120337,10726,239295,44933,418633,9.32
1 8,Bagerhat,1714,2531,3448,13713,139,1359,0,0,5301,17603,3.32
19,Chuadanga,5,7,1032,3546,1151,7499,0,0,2188,11052,5.05
20,Jashore,77,112,9535,41763,5650,49226,2256,40440,17518,131541,7.51
21,Jhenaidah,13,18,3277,13052,1790,12872,40,510,5120,26452,5.17
22,Khulna,655,918,3465,10820,665,4302,0,0,4785,16040,3.35
23,Kushtia,0,0,2567,9374,1869,12965,0,0,4436,22339,5.04
24,Magura,35,48,1932,7406,355,3252,0,0,2322,10706,4.61
25,Meherpur,0,0,1326,5077,216,1786,0,0,1542,6863,4.45
26,Narail,65,91,646,2395,379,2280,0,0,1090,4766,4.37
27,Satkhira,7006,8244,4198,11287,1621,14130,287,5938,13112,39599,3.02
,Khulna Division,9570,11969,31426,118433,"1383
5",109671,2583,46888,57414,286961,5.00
28,Barguna,476,686,1921,6653,28,199,0,0,2425,7538,3.11
29,Barishal,0,0,9646,36889,136,843,0,0,9782,37732,3.86
30,Bhola,253,364,2001,7317,5594,28142,36,425,7884,36248,4.60
31,Jhalokati,0,0,1097,4082,37,223,4,74,1138,4379,3.85
32,Patuakhali,1226,1637,6770,21224,173,1071,0,0,8169,23932,2.93
33,Pirojpur,701,978,1907,5736,351,1878,0,0,2959,8592,2.90
,Barishal Division,2656,3665,23342,81901,6319,32356,40,499,32357,118421,3.66
,,< 1.5 MT/Ha,,1.5 - 4.0 MT/Ha,,>4- 10 MT/Ha,,>10.0 MT/Ha,,,,
,,Area,Production,Area,Production,Area,Production,Area,Production,Area,Production,MT/Ha
34,Dinajpur,102,149,6541,26060,2781,20250,98,1711,9522,48170,5.06
35,Gaibandha,0,0,4986,19115,810,6109,65,1111,5861,26335,4.49
36,Kurigram,204,294,3310,12907,905,5554,118,1288,4537,20043,4.42
37,Lalmonirhat,48,70,2650,10502,448,2592,13,195,3159,13359,4.23
38,Nilphamari,0,0,1968,6716,2126,11831,69,832,4163,19379,4.66
39,Panchagarh,0,0,2036,6905,1099,5064,73,985,3208,12954,4.04
40,Rangpur,98,127,4443,17589,1740,12282,10,165,6291,30163,4.79
41,Thakurgaon,0,0,3706,14089,1404,8281,194,2188,5304,24558,4.63
,Rangpur Division,452,640,29640,113883,11313,71963,640,8475,42045,194961,4.64
42,Bogura,417,560,9376,28280,3799,29777,733,16769,14325,75386,5.26
43,Chapai Nawabganj,0,0,2326,8352,706,3852,0,0,3032,12204,4.02
44,Joypurhat,30,40,2105,7063,2569,15807,0,0,4704,22910,4.87
45,Naogaon,0,0,9768,37665,2915,19460,118,1387,12801,58512,4.57
46,Natore,0,0,5320,19921,2714,23598,243,3731,8277,47250,5.71
47,Pabna,0,0,8727,34089,1798,12020,9,98,10534,46207,4.39
48,Rajshahi,0,0,5050,19394,7220,40747,233,2562,12503,62703,5.02
49,Sirajganj,68,80,3287,12999,1953,12367,0,0,5308,25446,4.79
