District name,Apr-2022,,,,,,,
,With Food,,,,,,"Without Food (in
TK)",
,One meal,,Two meal,,Three meal,,,
,Male,Female,Male,Female,Male,Female,Male,Female
Banderban,-,-,,-,-,-,407,271
Khagrachari,450,300,-,-,-,-,458,325
Rangamati,371,258,307,225,-,-,479,322
Chattogram,543,393,512,339,487,346,580,412
Cox’sbazar,588,407,551,355,538,315,644,489
Cumilla,549,398,476,240,558,420,514,335
Chandpur,-,-,-,-,-,-,481,-
Brahmmanbaria,375,270,319,233,321,227,399,319
Noakhali,531,-,600,-,525,-,619,-
Lakshmipur,-,-,-,-,-,-,415,-
Feni,607,-,-,-,-,-,647,-
"Chattogram
Division",502,338,461,298,486,327,513,353
Sylhet,425,350,414,-,375,-,451,300
Maulavi Bazar,416,342,400,276,-,-,477,380
Sunamganj,466,340,-,-,-,-,512,369
Habiganj,525,350,-,-,-,-,544,371
Sylhet Division,458,346,407,276,375,-,496,355
Dhaka,565,250,498,230,262,220,540,300
Gazipur,805,500,-,-,759,571,870,670
Manikganj,525,400,523,387,468,350,602,501
Munshiganj,550,350,-,-,512,-,540,300
Narayanganj,500,450,430,388,400,350,620,530
Narsingdi,-,-,497,-,537,-,543,-
Faridpur,457,-,-,-,500,-,517,-
Rajbari,526,375,-,-,490,380,575,467
Madaripur,463,300,400,-,458,-,537,483
Gopalganj,500,-,-,-,421,300,564,500
Shariatpur,420,350,383,250,350,-,550,425
Tangail,685,405,635,355,600,305,630,500
Kishoreganj,-,-,685,-,681,-,717,450
"Dhaka
Division",545,376,506,322,495,354,600,466
Mymensing,538,417,587,460,603,475,625,550
Jamalpur,429,-,444,-,468,-,530,-
Sherpur,600,-,600,-,630,-,640,-
Netrokona,500,460,500,500,-,-,650,500
"Mymensing
Division",517,439,533,480,567,475,611,525
,With Food,,,,,,Without Food,
,One meal,,Two meal,,Three meal,,(in TK),
,Male,Female,Male,Female,Male,Female,Male,Female
Barishal,479,-,400,-,-,-,501,-
Jhalokathi,545,451,-,-,-,-,607,493
Perojpur,512,-,489,400,420,380,569,-
Bhola,505,-,442,-,-,-,556,390
Patuakhali,550,-,500,-,-,-,700,-
Barguna,612,367,643,390,-,-,578,343
"Barishal
Division",534,409,495,395,420,380,585,409
Jashore,-,-,-,-,-,-,442,280
Jhenaidah,357,276,343,252,330,247,379,278
Magura,552,-,503,-,462,-,595,-
Narail,515,-,447,-,436,-,502,342
Khulna,-,-,-,-,-,-,604,443
Bagerhat,400,-,560,450,622,-,572,425
Satkhira,-,-,,-,-,-,371,313
Kushtia,425,350,-,-,-,-,475,400
Chuadanga,300,-,-,-,-,-,313,-
Meherpur,360,-,-,-,-,-,400,-
Khulna Division,416,313,463,351,462,247,465,354
Rajshahi,425,321,365,325,280,230,429,371
Naogaon,383,305,375,335,404,356,401,321
Natore,350,315,422,-,-,-,424,318
"Chapai
Nawabganj",400,350,395,310,450,340,450,360
Bogura,464,350,446,-,443,-,483,-
Joypurhat,450,340,430,350,-,-,460,360
Pabna,533,-,-,-,-,-,489,250
Sirajganj,-,-,-,-,-,-,464,350
"Rajshahi
Division",429,330,402,330,394,309,450,333
Rangpur,360,245,-,-,-,-,375,300
Gaibandha,-,-,-,-,-,-,430,338
Kurigram,383,232,-,-,-,-,381,245
Nilphamari,403,248,-,-,-,-,376,223
Lalmonirhat,364,256,400,300,-,-,362,260
Dinajpur,371,308,-,-,-,-,421,344
Thakurgaon,550,418,-,-,-,-,430,325
Panchagar,390,290,-,-,-,-,367,320
"Rangpur
Division",403,285,400,300,-,-,393,294
BANGLADESH,479,344,471,339,477,342,512,377
